create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.is_bisulfite_sequenced,parameters.minimum_genome_fraction,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,parameters.window_size,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-06-19 13:42:44.386782,slurm_normal_16gb,1434721552.0,0,1.0,main_w2_handler0,2346505,9692210,False,,74992737,bam,4001163.roundup,slurm,,132112168.0,corral-repl,,"""09d5842a168911e5b2a8005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046524,,"""True""","""5e-05""",1,20046480,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434721539.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:45:55.227927,46265.0,13.0
2015-06-19 13:55:40.577365,slurm_normal_16gb,1434722203.0,0,1.0,main_w1_handler1,2347013,9692321,False,,95171300,bam,4001236.roundup,slurm,,132112168.0,corral-repl,,"""d6927b66168a11e5b089005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046601,,"""True""","""5e-05""",1,20046500,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722190.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:56:46.662549,46265.0,13.0
2015-06-19 14:40:03.365442,slurm_normal_16gb,1434724895.0,0,1.0,main_w2_handler1,2346297,9693149,False,,96689225,bam,4001985.roundup,slurm,,132112168.0,corral-repl,,"""10b93f04169111e58e04005056a52a46""","""True""","""/galaxy-repl/main/files/011/578/dataset_11578195.dat""","""E.coli K12 MG1655""",20042110,,"""True""","""5e-05""",1,20040100,,history,"""LENIENT""","""100""",32.0,4708048.0,fasta,,23722058,1434724884.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 14:41:40.248491,46265.0,11.0
2015-06-19 14:40:13.653891,slurm_normal_16gb,1434724963.0,0,1.0,main_w2_handler1,2346297,9693156,False,,96934368,bam,4001998.roundup,slurm,,132112168.0,corral-repl,,"""10b93f04169111e58e04005056a52a46""","""True""","""/galaxy-repl/main/files/011/578/dataset_11578195.dat""","""E.coli K12 MG1655""",20042116,,"""True""","""5e-05""",1,20040100,,history,"""LENIENT""","""100""",32.0,4708048.0,fasta,,23722058,1434724933.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 14:42:47.251287,46265.0,30.0
2015-06-19 13:55:38.772476,slurm_normal_16gb,1434722168.0,0,1.0,main_w1_handler1,2347013,9692320,False,,98499983,bam,4001233.roundup,slurm,,132112168.0,corral-repl,,"""d6927b66168a11e5b089005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046600,,"""True""","""5e-05""",1,20046500,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:56:13.253632,46265.0,10.0
2015-06-19 13:55:33.960662,slurm_normal_16gb,1434722170.0,0,1.0,main_w1_handler0,2347013,9692317,False,,93240942,bam,4001235.roundup,slurm,,132112168.0,corral-repl,,"""d6927b66168a11e5b089005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046597,,"""True""","""5e-05""",1,20046500,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722161.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:56:14.449473,46265.0,9.0
2015-06-19 13:55:28.324050,slurm_normal_16gb,1434722171.0,0,1.0,main_w1_handler2,2347013,9692315,False,,82674736,bam,4001234.roundup,slurm,,132112168.0,corral-repl,,"""d6927b66168a11e5b089005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046595,,"""True""","""5e-05""",1,20046500,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722160.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:56:14.949349,46265.0,11.0
2015-06-19 13:55:31.536510,slurm_normal_16gb,1434722202.0,0,1.0,main_w2_handler1,2347013,9692316,False,,93280673,bam,4001238.roundup,slurm,,132112168.0,corral-repl,,"""d6927b66168a11e5b089005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046596,,"""True""","""5e-05""",1,20046500,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:56:46.212206,46265.0,8.0
2015-06-19 13:55:35.637676,slurm_normal_16gb,1434722204.0,0,1.0,main_w1_handler0,2347013,9692318,False,,89348212,bam,4001237.roundup,slurm,,132112168.0,corral-repl,,"""d6927b66168a11e5b089005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046598,,"""True""","""5e-05""",1,20046500,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722193.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:56:48.912540,46265.0,11.0
2015-06-19 13:55:42.090978,slurm_normal_16gb,1434722213.0,0,1.0,main_w1_handler2,2347013,9692322,False,,92940943,bam,4001240.roundup,slurm,,132112168.0,corral-repl,,"""d6927b66168a11e5b089005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046602,,"""True""","""5e-05""",1,20046500,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:56:57.151901,46265.0,19.0
2015-06-19 13:55:37.082424,slurm_normal_16gb,1434722236.0,0,1.0,main_w1_handler0,2347013,9692319,False,,94811352,bam,4001250.roundup,slurm,,132112168.0,corral-repl,,"""d6927b66168a11e5b089005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046599,,"""True""","""5e-05""",1,20046500,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722227.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:57:21.557073,46265.0,9.0
2015-06-19 13:57:14.787126,slurm_normal_16gb,1434722355.0,0,1.0,main_w2_handler1,2347016,9692358,False,,102620747,bam,4001261.roundup,slurm,,132112168.0,corral-repl,,"""160b6fb4168b11e59c92005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046660,,"""True""","""5e-05""",1,20046498,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722261.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:59:19.094738,46265.0,94.0
2015-06-19 13:57:38.572757,slurm_normal_16gb,1434722382.0,0,1.0,main_w1_handler2,2347016,9692374,False,,96005842,bam,4001279.roundup,slurm,,132112168.0,corral-repl,,"""160b6fb4168b11e59c92005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046667,,"""True""","""5e-05""",1,20046498,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722372.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:59:44.903511,46265.0,10.0
2015-06-19 13:57:19.916173,slurm_normal_16gb,1434722391.0,0,1.0,main_w2_handler1,2347016,9692360,False,,98135427,bam,4001281.roundup,slurm,,132112168.0,corral-repl,,"""160b6fb4168b11e59c92005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046661,,"""True""","""5e-05""",1,20046498,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722375.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 13:59:55.257143,46265.0,16.0
2015-06-19 13:59:15.824875,slurm_normal_16gb,1434722520.0,0,1.0,main_w1_handler0,2347017,9692419,False,,72046737,bam,4001314.roundup,slurm,,132112168.0,corral-repl,,"""59c1af20168b11e5b1da005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046719,,"""True""","""5e-05""",1,20046499,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722500.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 14:02:06.468577,46265.0,20.0
2015-06-19 13:57:23.709203,slurm_normal_16gb,1434722425.0,0,1.0,main_w1_handler1,2347016,9692365,False,,122386745,bam,4001291.roundup,slurm,,132112168.0,corral-repl,,"""160b6fb4168b11e59c92005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046662,,"""True""","""5e-05""",1,20046498,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722408.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 14:00:29.765611,46265.0,17.0
2015-06-19 13:57:28.378184,slurm_normal_16gb,1434722427.0,0,1.0,main_w2_handler1,2347016,9692371,False,,120644433,bam,4001290.roundup,slurm,,132112168.0,corral-repl,,"""160b6fb4168b11e59c92005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046664,,"""True""","""5e-05""",1,20046498,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722406.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 14:00:32.772910,46265.0,21.0
2015-06-19 13:59:08.750577,slurm_normal_16gb,1434722448.0,0,1.0,main_w2_handler1,2347017,9692415,False,,90689486,bam,4001297.roundup,slurm,,132112168.0,corral-repl,,"""59c1af20168b11e5b1da005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046715,,"""True""","""5e-05""",1,20046499,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722439.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 14:00:52.298406,46265.0,9.0
2015-06-19 13:59:19.194404,slurm_normal_16gb,1434722471.0,0,1.0,main_w1_handler2,2347017,9692421,False,,93329518,bam,4001302.roundup,slurm,,132112168.0,corral-repl,,"""59c1af20168b11e5b1da005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046721,,"""True""","""5e-05""",1,20046499,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722459.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 14:01:16.445761,46265.0,12.0
2015-06-19 13:57:30.867389,slurm_normal_16gb,1434722475.0,0,1.0,main_w1_handler1,2347016,9692372,False,,100068499,bam,4001300.roundup,slurm,,132112168.0,corral-repl,,"""160b6fb4168b11e59c92005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046665,,"""True""","""5e-05""",1,20046498,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 14:01:20.088097,46265.0,19.0
2015-06-19 13:59:12.527679,slurm_normal_16gb,1434722511.0,0,1.0,main_w1_handler1,2347017,9692417,False,,93124148,bam,4001310.roundup,slurm,,132112168.0,corral-repl,,"""59c1af20168b11e5b1da005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/rhodSpha_2_4_1.len""","""rhodSpha_2_4_1""",20046717,,"""True""","""5e-05""",1,20046499,,history,"""LENIENT""","""100""",32.0,4661086.0,fasta,,23722058,1434722497.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.126.0,1.126.0,,2015-06-19 14:02:03.668165,46265.0,14.0
