chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputA.values,parameters.inputB.values,parameters.overlap,parameters.removeIfOverlap,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-17 20:32:16.675825,slurm_normal,1466195574.0,0,1.0,main_w1_handler1,2729800,13195914,False,,3633154,bed,817373,bed,7380542.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5687c0f3ee6ac3021'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fcaf0c872c66d239'}]","""1e-09""","""""","""""",32.0,,30931614,1466195571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-17 20:32:56.959156,85461.0,3.0
,,2016-09-08 12:49:58.346914,slurm_normal,1473339021.0,0,1.0,main_w4_handler1,2812161,13805937,False,,81163,bed,72057,bed,8026622.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e5d0afe225089e6a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5928b9d10a457a683'}]","""1e-09""","""""","""""",32.0,,32838110,1473339013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-08 12:50:24.209569,89409.0,8.0
,,2016-09-08 12:53:14.540535,slurm_normal,1473339270.0,0,1.0,main_w4_handler0,2812161,13805958,False,,67281,bed,72057,bed,8026654.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ec8a3ae156767243'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5928b9d10a457a683'}]","""1e-09""","""""","""""",32.0,,32838110,1473339213.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-08 12:54:34.267313,89409.0,57.0
,,2016-09-09 16:16:03.295246,slurm_normal,1473437808.0,0,1.0,main_w3_handler0,2815514,13816651,False,,130432,bed,1149,bed,8038013.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b535ab633068818720'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b57b15904787b5ef14'}]","""1e-09""","""""","""""",32.0,,31758137,1473437803.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-09 16:16:51.266498,63217.0,5.0
,,2016-09-09 15:57:28.925994,slurm_normal,1473436840.0,0,1.0,main_w3_handler0,2815514,13816546,False,,130432,bed,1068,bed,8037912.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b535ab633068818720'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b583df4e2b7de865d1'}]","""1e-09""","""""","""""",32.0,,31758137,1473436801.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-09 16:00:43.546773,63217.0,39.0
,,2016-09-09 15:57:03.690339,slurm_normal,1473436771.0,0,1.0,main_w4_handler0,2815514,13816544,False,,739,bed,329,bed,8037903.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57526f780ce4d8ad0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e8c8ae2c4f3e84bc'}]","""1e-09""","""""","""""",32.0,,31758137,1473436638.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-09 15:59:36.199273,63217.0,133.0
,,2016-09-09 20:35:36.909469,slurm_normal,1473453545.0,0,1.0,main_w3_handler1,2812161,13818429,False,,1422986091,bed,72057,bed,8039870.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53cf362ab58ac908d'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5928b9d10a457a683'}]","""1e-09""","""""","""""",32.0,,32838110,1473453382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-09 20:39:08.517409,89409.0,163.0
,,2016-09-09 20:35:05.423520,slurm_normal,1473453604.0,0,1.0,main_w4_handler1,2812161,13818423,False,,2499720789,bed,72057,bed,8039861.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52b37fb11dbd59dea'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5928b9d10a457a683'}]","""1e-09""","""""","""""",32.0,,32838110,1473453319.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-09 20:40:12.209757,89409.0,285.0
,,2016-09-09 20:35:22.547605,slurm_normal,1473453645.0,0,1.0,main_w4_handler0,2812161,13818426,False,,2527612823,bed,72057,bed,8039863.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56e228f43e3b79e58'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5928b9d10a457a683'}]","""1e-09""","""""","""""",32.0,,32838110,1473453336.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-09 20:40:47.817170,89409.0,309.0
,,2016-09-09 16:15:48.794626,slurm_normal,1473437776.0,0,1.0,main_w3_handler1,2815514,13816649,False,,739,bed,410,bed,8038009.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57526f780ce4d8ad0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7f3b5287c0f1422'}]","""1e-09""","""""","""""",32.0,,31758137,1473437763.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-09 16:16:28.892152,63217.0,13.0
