chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.coverage,parameters.dbkey,parameters.format_type.__current_case__,parameters.format_type.base_column,parameters.format_type.base_column.__class__,parameters.format_type.base_column.value,parameters.format_type.cvrg_column,parameters.format_type.cvrg_column.__class__,parameters.format_type.cvrg_column.value,parameters.format_type.format,parameters.format_type.loc_column,parameters.format_type.loc_column.__class__,parameters.format_type.loc_column.value,parameters.format_type.seq_column,parameters.format_type.seq_column.__class__,parameters.format_type.seq_column.value,parameters.format_type.which_base,parameters.input,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-02-08 23:53:37.795484,rodeo_normal,1423439638.0,0,1.0,main_w2_handler1,2199463,8684477,False,,18675,tabular,2682866.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/350/dataset_10350897.dat""","""3""","""gb1a1_17l""",0,,,,,,,six,,,,,,,,18446763,32.0,,20610347,1423439635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2015-02-08 23:53:58.790481,58680.0,3.0
,,2015-02-08 23:56:43.465463,rodeo_normal,1423439821.0,0,1.0,main_w1_handler0,2199463,8684492,False,,18675,tabular,2682897.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/350/dataset_10350897.dat""","""0""","""gb1a1_17l""",0,,,,,,,six,,,,,,,,18446763,32.0,,20610347,1423439819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2015-02-08 23:57:02.845625,58680.0,2.0
14.0,len,2015-02-08 23:59:57.430702,rodeo_normal,1423440132.0,0,1.0,main_w1_handler0,2199463,8684507,False,,28250,tabular,2682937.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/350/dataset_10350897.dat""","""3""","""?""",1,,,,,,,ten,,,,,,,first,18446797,32.0,,20610347,1423440130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2015-02-09 00:02:14.976402,58680.0,2.0
,,2015-02-10 18:06:00.785760,rodeo_normal,1423591588.0,0,1.0,main_w1_handler1,2201739,8695875,False,,26910,tabular,2704679.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""3""","""?""",0,,,,,,,six,,,,,,,,18464941,32.0,,21169519,1423591585.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2015-02-10 18:06:30.018884,58680.0,3.0
,,2014-12-30 20:56:06.931775,rodeo_normal,1419973012.0,0,1.0,main_w2_handler0,2158288,8480759,False,,409877271,pileup,2392212.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""3""","""hg19""",1,,,,,,,ten,,,,,,,second,18069814,32.0,,20275718,1419972984.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2014-12-30 20:56:54.217458,55691.0,28.0
,,2014-09-08 22:14:55.815905,roundup_single,1410214585.0,0,1.0,main_w1_handler1,2042722,7667124,False,,1363816856,pileup,1654266,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""10""","""hg_g1k_v37""",0,,,,,,,six,,,,,,,,16678907,32.0,,16832061,1410214505.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2014-09-08 22:16:25.986594,4421.0,80.0
,,2014-09-09 15:56:56.570493,roundup_single,1410278317.0,0,1.0,main_w2_handler1,2042722,7671584,False,,1363816856,pileup,1658642,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""20""","""hg_g1k_v37""",0,,,,,,,six,,,,,,,,16678907,32.0,,16854714,1410278238.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2014-09-09 15:58:38.634939,4421.0,79.0
,,2014-09-09 16:00:59.007009,roundup_single,1410278588.0,0,1.0,main_w2_handler0,2042722,7671593,False,,1363816856,pileup,1658699,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""50""","""hg_g1k_v37""",0,,,,,,,six,,,,,,,,16678907,32.0,,16854714,1410278479.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2014-09-09 16:03:10.482060,4421.0,109.0
,,2014-09-09 17:10:31.619262,roundup_single,1410283340.0,0,1.0,main_w1_handler0,2042722,7673077,False,,11152477863,pileup,1659760,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""50""","""hg_g1k_v37""",0,,,,,,,six,,,,,,,,16687653,32.0,,16854714,1410282665.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2014-09-09 17:22:22.030995,4421.0,675.0
,,2014-09-09 19:11:41.361864,roundup_single,1410289924.0,0,1.0,main_w1_handler0,2031888,7674907,False,,284608259,pileup,1662266,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""3""","""?""",0,,,,,,,six,,,,,,,,16690717,32.0,,16857967,1410289909.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.0,1.0.0,,2014-09-09 19:12:05.136233,26534.0,15.0
