chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta_source.__current_case__,parameters.fasta_source.fasta.values,parameters.fasta_source.fasta_id,parameters.fasta_source.fasta_source_selector,parameters.input.values,parameters.name,parameters.split,parameters.strand,parameters.tab,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-06 15:22:59.198210,slurm_normal,1520349793.0,0,,,7680.0,1.0,main_w4_handler0,3447833,18624873,False,,3914,bed,12721186,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,,hg19,preloaded,"[{'src': 'hda', 'id': 34240338}]","""false""","""false""","""false""","""false""",32.0,,43106721,1520349788.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-06 15:23:14.433360,37154.0,5.0
,,2018-03-07 16:36:09.892657,slurm_normal,1520440628.0,0,3199905909.0,fasta,7680.0,1.0,main_w3_handler0,2886279,18643036,False,,58034,bed,12738461,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,"[{'src': 'hda', 'id': 27268889}]",,history,"[{'src': 'hda', 'id': 34271337}]","""false""","""false""","""false""","""false""",32.0,,43943959,1520440584.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-07 16:37:11.798712,94242.0,44.0
,,2018-03-08 09:43:08.994875,slurm_normal,1520502262.0,0,,,7680.0,1.0,main_w4_handler0,2936266,18654365,False,,14053,bed,12750211,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",1,,mm10,preloaded,"[{'src': 'hda', 'id': 34289310}]","""false""","""false""","""false""","""false""",32.0,,42997850,1520502200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-08 09:44:24.887706,68782.0,62.0
,,2018-03-08 09:38:28.104634,slurm_normal,1520501942.0,0,,,7680.0,1.0,main_w3_handler1,2936266,18654217,False,,6591,bed,12750123,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",1,,mm10,preloaded,"[{'src': 'hda', 'id': 34289058}]","""false""","""false""","""false""","""false""",32.0,,42997850,1520501917.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-08 09:39:04.669728,68782.0,25.0
,,2018-03-08 11:42:09.764698,slurm_normal,1520509373.0,0,,,7680.0,1.0,main_w4_handler0,2936266,18656203,False,,13111,bed,12752091,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",1,,mm10,preloaded,"[{'src': 'hda', 'id': 34292045}]","""false""","""false""","""false""","""false""",32.0,,42997850,1520509343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-08 11:42:58.305866,68782.0,30.0
,,2018-03-08 11:42:09.144519,slurm_normal,1520509347.0,0,,,7680.0,1.0,main_w4_handler0,2936266,18656202,False,,6419,bed,12752090,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",1,,mm10,preloaded,"[{'src': 'hda', 'id': 34292044}]","""false""","""false""","""false""","""false""",32.0,,42997850,1520509343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-08 11:42:30.663096,68782.0,4.0
,,2018-03-08 19:41:43.361731,slurm_normal,1520538162.0,0,,,7680.0,1.0,main_w4_handler0,3457318,18662418,False,,3925538,bed,12758520,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,,mm9,preloaded,"[{'src': 'hda', 'id': 34304588}]","""false""","""false""","""false""","""false""",32.0,,44208054,1520538145.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-08 19:42:45.747842,90109.0,17.0
,,2018-03-08 16:01:50.267356,slurm_normal,1520524961.0,0,3199905909.0,fasta,7680.0,1.0,main_w4_handler1,2886279,18659429,False,,28981,bed,12755460,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,"[{'src': 'hda', 'id': 27268889}]",,history,"[{'src': 'hda', 'id': 34297886}]","""false""","""false""","""false""","""false""",32.0,,43943959,1520524917.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-08 16:02:42.555746,94242.0,44.0
,,2018-03-08 19:50:09.848886,slurm_normal,1520538659.0,0,3199905909.0,fasta,7680.0,1.0,main_w4_handler1,2886279,18662527,False,,27485,bed,12758610,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,"[{'src': 'hda', 'id': 27268889}]",,history,"[{'src': 'hda', 'id': 34304671}]","""false""","""false""","""false""","""false""",32.0,,43943959,1520538617.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-08 19:51:01.062113,94242.0,42.0
,,2018-03-08 19:42:02.979620,slurm_normal,1520538180.0,0,,,7680.0,1.0,main_w3_handler0,3457318,18662422,False,,3925538,bed,12758527,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,,mm9,preloaded,"[{'src': 'hda', 'id': 34304593}]","""false""","""false""","""false""","""false""",32.0,,44208054,1520538175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.27.0.1,2.27.0.1,,2018-03-08 19:43:05.616771,90109.0,5.0
