create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,otu,otu_filetype,param_filename,parameters.chromInfo,parameters.dbkey,parameters.groups,parameters.label,parameters.otu.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-02 20:30:52.242916,slurm_normal,1491165067.0,0,1.0,main_w3_handler0,3056115,15464201,False,,9593827.roundup,slurm,,132112168.0,corral-repl,4526088,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29029035}]",32.0,,37023498,1491165062.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:31:08.993266,,5.0
2017-04-02 20:30:36.803034,slurm_normal,1491165057.0,0,1.0,main_w3_handler0,3056115,15464143,False,,9593825.roundup,slurm,,132112168.0,corral-repl,939587,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29028962}]",32.0,,37023498,1491165053.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:30:59.983828,,4.0
2017-04-02 20:30:38.232883,slurm_normal,1491165131.0,0,1.0,main_w3_handler0,3056115,15464146,False,,9593841.roundup,slurm,,132112168.0,corral-repl,7003274,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29028965}]",32.0,,37023498,1491165127.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:32:14.854124,,4.0
2017-04-02 20:30:38.717513,slurm_normal,1491165106.0,0,1.0,main_w4_handler0,3056115,15464148,False,,9593835.roundup,slurm,,132112168.0,corral-repl,2411338,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29028981}]",32.0,,37023498,1491165102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:31:48.298052,,4.0
2017-04-02 20:30:42.417963,slurm_normal,1491165173.0,0,1.0,main_w4_handler0,3056115,15464166,False,,9593848.roundup,slurm,,132112168.0,corral-repl,665870,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29028995}]",32.0,,37023498,1491165168.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:32:55.459679,,5.0
2017-04-02 20:30:45.384225,slurm_normal,1491165237.0,0,1.0,main_w4_handler0,3056115,15464176,False,,9593860.roundup,slurm,,132112168.0,corral-repl,1803792,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29029002}]",32.0,,37023498,1491165233.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:33:59.841877,,4.0
2017-04-02 20:30:39.707813,slurm_normal,1491165143.0,0,1.0,main_w4_handler0,3056115,15464153,False,,9593842.roundup,slurm,,132112168.0,corral-repl,1476410,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29028985}]",32.0,,37023498,1491165139.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:32:26.014927,,4.0
2017-04-02 20:30:52.769984,slurm_normal,1491165117.0,0,1.0,main_w3_handler0,3056115,15464204,False,,9593836.roundup,slurm,,132112168.0,corral-repl,579930,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29029038}]",32.0,,37023498,1491165111.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:31:59.975148,,6.0
2017-04-02 20:30:37.274807,slurm_normal,1491165047.0,0,1.0,main_w3_handler1,3056115,15464144,False,,9593819.roundup,slurm,,132112168.0,corral-repl,1312532,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29028963}]",32.0,,37023498,1491165042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:30:49.130892,,5.0
2017-04-02 20:30:39.263225,slurm_normal,1491165200.0,0,1.0,main_w3_handler1,3056115,15464150,False,,9593854.roundup,slurm,,132112168.0,corral-repl,2006430,fastq,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,"[{'src': 'hda', 'id': 29028983}]",32.0,,37023498,1491165195.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_list_otulabels/1.27.0,1.27.0,,2017-04-02 20:33:21.564710,,5.0
