create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile1,inputFile1_filetype,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.add_mate_cigar,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.inputFile.values,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-08 10:49:41.124825,slurm_normal,1518087155.0,0,7680.0,1.0,main_w3_handler0,3400281,18310390,False,,290997726,290997726,bam,bam,12393401,slurm,,132112168.0,corral-repl,,,"""true""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","[{'src': 'hda', 'id': 33745898}]","""LENIENT""",32.0,,43773243.0,1518087018.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2018-02-08 10:52:39.642840,108175,137.0
2018-02-03 17:52:49.954181,slurm_normal,1517680540.0,0,,1.0,main_w3_handler0,3400281,18247477,False,,290788058,290788058,bam,bam,12328812,slurm,,132112168.0,corral-repl,,,"""true""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 33655069}]","""LENIENT""",32.0,,43660636.0,1517680379.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2018-02-03 17:55:42.514948,108175,161.0
2017-10-26 12:16:03.203897,slurm_normal,1509020870.0,0,,1.0,main_w4_handler0,3298583,17226123,False,,1585854877,1585854877,bam,bam,11287619,slurm,,132112168.0,corral-repl,,,"""true""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31897535}]","""LENIENT""",32.0,,41519572.0,1509020177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2017-10-26 12:27:56.506407,114197,693.0
2017-10-27 12:16:14.397838,slurm_normal,1509107318.0,0,,1.0,main_w4_handler1,3301576,17239113,False,,1586860607,1586860607,bam,bam,11299955,slurm,,132112168.0,corral-repl,,,"""true""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31922748}]","""LENIENT""",32.0,,41519572.0,1509106593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2017-10-27 12:28:41.070020,114197,725.0
2017-10-27 16:09:12.954450,slurm_normal,1509121126.0,0,,1.0,main_w4_handler0,3301576,17241740,False,,1597449402,1597449402,bam,bam,11302310,slurm,,132112168.0,corral-repl,,,"""true""","""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31925825}]","""LENIENT""",32.0,,41519572.0,1509120559.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2017-10-27 16:18:47.652604,114197,567.0
2017-10-28 20:01:53.674645,slurm_normal,1509221631.0,0,,1.0,main_w4_handler0,3302518,17251153,False,,1586249434,1586249434,bam,bam,11311216,slurm,,132112168.0,corral-repl,,,"""true""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31940832}]","""LENIENT""",32.0,,41519572.0,1509220924.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2017-10-28 20:13:52.496600,114197,707.0
2017-11-01 03:33:30.002800,slurm_normal,1509508641.0,0,,1.0,main_w3_handler1,3306494,17282562,False,,778842458,778842458,bam,bam,11343781,slurm,,132112168.0,corral-repl,,"""60e10330beb511e79ea5005056ba2773""","""true""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31997250}]","""LENIENT""",32.0,,,1509508194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2017-11-01 03:57:22.622018,114535,447.0
2017-11-01 03:33:32.397282,slurm_normal,1509509475.0,0,,1.0,main_w3_handler0,3306494,17282563,False,,814323027,814323027,bam,bam,11343829,slurm,,132112168.0,corral-repl,,"""60e10330beb511e79ea5005056ba2773""","""true""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31997251}]","""LENIENT""",32.0,,,1509509034.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2017-11-01 04:11:16.490125,114535,441.0
2017-11-01 03:33:27.807707,slurm_normal,1509508539.0,0,,1.0,main_w4_handler1,3306494,17282561,False,,776212665,776212665,bam,bam,11343778,slurm,,132112168.0,corral-repl,,"""60e10330beb511e79ea5005056ba2773""","""true""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31997249}]","""LENIENT""",32.0,,,1509508107.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2017-11-01 03:55:45.053420,114535,432.0
2017-11-01 03:33:34.532712,slurm_normal,1509509587.0,0,,1.0,main_w4_handler0,3306494,17282564,False,,792514590,792514590,bam,bam,11343834,slurm,,132112168.0,corral-repl,,"""60e10330beb511e79ea5005056ba2773""","""true""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31997252}]","""LENIENT""",32.0,,,1509509157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.7.1.0,2.7.1.0,,2017-11-01 04:13:13.962105,114535,430.0
