create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.block,parameters.chromInfo,parameters.codon,parameters.count,parameters.dbkey,parameters.inframe,parameters.input1,parameters.input1.values,parameters.maximum,parameters.minimum,parameters.out_format1,parameters.point,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-17 02:41:34.236499,slurm_normal,1429238511.0,0.0,1.0,main_w2_handler0,2273076,9251770,False,,1583,fasta,13858.rodeo,slurm,,16332488.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""155""","""?""","""no""",19324733,,"""1""","""1""","""fasta""","""4""",2.0,,22547176,1429238508.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2015-04-17 02:42:04.230546,,3.0
2015-04-17 02:45:58.337649,slurm_normal,1429238781.0,0.0,1.0,main_w2_handler1,2273076,9251775,False,,1583,fasta,13900.rodeo,slurm,,16332488.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""160""","""?""","""no""",19324733,,"""1""","""1""","""fasta""","""4""",2.0,,22547176,1429238775.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2015-04-17 02:46:26.279763,,6.0
2015-04-17 02:48:25.478435,slurm_normal,1429238921.0,0.0,1.0,main_w1_handler0,2273076,9251780,False,,1583,fasta,13920.rodeo,slurm,,16332488.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""180""","""?""","""no""",19324733,,"""1""","""1""","""fasta""","""4""",2.0,,22547176,1429238916.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2015-04-17 02:48:46.109434,,5.0
2015-04-17 02:51:28.201104,slurm_normal,1429239102.0,0.0,1.0,main_w2_handler1,2273076,9251801,False,,1583,fasta,13959.rodeo,slurm,,16332488.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""200""","""?""","""no""",19324733,,"""1""","""1""","""fasta""","""4""",2.0,,22547176,1429239098.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2015-04-17 02:51:45.886573,,4.0
2017-03-29 12:08:11.216324,slurm_normal,1490789302.0,0.0,1.0,main_w4_handler0,3026619,15423477,False,,28498,fasta,9555627.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""1""","""?""","""no""",,"[{'src': 'hda', 'id': 28965874}]","""10""","""1""","""fasta""","""0""",32.0,,36551572,1490789296.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2017-03-29 12:08:25.617628,17859.0,6.0
2017-03-30 10:22:35.335086,slurm_normal,1490869363.0,0.0,1.0,main_w3_handler0,3026619,15434144,False,,64800,fasta,9565852.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""1""","""?""","""no""",,"[{'src': 'hda', 'id': 28972905}]","""10""","""1""","""fasta""","""4""",32.0,,36551572,1490869358.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2017-03-30 10:22:44.666001,17859.0,5.0
2017-03-30 12:45:44.360246,slurm_normal,1490880750.0,0.0,1.0,main_w4_handler1,3026619,15435022,False,,64800,fasta,9566468.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""1""","""?""","""no""",,"[{'src': 'hda', 'id': 28972905}]","""10""","""1""","""fasta""","""1""",32.0,,36551572,1490880740.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2017-03-30 13:35:55.433319,17859.0,10.0
2017-03-30 12:43:03.400993,slurm_normal,1490877793.0,0.0,1.0,main_w3_handler0,3026619,15435006,False,,64800,fasta,9566200.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""1""","""?""","""no""",,"[{'src': 'hda', 'id': 28972905}]","""10""","""1""","""fasta""","""0""",32.0,,36551572,1490877789.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2017-03-30 12:43:14.768293,17859.0,4.0
2017-03-30 12:42:07.765119,slurm_normal,1490877744.0,0.0,1.0,main_w3_handler1,3026619,15435001,False,,64800,fasta,9566199.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""1""","""?""","""no""",,"[{'src': 'hda', 'id': 28972905}]","""10""","""1""","""fasta""","""0""",32.0,,36551572,1490877740.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2017-03-30 12:42:27.493357,17859.0,4.0
2017-03-30 12:46:24.317103,slurm_normal,1490880988.0,0.0,1.0,main_w4_handler1,3026619,15435028,False,,64800,fasta,9566472.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""0""","""1""","""?""","""no""",,"[{'src': 'hda', 'id': 28972905}]","""10""","""1""","""fasta""","""1""",32.0,,36551572,1490880746.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: msbar55/5.0.0,5.0.0,,2017-03-30 13:42:37.656739,17859.0,242.0
