create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.boxit,parameters.chromInfo,parameters.dbkey,parameters.gap,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.wordsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-03 16:44:27.849097,slurm_normal,1517676283.0,1.0,,1.0,main_w3_handler0,3411311,18247167,False,Job output deleted by user before job completed.,461,fasta,12328488,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 33654517}]",,"""6""",32.0,,43659651.0,1517676279.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2018-02-03 16:44:44.070122,120990.0,4.0
2017-11-19 13:50:12.165055,slurm_normal,1511099419.0,1.0,,1.0,main_w4_handler0,3327179,17507775,False,,2385,fasta,11568165,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 32396691}]",,"""6""",32.0,,42031538.0,1511099415.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2017-11-19 13:50:21.544862,,4.0
2017-11-19 13:54:52.183922,slurm_normal,1511099699.0,1.0,,1.0,main_w3_handler1,3327179,17507791,False,,2351,fasta,11568181,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 32396701}]",,"""8""",32.0,,42031538.0,1511099695.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2017-11-19 13:55:01.788207,,4.0
2017-11-19 13:52:29.389231,slurm_normal,1511099556.0,1.0,,1.0,main_w3_handler1,3327179,17507778,False,,2351,fasta,11568169,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 32396701}]",,"""6""",32.0,,42031538.0,1511099552.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2017-11-19 13:52:36.689383,,4.0
2017-11-19 13:55:46.805915,slurm_normal,1511099756.0,1.0,,1.0,main_w3_handler0,3327179,17507793,False,,2351,fasta,11568184,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 32396701}]",,"""4""",32.0,,42031538.0,1511099751.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2017-11-19 13:55:58.820574,,5.0
2017-11-19 13:55:19.308199,slurm_normal,1511099726.0,1.0,,1.0,main_w4_handler1,3327179,17507792,False,,2351,fasta,11568182,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 32396701}]",,"""5""",32.0,,42031538.0,1511099722.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2017-11-19 13:55:28.395453,,4.0
2017-12-04 09:23:39.669673,slurm_normal,1512379432.0,1.0,,1.0,main_w4_handler0,2958821,17687399,False,,5246,fasta,11752002,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""10""",,"[{'src': 'hda', 'id': 27962151}]",,"""6""",32.0,,42437723.0,1512379428.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2017-12-04 09:23:54.269438,2071.0,4.0
2018-02-03 20:05:24.174295,slurm_normal,1517688344.0,1.0,,1.0,main_w4_handler0,3415250,18248068,False,,359,fasta,12329647,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10Strains1.len""","""mm10Strains1""","""10""",,"[{'src': 'hda', 'id': 33655536}]",,"""6""",32.0,,43649250.0,1517688339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2018-02-03 20:05:45.844648,,5.0
2018-02-03 16:41:48.321999,slurm_normal,1517676120.0,1.0,,1.0,main_w4_handler1,3411311,18247150,False,,461,fasta,12328461,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 33654517}]",,"""6""",32.0,,43659651.0,1517676116.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2018-02-03 16:42:02.275994,120990.0,4.0
2018-02-03 16:42:27.523204,slurm_normal,1517676161.0,1.0,,1.0,main_w4_handler0,3411311,18247155,False,,461,fasta,12328470,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 33654517}]",,"""6""",32.0,,43659651.0,1517676157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: polydot77/5.0.0,5.0.0,,2018-02-03 16:42:43.448812,120990.0,4.0
