create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputA.values,parameters.inputB.values,parameters.overlap,parameters.reciprocal,parameters.split,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-12 11:55:22.125480,slurm_normal,1510487730.0,0,,1.0,main_w3_handler0,3310106,17425742,False,,265884,bed,140107,bed,11485354,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32257965}]","[{'src': 'hda', 'id': 32257998}]","""1e-09""","""false""","""false""","""""",32.0,,41170496,1510487724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2017-11-12 11:55:31.152455,37946.0,6.0
2017-11-12 11:55:30.970374,slurm_normal,1510487740.0,0,,1.0,main_w4_handler0,3310106,17425744,False,,265884,bed,234609,bed,11485356,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32257965}]","[{'src': 'hda', 'id': 32257999}]","""1e-09""","""false""","""false""","""""",32.0,,41170496,1510487734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2017-11-12 11:55:42.961250,37946.0,6.0
2017-11-14 15:17:15.366932,slurm_normal,1510672654.0,0,,1.0,main_w4_handler0,3323015,17454636,False,,421199,bed,419156,bed,11512326,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32285117}]","[{'src': 'hda', 'id': 32305693}]","""1e-09""","""false""","""false""","""""",32.0,,40957050,1510672650.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2017-11-14 15:17:41.835497,37946.0,4.0
2017-11-14 15:17:03.571421,slurm_normal,1510672698.0,0,,1.0,main_w3_handler1,3323015,17454628,False,,421199,bed,249485,bed,11512319,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32285117}]","[{'src': 'hda', 'id': 32305662}]","""1e-09""","""false""","""false""","""""",32.0,,40957050,1510672638.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2017-11-14 15:18:21.512710,37946.0,60.0
2018-01-11 18:08:15.363008,slurm_normal,1515694104.0,0,,1.0,main_w3_handler0,2922150,18005685,False,,2802369,bed,2621637,bed,12082840,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 33249487}]","[{'src': 'hda', 'id': 33249507}]","""1e-09""","""false""","""false""","""""",32.0,,41648724,1515694099.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2018-01-11 18:08:27.213913,46988.0,5.0
2017-11-16 17:02:17.215251,slurm_normal,1510851753.0,0,,1.0,main_w3_handler1,3323015,17484110,False,,421199,bed,1449461,bed,11542375,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32309659}]","[{'src': 'hda', 'id': 32288999}]","""1e-09""","""false""","""false""","""""",32.0,,40957050,1510851747.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2017-11-16 17:02:37.594848,37946.0,6.0
2017-11-16 17:01:23.709052,slurm_normal,1510851698.0,0,,1.0,main_w3_handler1,3323015,17484103,False,,421199,bed,1499151,bed,11542369,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32309659}]","[{'src': 'hda', 'id': 32288932}]","""1e-09""","""false""","""false""","""""",32.0,,40957050,1510851693.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2017-11-16 17:01:40.320817,37946.0,5.0
2017-11-16 16:56:17.722056,slurm_normal,1510851439.0,0,,1.0,main_w4_handler0,3323015,17484032,False,,421199,bed,249485,bed,11542319,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32309659}]","[{'src': 'hda', 'id': 32309660}]","""1e-09""","""false""","""false""","""""",32.0,,40957050,1510851435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2017-11-16 16:57:50.173584,37946.0,4.0
2017-11-16 16:56:26.780335,slurm_normal,1510851400.0,0,,1.0,main_w3_handler1,3323015,17484034,False,,421199,bed,419156,bed,11542312,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32309659}]","[{'src': 'hda', 'id': 32309672}]","""1e-09""","""false""","""false""","""""",32.0,,40957050,1510851395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2017-11-16 16:56:41.752778,37946.0,5.0
2017-11-16 17:02:05.731955,slurm_normal,1510851739.0,0,,1.0,main_w3_handler1,3323015,17484108,False,,421199,bed,1370776,bed,11542374,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32309659}]","[{'src': 'hda', 'id': 32288942}]","""1e-09""","""false""","""false""","""""",32.0,,40957050,1510851735.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.26.0.0,2.26.0.0,,2017-11-16 17:02:21.849833,37946.0,4.0
