chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__current_case__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
13.0,len,2015-03-10 18:57:07.695279,rodeo_normal,1426013840.0,0.0,,1.0,main_w1_handler0,1748492,8910804,False,,4377,fasta,3096417.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/634/dataset_10634869.dat""","""?""",18806672,,32.0,,21695117,1426013836.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-10 18:57:25.141312,42765.0,4.0
,,2015-03-10 20:48:00.978398,rodeo_normal,1426020495.0,0.0,,1.0,main_w2_handler0,2123922,8911913,False,,38970761,fasta,3098363.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17430617,,32.0,,21696536,1426020491.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-10 20:48:17.252772,53731.0,4.0
,,2015-03-11 15:58:19.476392,rodeo_normal,1426089511.0,0.0,,1.0,main_w1_handler1,2233695,8917567,False,,122387948,fasta,3110852.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18494439,,32.0,,21199985,1426089506.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-11 15:58:35.417304,58185.0,5.0
16.0,len,2015-03-11 20:57:43.465190,rodeo_normal,1426107498.0,0.0,,1.0,main_w2_handler0,2232630,8920312,False,,19623,fasta,3115575.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/646/dataset_10646899.dat""","""?""",18820535,,32.0,,21732831,1426107495.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-11 20:58:22.987748,60724.0,3.0
12.0,len,2015-03-12 15:00:31.477226,rodeo_normal,1426172446.0,0.0,,1.0,main_w2_handler0,2235567,8931609,False,,1289012,fasta,3136946.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/659/dataset_10659618.dat""","""wolbEndo_OF_DROSOPHIL""",18833714,,32.0,,21479508,1426172443.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-12 15:00:48.285572,60244.0,3.0
32.0,len,2015-03-12 15:12:20.239400,rodeo_normal,1426173154.0,0.0,,1.0,main_w1_handler1,2235621,8932256,False,,1289006,fasta,3137814.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/660/dataset_10660223.dat""","""wolbEndo_OF_DROSOPHIL""",18835470,,32.0,,21479508,1426173152.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-12 15:12:38.623452,60244.0,2.0
,,2015-03-12 16:43:43.365859,rodeo_normal,1426178687.0,0.0,,1.0,main_w1_handler0,2104786,8934501,False,,483483993,fasta,3142143.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17576414,,32.0,,21525027,1426178656.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-12 16:44:49.408554,52881.0,31.0
29.0,len,2015-03-13 00:38:41.251320,rodeo_normal,1426207132.0,0.0,,1.0,main_w1_handler0,2233498,8938173,False,,2471,fasta,3150015.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/667/dataset_10667293.dat""","""?""",18811376,,32.0,,21673299,1426207129.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-13 00:38:54.034887,60696.0,3.0
29.0,len,2015-03-13 00:58:58.759633,rodeo_normal,1426208354.0,0.0,,1.0,main_w2_handler1,2233498,8938939,False,,2471,fasta,3150432.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/667/dataset_10667293.dat""","""?""",18811377,,32.0,,21673299,1426208352.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-13 00:59:20.453819,60696.0,2.0
11.0,len,2015-03-13 10:24:41.097638,rodeo_normal,1426242292.0,0.0,,1.0,main_w2_handler1,2235233,8941711,False,,16910,fasta,3155199.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/671/dataset_10671134.dat""","""hg19""",18833631,,32.0,,21774264,1426242289.0,ok,1023996.0,CONVERTER_fasta_to_2bit,1.0.0,,2015-03-13 10:24:55.258572,60824.0,3.0
