chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.out_format2,parameters.score,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-06 17:01:41.277394,slurm_normal,1509989072.0,0.0,,1.0,main_w3_handler1,3313489,17348215,False,,17095094,fasta,11411530,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 32096162}]","""embl""","""17""",32.0,,41787473.0,1509989066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2017-11-06 17:43:04.783306,115155.0,6.0
,,2017-11-20 00:54:09.027358,slurm_normal,1511139268.0,0.0,,1.0,main_w4_handler0,3304708,17511809,False,,13376,fasta,11571619,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32401715}]","""gff""","""17""",32.0,,41919794.0,1511139264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2017-11-20 00:54:33.406090,114717.0,4.0
,,2017-11-20 00:54:08.585105,slurm_normal,1511139266.0,0.0,,1.0,main_w4_handler0,3304708,17511808,False,,13360,fasta,11571618,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32401713}]","""gff""","""17""",32.0,,41919794.0,1511139261.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2017-11-20 00:54:31.374305,114717.0,5.0
,,2017-11-29 01:40:01.590271,slurm_normal,1511919612.0,0.0,,1.0,main_w4_handler1,3341893,17628670,False,,3368428,fasta,11689207,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32569641}]","""gff""","""17""",32.0,,42315514.0,1511919606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2017-11-29 01:40:13.908564,111965.0,6.0
,,2018-03-06 23:15:29.392976,slurm_normal,1520378143.0,0.0,7680.0,1.0,main_w3_handler0,3443813,18631804,False,,1074055,fasta,12728142,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 34251262}]","""gff""","""17""",32.0,,44183969.0,1520378140.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2018-03-06 23:15:45.868565,,3.0
,,2017-12-02 15:33:30.310307,slurm_normal,1512228826.0,0.0,,1.0,main_w3_handler1,3341893,17675321,False,,1499600,fasta,11737155,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32692746}]","""gff""","""17""",32.0,,42411858.0,1512228821.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2017-12-02 15:33:48.104837,111965.0,5.0
,,2018-02-10 16:10:07.463300,slurm_normal,1518279016.0,0.0,7680.0,1.0,main_w4_handler1,3424755,18337534,False,,91603,fasta,12421865,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 33787085}]","""gff""","""17""",32.0,,43433913.0,1518279013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2018-02-10 16:10:18.642463,120626.0,3.0
,,2018-02-24 14:39:34.053692,slurm_normal,1519483187.0,0.0,7680.0,1.0,main_w3_handler0,3419600,18506994,False,,3157937,fasta,12603045,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 34047558}]","""gff""","""17""",32.0,,43733425.0,1519483181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2018-02-24 14:39:49.299706,,6.0
,,2015-05-04 19:02:31.397444,slurm_normal,1430766181.0,0.0,,1.0,main_w1_handler1,2257279,9390119,False,,2804278,fasta,3722899.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/63.len""","""63""",19565096,,"""gff""","""17""",32.0,,22205568.0,1430766173.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2015-05-04 19:03:05.427287,61864.0,8.0
172514.0,len,2015-03-22 21:53:01.751533,rodeo_normal,1427061260.0,0.0,,1.0,main_w1_handler1,2104786,9009201,False,,398716904,fasta,3280003.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18842510,,"""gff""","""17""",32.0,,21886039.0,1427061191.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgreport16/5.0.0,5.0.0,,2015-03-22 21:54:21.825383,52881.0,69.0
