bamInput,bamInput_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
14353579541,bam,2016-10-15 09:59:26.547870,slurm_multi,1476532331.0,0,6.0,main_w4_handler2,2210340,14087968,False,,8304517,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b574355ae08d2e6c14'}]","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,,2451960000,"""350""","""pdf""","""""",0,hg_g1k_v37,cached,32.0,,33711795,1476525760.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-15 11:52:16.978328,59804,6571.0
26381685790,bam,2016-10-15 10:01:30.686159,slurm_multi,1476532732.0,0,6.0,main_w3_handler2,2232551,14087970,False,,8304524,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50268949b98f4e444'}]","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,,2451960000,"""350""","""pdf""","""""",0,hg_g1k_v37,cached,32.0,,33711831,1476525910.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-15 11:58:53.745759,60720,6822.0
12404738368,bam,2016-10-14 11:18:23.661955,slurm_multi,1476506888.0,0,6.0,main_w4_handler2,2196193,14081223,False,,8303737,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51e6169a01b774d2b'}]","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,,2451960000,"""350""","""pdf""","""""",0,hg_g1k_v37,cached,32.0,,33683335,1476500883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-15 04:48:10.542659,37892,6005.0
25301817422,bam,2016-10-16 00:24:30.801321,slurm_multi,1476584605.0,0,6.0,main_w3_handler2,2232551,14090493,False,,8306744,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550aad7856e566068'}]","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,,2451960000,"""350""","""pdf""","""""",0,hg_g1k_v37,cached,32.0,,33724142,1476577771.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-16 02:23:27.066693,60720,6834.0
35004595146,bam,2016-10-16 00:24:30.388363,slurm_multi,1476592419.0,0,6.0,main_w4_handler2,2232551,14090492,False,,8306972,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddead3e9b7584994'}]","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,,2451960000,"""350""","""pdf""","""""",0,hg_g1k_v37,cached,32.0,,33724142,1476584819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-16 04:33:40.952356,60720,7600.0
26381685790,bam,2016-10-16 00:24:31.164624,slurm_multi,1476599564.0,0,6.0,main_w4_handler2,2232551,14090494,False,,8307175,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50268949b98f4e444'}]","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,,2451960000,"""350""","""pdf""","""""",0,hg_g1k_v37,cached,32.0,,33724142,1476592620.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-16 06:32:46.542792,60720,6944.0
1004536589,bam,2016-10-17 18:43:04.668881,slurm_multi,1476737146.0,0,6.0,main_w4_handler2,2413709,14101303,False,,8316932,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b555b67695f7195b3b'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""150""","""png""","""""",0,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,33764699,1476733900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-17 20:46:12.765837,46988,3246.0
426546361,bam,2016-10-17 18:43:04.991135,slurm_multi,1476733544.0,0,6.0,main_w3_handler2,2413709,14101304,False,,8316463,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53b717ca390e10c61'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""150""","""png""","""""",0,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,33764699,1476730410.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-17 19:45:45.650972,46988,3134.0
341050664,bam,2016-10-17 21:54:03.311556,slurm_multi,1476745307.0,0,6.0,main_w3_handler2,2413709,14102633,False,,8317808,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4dba8499174d179'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""150""","""png""","""""",0,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,33764699,1476742158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-17 23:03:23.595669,46988,3149.0
341050664,bam,2016-10-17 21:42:15.740186,slurm_multi,1476741069.0,0,6.0,main_w4_handler2,2413709,14102579,False,,8317705,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4dba8499174d179'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""150""","""png""","""""",0,Araly1,cached,32.0,,33764699,1476741041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-17 21:51:12.105665,46988,28.0
1134784191,bam,2016-10-20 22:50:32.031144,slurm_multi,1477026930.0,0,6.0,main_w4_handler2,2860052,14135401,False,,8350456,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52743de51dccde753'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,2150570000,"""300""","""png""","""""",0,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,33646174,1477023502.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-21 05:15:38.214437,76865,3428.0
1271823465,bam,2016-10-20 22:50:32.747081,slurm_multi,1477030822.0,0,6.0,main_w3_handler2,2860052,14135402,False,,8350548,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50369586464bc4937'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,2150570000,"""300""","""png""","""""",0,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,33646174,1477027219.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-21 06:20:25.471502,76865,3603.0
2899137016,bam,2016-10-20 23:15:14.219213,slurm_multi,1477035008.0,0,6.0,main_w3_handler2,2758228,14135483,False,,8350685,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5749a0c488027b0c0'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,2150570000,"""300""","""png""","""""",0,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,33835900,1477031106.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-21 07:30:10.856678,76865,3902.0
1741974797,bam,2016-10-20 23:15:14.643282,slurm_multi,1477038895.0,0,6.0,main_w3_handler2,2758228,14135484,False,,8350881,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56408251e16f9591b'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,2150570000,"""300""","""png""","""""",0,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,33835900,1477035338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-21 08:35:06.950579,76865,3557.0
