bamfile,bamfile_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,flattened_gtf_in,flattened_gtf_in_filetype,galaxy_memory_mb,galaxy_slots,gtffile,gtffile_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bamfile|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.aggregate,parameters.mode.bamfile.values,parameters.mode.flattened_gtf_in.values,parameters.mode.gtffile.values,parameters.mode.mode_select,parameters.mode.order,parameters.mode.paired,parameters.mode.qual,parameters.mode.stranded,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
3915540283.0,bam,,,2017-12-27 16:17:41.937508,slurm_normal,1514394775.0,0,5545660.0,gtf,,1.0,,,main_w4_handler0,3371783,17904093,False,,11978802,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,,"[{'src': 'hda', 'id': 33026748}]","[{'src': 'hda', 'id': 33090076}]",,count,pos,true,10,no,32.0,,42876251.0,1514391468.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2017-12-27 17:12:57.580300,92490.0,3307.0
,,,,2017-10-19 14:53:32.552197,slurm_normal,1508424859.0,0,,,,1.0,30554516.0,gtf,main_w4_handler0,3292502,17145965,False,,11203549,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,true,,,"[{'src': 'hda', 'id': 31759216}]",prepare,,,,,32.0,,41395820.0,1508424827.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2017-10-19 14:54:31.608346,113287.0,32.0
,,,,2017-10-19 15:41:48.759334,slurm_normal,1508427731.0,0,,,,1.0,10599538.0,gtf,main_w3_handler0,3292502,17146410,False,,11204076,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,true,,,"[{'src': 'hda', 'id': 31760733}]",prepare,,,,,32.0,,41396852.0,1508427715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2017-10-19 15:42:12.622191,113287.0,16.0
,,,,2017-10-19 15:42:46.535267,slurm_normal,1508427811.0,0,,,,1.0,10592681.0,gtf,main_w3_handler1,3292502,17146414,False,,11204081,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,true,,,"[{'src': 'hda', 'id': 31760735}]",prepare,,,,,32.0,,41396852.0,1508427780.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2017-10-19 15:43:34.313152,113287.0,31.0
8245146671.0,bam,,,2018-03-04 12:51:45.534787,slurm_normal,1520177045.0,0,1151947379.0,gtf,7680.0,1.0,,,main_w3_handler0,3348491,18599556,False,,12694875,slurm,,132112168.0,corral-repl,,,"""64cneg_.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,,"[{'src': 'hda', 'id': 34045855}]","[{'src': 'hda', 'id': 33976338}]",,count,pos,true,10,reverse,32.0,,43775052.0,1520171623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-03-04 15:24:07.758120,117374.0,5422.0
9313867382.0,bam,,,2018-03-04 12:51:54.513762,slurm_normal,1520177702.0,0,1151947379.0,gtf,7680.0,1.0,,,main_w4_handler0,3348491,18599568,False,,12694873,slurm,,132112168.0,corral-repl,,,"""69cneg_.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,,"[{'src': 'hda', 'id': 34045865}]","[{'src': 'hda', 'id': 33976338}]",,count,pos,true,10,reverse,32.0,,43775052.0,1520171607.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-03-04 15:35:05.964671,117374.0,6095.0
8930404742.0,bam,,,2018-03-04 12:51:48.481819,slurm_normal,1520183804.0,0,1151947379.0,gtf,7680.0,1.0,,,main_w3_handler1,3348491,18599561,False,,12695871,slurm,,132112168.0,corral-repl,,,"""67apos_.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,,"[{'src': 'hda', 'id': 34045858}]","[{'src': 'hda', 'id': 33976338}]",,count,pos,true,10,reverse,32.0,,43775052.0,1520177947.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-03-04 17:16:46.243294,117374.0,5857.0
3997073359.0,bam,,,2018-03-04 12:51:55.007481,slurm_normal,1520177941.0,0,1151947379.0,gtf,7680.0,1.0,,,main_w3_handler0,3348491,18599569,False,,12695633,slurm,,132112168.0,corral-repl,,,"""69cpos_.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,,"[{'src': 'hda', 'id': 34045866}]","[{'src': 'hda', 'id': 33976338}]",,count,pos,true,10,reverse,32.0,,43775052.0,1520175374.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-03-04 15:39:02.723942,117374.0,2567.0
3138275240.0,bam,,,2018-03-04 16:33:19.722445,slurm_normal,1520183968.0,0,1107776842.0,gtf,7680.0,1.0,,,main_w3_handler0,3412961,18600994,False,,12696219,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,,"[{'src': 'hda', 'id': 34091267}]","[{'src': 'hda', 'id': 34094737}]",,count,pos,true,10,no,32.0,,44310306.0,1520181210.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-03-04 17:19:30.763975,109776.0,2758.0
64399492.0,bam,,,2018-03-04 15:57:54.546989,slurm_normal,1520179149.0,0,54433809.0,gtf,7680.0,1.0,,,main_w3_handler0,3449094,18600818,False,,12696020,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/galGal4.len""","""galGal4""",1,,"[{'src': 'hda', 'id': 34165780}]","[{'src': 'hda', 'id': 34193531}]",,count,pos,true,10,no,32.0,,43622766.0,1520179082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-03-04 15:59:11.731060,119480.0,67.0
65594988.0,bam,,,2018-03-04 15:57:53.787432,slurm_normal,1520179152.0,0,54433809.0,gtf,7680.0,1.0,,,main_w4_handler0,3449094,18600817,False,,12696021,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/galGal4.len""","""galGal4""",1,,"[{'src': 'hda', 'id': 34165779}]","[{'src': 'hda', 'id': 34193531}]",,count,pos,true,10,no,32.0,,43622766.0,1520179085.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-03-04 15:59:13.778815,119480.0,67.0
65957169.0,bam,,,2018-03-04 15:57:52.745312,slurm_normal,1520179147.0,0,54433809.0,gtf,7680.0,1.0,,,main_w4_handler0,3449094,18600816,False,,12696019,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/galGal4.len""","""galGal4""",1,,"[{'src': 'hda', 'id': 34165778}]","[{'src': 'hda', 'id': 34193531}]",,count,pos,true,10,no,32.0,,43622766.0,1520179079.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-03-04 15:59:09.103288,119480.0,68.0
