chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-22 01:23:09.815921,slurm_normal,1516584577.0,0,,1.0,main_w4_handler0,3400082,18111209,False,,31596956,bam,12189884,slurm,,132112168.0,corral-repl,,"""bfae02a8ff1211e79517005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33430744}]",,"""LENIENT""",32.0,,,1516584566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2018-01-22 01:29:43.222595,115366.0,11.0
,,2018-01-25 23:32:07.892164,slurm_normal,1516924326.0,0,,1.0,main_w4_handler0,3205620,18159824,False,,341400823,sam,12241256,slurm,,132112168.0,corral-repl,,"""e3810a28022711e8b68a005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 33506086}]",,"""STRICT""",32.0,,,1516924304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2018-01-25 23:52:12.484603,98370.0,22.0
,,2018-01-26 00:03:36.923579,slurm_normal,1516927497.0,0,,1.0,main_w4_handler1,3405787,18160167,False,,558071338,sam,12241655,slurm,,132112168.0,corral-repl,,"""4605fa10022c11e8bb8d005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 33506513}]",,"""STRICT""",32.0,,,1516927461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2018-01-26 00:45:04.793032,98370.0,36.0
,,2018-01-29 00:04:01.071541,slurm_normal,1517184666.0,0,,1.0,main_w3_handler1,3408315,18182355,False,,5928191,bam,12264119,slurm,,132112168.0,corral-repl,,"""e31a8598048711e8aab3005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33541997}]",,"""LENIENT""",32.0,,,1517184654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2018-01-29 00:11:10.189368,115366.0,12.0
,,2018-01-29 00:34:47.854858,slurm_normal,1517186409.0,0,,1.0,main_w4_handler1,3408326,18182529,False,,5599032,bam,12264265,slurm,,132112168.0,corral-repl,,"""2fce4178048c11e88dc4005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33542242}]",,"""LENIENT""",32.0,,,1517186402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2018-01-29 00:40:10.637776,115366.0,7.0
,,2018-02-02 02:36:32.596882,slurm_normal,1517545621.0,0,,1.0,main_w3_handler1,3413942,18231406,False,,29747856,bam,12312248,slurm,,132112168.0,corral-repl,,"""dbe3ef5c07c111e8889f005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 33624908}]",,"""LENIENT""",32.0,,,1517545611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2018-02-02 04:27:05.151728,104550.0,10.0
,,2018-02-02 17:02:39.619988,slurm_normal,1517593172.0,0,,1.0,main_w4_handler1,3414046,18238050,False,,29744723,bam,12318822,slurm,,132112168.0,corral-repl,,"""d56210a4083a11e8bc71005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 33638842}]",,"""LENIENT""",32.0,,,1517593162.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2018-02-02 17:39:33.568750,104550.0,10.0
,,2016-03-09 21:08:03.371337,slurm_normal_16gb,1457557803.0,0,,1.0,main_w1_handler1,2627615,12088750,False,,29747869,bam,6313307.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23767244,,,"""LENIENT""",32.0,,28616851.0,1457557792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2016-03-09 21:10:06.768744,76939.0,11.0
,,2016-09-07 16:00:49.714207,slurm_normal_16gb,1473279182.0,0,,1.0,main_w3_handler0,2812001,13799569,False,,10641390267,bam,8021089.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532bc99049d63cc04'}]",,"""LENIENT""",32.0,,32065860.0,1473275070.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2016-09-07 20:13:04.838609,73652.0,4112.0
,,2016-03-10 12:01:05.319892,slurm_normal_16gb,1457611308.0,0,,1.0,main_w1_handler1,2627906,12094705,False,,29777563,bam,6319204.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23777533,,,"""LENIENT""",32.0,,28420049.0,1457611283.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.136.0,1.136.0,,2016-03-10 12:01:53.496436,78728.0,25.0
