chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.accession,parameters.chromInfo,parameters.dbkey,parameters.description,parameters.disname,parameters.gi,parameters.heading,parameters.html_out1,parameters.input1,parameters.input1.values,parameters.length,parameters.pgc,parameters.type,parameters.usa,parameters.version,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-01-06 04:46:37.743964,rodeo_normal,1420519625.0,0.0,,1.0,main_w2_handler1,2102877,8502868,False,,306,fasta,698225.rodeo,slurm,,16332532.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""no""","""no""","""yes""","""no""",18136917,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,18046126.0,1420519620.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-01-06 04:47:07.840193,,5.0
,,2014-09-30 14:26:10.678528,roundup_single,1412087183.0,0.0,,1.0,main_w2_handler1,2043673,7900441,False,,5638948,fasta,1880985,slurm,,132112264.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17096300,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,16848792.0,1412087181.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-09-30 14:26:25.112643,,2.0
,,2017-04-03 17:56:31.542713,slurm_normal,1491242198.0,0.0,,1.0,main_w3_handler0,3012623,15474612,False,,357,bed,9603541.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""","""no""","""no""","""no""","""yes""",,"[{'src': 'hda', 'id': 29045778}]","""yes""","""yes""","""no""","""no""","""no""",32.0,,36315725.0,1491242194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2017-04-03 17:56:40.716504,,4.0
,,2017-04-03 17:58:00.716286,slurm_normal,1491242289.0,0.0,,1.0,main_w4_handler1,3012623,15474630,False,,357,bed,9603556.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""","""no""","""no""","""no""","""no""",,"[{'src': 'hda', 'id': 29045778}]","""yes""","""yes""","""no""","""no""","""no""",32.0,,36315725.0,1491242284.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2017-04-03 17:58:10.097012,,5.0
,,2014-11-10 21:58:31.603118,rodeo_normal,1415656724.0,0.0,,1.0,main_w2_handler0,1908687,8138735,False,,225960,fasta,1976828.roundup,slurm,,132112264.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""yes""","""yes""","""no""","""yes""","""yes""",17484833,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,17192791.0,1415656718.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-11-10 21:58:45.642169,11898.0,6.0
,,2014-11-11 20:07:17.772055,rodeo_normal,1415736469.0,0.0,,1.0,main_w2_handler0,2115329,8145329,False,,729,txt,181293.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17501173,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,18474691.0,1415736465.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-11-11 20:07:56.371433,,4.0
,,2015-01-21 18:47:14.346859,rodeo_normal,1421866128.0,0.0,,1.0,main_w2_handler1,2180760,8581219,False,,174206876,fasta,2525879.roundup,slurm,,132112264.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""yes""","""yes""","""no""","""yes""","""no""",18260018,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,20580500.0,1421866055.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-01-21 18:48:52.431293,52467.0,73.0
,,2015-01-25 03:15:36.619821,rodeo_normal,1422155750.0,0.0,,1.0,main_w2_handler0,2183786,8601221,False,,19752,fasta,2557451.roundup,slurm,,132112264.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18291034,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,20638317.0,1422155748.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-01-25 03:15:51.406331,44985.0,2.0
,,2015-01-25 03:15:16.019038,rodeo_normal,1422155733.0,0.0,,1.0,main_w1_handler0,2183786,8601220,False,,14596,fasta,2557449.roundup,slurm,,132112264.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18291035,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,20638317.0,1422155731.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-01-25 03:15:36.024777,44985.0,2.0
,,2014-11-13 14:35:19.681806,rodeo_normal,1415889329.0,0.0,,1.0,main_w2_handler1,2117315,8159109,False,,1882,fasta,2002708.roundup,slurm,,132112264.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""yes""","""yes""","""no""","""yes""","""no""",17527149,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,18060956.0,1415889327.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-11-13 14:35:33.038333,13758.0,2.0
