create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.inputA,parameters.inputA.values,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-05-27 13:24:11.031255,slurm_normal,1464355498.0,0,1.0,main_w1_handler1,2713824,13003393,False,,982963,bed,7189955.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58609e6c55f39cc4e'}]","""false""",32.0,,30384726,1464355494.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-05-27 13:25:00.390920,60032.0,4.0
2016-05-27 17:22:37.349799,slurm_normal,1464369786.0,0,1.0,main_w2_handler0,2717298,13007549,False,,2496274,bed,7193675.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c43299c00adaa546'}]","""false""",32.0,,30418501,1464369782.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-05-27 17:23:12.021785,83700.0,4.0
2016-04-03 15:45:44.573258,slurm_normal,1459698419.0,0,1.0,main_w1_handler0,2478539,12326039,False,,605467386,bed,6532679.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""10000""",24124773,,"""False""",32.0,,29350808,1459698355.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-03 15:47:05.480273,70907.0,64.0
2016-04-03 15:45:35.611235,slurm_normal,1459698381.0,0,1.0,main_w1_handler2,2478539,12326037,False,,297425643,bed,6532677.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""10000""",24124771,,"""False""",32.0,,29350808,1459698346.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-03 15:46:24.398069,70907.0,35.0
2016-04-08 18:23:30.883214,slurm_normal,1460140175.0,0,1.0,main_w1_handler0,2658720,12394287,False,,4716297456,bed,6590485.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""10""",24170281,,"""False""",32.0,,29444958,1460139829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-08 18:29:39.874499,30491.0,346.0
2016-04-08 18:34:15.527818,slurm_normal,1460140962.0,0,1.0,main_w2_handler1,2658720,12394383,False,,5422103151,bed,6590646.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""10""",24220275,,"""False""",32.0,,29444958,1460140482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-08 18:42:46.709020,30491.0,480.0
2016-05-27 15:39:19.629798,slurm_normal,1464363634.0,0,1.0,main_w2_handler0,2717298,13005486,False,,123840412,bed,7192067.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e7ec4fe493fdd483'}]","""false""",32.0,,30418501,1464363615.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-05-27 15:40:44.068326,83700.0,19.0
2016-04-13 20:18:26.466112,slurm_normal,1460579478.0,0,1.0,main_w2_handler1,2658720,12445540,False,,4120271186,bed,6643430.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d95e6625a0d28ee3'}]","""false""",32.0,,29579628,1460578776.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-13 20:31:26.152783,30491.0,702.0
2016-04-13 19:43:51.431114,slurm_normal,1460581120.0,0,1.0,main_w2_handler0,2658720,12445364,False,,4118823362,bed,6643529.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5456078c16692be00'}]","""false""",32.0,,29579628,1460580037.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-13 20:58:43.314092,30491.0,1083.0
2016-04-13 16:06:11.217203,slurm_normal,1460566876.0,0,1.0,main_w1_handler2,2658720,12443203,False,,4120271186,bed,6641788.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d95e6625a0d28ee3'}]","""false""",32.0,,29579628,1460566572.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-13 17:01:18.217823,30491.0,304.0
2016-04-13 19:43:33.528282,slurm_normal,1460577029.0,0,1.0,main_w2_handler1,2658720,12445342,False,,4120271186,bed,6643220.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d95e6625a0d28ee3'}]","""false""",32.0,,29579628,1460576639.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-13 19:50:32.727872,30491.0,390.0
2016-04-22 14:53:45.927113,slurm_normal,1461336873.0,0,1.0,main_w1_handler1,2680993,12568950,False,,1032588,bed,6754424.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56bb5203572f98d54'}]","""true""",32.0,,29763540,1461336845.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-22 14:54:35.381852,,28.0
2016-04-22 14:56:06.151223,slurm_normal,1461337010.0,0,1.0,main_w2_handler0,2680993,12568992,False,,1197970,bed,6754452.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53e497bb3aa4e0e3f'}]","""true""",32.0,,29763540,1461336990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-04-22 14:56:52.953501,,20.0
2016-06-01 12:57:32.655555,slurm_normal,1464785941.0,0,1.0,main_w2_handler0,2723181,13039606,False,,46023,bed,7220107.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""5000""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e1c2d2153c9d3fa5'}]","""false""",32.0,,30438799,1464785938.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-06-01 12:59:03.115670,81119.0,3.0
2016-06-01 13:03:51.249999,slurm_normal,1464786260.0,0,1.0,main_w1_handler0,2723181,13039647,False,,51736,bed,7220140.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""5000""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55a31b7f0e3137dd8'}]","""false""",32.0,,30438799,1464786257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-06-01 13:04:23.689850,81119.0,3.0
2016-06-06 11:45:15.458321,slurm_normal,1465213569.0,0,1.0,main_w1_handler1,2728474,13083792,False,,90835,bed,7267763.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""15""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e0430d4c90b08293'}]","""false""",32.0,,30438799,1465213565.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-06-06 11:46:10.837886,81119.0,4.0
2016-06-06 14:41:34.437097,slurm_normal,1465224136.0,0,1.0,main_w2_handler1,2502735,13085385,False,,9041627,bed,7269492.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532ad02f483ddf13e'}]","""false""",32.0,,29577483,1465224129.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-06-06 14:42:19.172390,55649.0,7.0
2016-06-07 14:31:00.241182,slurm_normal,1465309898.0,0,1.0,main_w2_handler0,2729117,13097101,False,,87034,bed,7280511.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""5000""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54863ab9b8d252635'}]","""false""",32.0,,30438799,1465309893.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.22.0,2.22.0,,2016-06-07 14:31:42.613952,81119.0,5.0
