bigwigfiles,bigwigfiles1,bigwigfiles10,bigwigfiles10_filetype,bigwigfiles11,bigwigfiles11_filetype,bigwigfiles12,bigwigfiles12_filetype,bigwigfiles13,bigwigfiles13_filetype,bigwigfiles14,bigwigfiles14_filetype,bigwigfiles15,bigwigfiles15_filetype,bigwigfiles16,bigwigfiles16_filetype,bigwigfiles17,bigwigfiles17_filetype,bigwigfiles18,bigwigfiles18_filetype,bigwigfiles19,bigwigfiles19_filetype,bigwigfiles1_filetype,bigwigfiles2,bigwigfiles20,bigwigfiles20_filetype,bigwigfiles21,bigwigfiles21_filetype,bigwigfiles22,bigwigfiles22_filetype,bigwigfiles23,bigwigfiles23_filetype,bigwigfiles24,bigwigfiles24_filetype,bigwigfiles25,bigwigfiles25_filetype,bigwigfiles26,bigwigfiles26_filetype,bigwigfiles27,bigwigfiles27_filetype,bigwigfiles28,bigwigfiles28_filetype,bigwigfiles29,bigwigfiles29_filetype,bigwigfiles2_filetype,bigwigfiles3,bigwigfiles30,bigwigfiles30_filetype,bigwigfiles31,bigwigfiles31_filetype,bigwigfiles32,bigwigfiles32_filetype,bigwigfiles33,bigwigfiles33_filetype,bigwigfiles34,bigwigfiles34_filetype,bigwigfiles35,bigwigfiles35_filetype,bigwigfiles36,bigwigfiles36_filetype,bigwigfiles37,bigwigfiles37_filetype,bigwigfiles38,bigwigfiles38_filetype,bigwigfiles39,bigwigfiles39_filetype,bigwigfiles3_filetype,bigwigfiles4,bigwigfiles40,bigwigfiles40_filetype,bigwigfiles4_filetype,bigwigfiles5,bigwigfiles5_filetype,bigwigfiles6,bigwigfiles6_filetype,bigwigfiles7,bigwigfiles7_filetype,bigwigfiles8,bigwigfiles8_filetype,bigwigfiles9,bigwigfiles9_filetype,bigwigfiles_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.exonID,parameters.advancedOpt.metagene,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.transcriptID,parameters.advancedOpt.transcript_id_designator,parameters.bigwigfiles.values,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.binSize,parameters.mode.distanceBetweenBins,parameters.mode.modeOpt,parameters.mode.region_file.values,parameters.outRawCounts,parameters.region,processor_count,region_file,region_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
116809194,116809194,,,,,,,,,,,,,,,,,,,,,bigwig,100105678,,,,,,,,,,,,,,,,,,,,,bigwig,127085452.0,,,,,,,,,,,,,,,,,,,,,bigwig,43862719.0,,,bigwig,469539.0,bigwig,,,,,,,,,bigwig,,,,,2017-03-20 09:49:21.230702,slurm_multi,1490014701.0,0,6.0,main_w4_handler2,605821,15341196,False,,9481997,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,"[{'src': 'hda', 'id': 28587432}, {'src': 'hda', 'id': 28587444}, {'src': 'hda', 'id': 28587453}, {'src': 'hda', 'id': 28587475}, {'src': 'hda', 'id': 28808580}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,1000,0,bins,,"""false""","""""",32.0,,,,36327803,1490014050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 12:58:23.377685,12956,651.0
246076828,246076828,,,,,,,,,,,,,,,,,,,,,bigwig,222799436,,,,,,,,,,,,,,,,,,,,,bigwig,246201210.0,,,,,,,,,,,,,,,,,,,,,bigwig,215515188.0,,,bigwig,172255716.0,bigwig,209281493.0,bigwig,208105971.0,bigwig,117831592.0,bigwig,,,bigwig,,,,,2017-03-20 13:36:10.291079,slurm_multi,1490019443.0,0,6.0,main_w4_handler2,3031565,15343141,False,,9482765,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 28827866}, {'src': 'hda', 'id': 28827965}, {'src': 'hda', 'id': 28827985}, {'src': 'hda', 'id': 28827995}, {'src': 'hda', 'id': 28828002}, {'src': 'hda', 'id': 28828020}, {'src': 'hda', 'id': 28828036}, {'src': 'hda', 'id': 28828052}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,10000,0,bins,,"""false""","""""",32.0,,,,36625641,1490019294.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 14:17:26.091968,102046,149.0
229721858,229721858,,,,,,,,,,,,,,,,,,,,,bigwig,160217713,,,,,,,,,,,,,,,,,,,,,bigwig,232964184.0,,,,,,,,,,,,,,,,,,,,,bigwig,200603554.0,,,bigwig,186248392.0,bigwig,220788217.0,bigwig,181153062.0,bigwig,250692156.0,bigwig,,,bigwig,,,,,2017-03-20 13:38:09.058623,slurm_multi,1490019811.0,0,6.0,main_w3_handler2,3031565,15343172,False,,9482866,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 28827957}, {'src': 'hda', 'id': 28827964}, {'src': 'hda', 'id': 28827984}, {'src': 'hda', 'id': 28828004}, {'src': 'hda', 'id': 28828022}, {'src': 'hda', 'id': 28828039}, {'src': 'hda', 'id': 28828053}, {'src': 'hda', 'id': 28831795}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,10000,0,bins,,"""false""","""""",32.0,,,,36625641,1490019658.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 14:23:33.307229,102046,153.0
180295976,180295976,,,,,,,,,,,,,,,,,,,,,bigwig,227771022,,,,,,,,,,,,,,,,,,,,,bigwig,190862436.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,bigwig,,,,,2017-01-11 14:48:32.306331,slurm_multi,1484146282.0,0,6.0,main_w3_handler2,2947813,14740478,False,,8905409,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 27891205}, {'src': 'hda', 'id': 27891247}, {'src': 'hda', 'id': 27891695}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,10000,0,bins,,"""false""","""""",32.0,,,,35320258,1484146245.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-01-11 14:51:24.926469,97935,37.0
157102824,157102824,,,,,,,,,,,,,,,,,,,,,bigwig,59719087,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,2017-01-11 15:42:22.119285,slurm_multi,1484150323.0,0,6.0,main_w3_handler2,2920370,14740905,False,,8905925,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 27892411}, {'src': 'hda', 'id': 27892412}]","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,100,0,bins,,"""false""","""""",32.0,,,,35320970,1484150211.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-01-11 15:58:45.926168,84610,112.0
83037762,83037762,,,,,,,,,,,,,,,,,,,,,bigwig,63693487,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,2017-01-11 15:44:41.974490,slurm_multi,1484150972.0,0,6.0,main_w3_handler2,2920370,14740917,False,,8906023,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 27892427}, {'src': 'hda', 'id': 27892428}]","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,100,0,bins,,"""false""","""""",32.0,,,,35320970,1484150855.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-01-11 16:09:34.046974,84610,117.0
157102824,157102824,,,,,,,,,,,,,,,,,,,,,bigwig,59719087,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,2017-01-11 18:19:27.599345,slurm_multi,1484158968.0,0,6.0,main_w3_handler2,2920370,14742388,False,,8907183,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 27892411}, {'src': 'hda', 'id': 27892412}]","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,200,0,bins,,"""false""","""""",32.0,,,,35320970,1484158885.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-01-11 18:22:50.714005,84610,83.0
157102824,157102824,,,,,,,,,,,,,,,,,,,,,bigwig,59719087,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,2017-01-11 18:37:14.389786,slurm_multi,1484160014.0,0,6.0,main_w3_handler2,2920370,14742507,False,,8907289,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 27892411}, {'src': 'hda', 'id': 27892412}]","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,300,0,bins,,"""false""","""""",32.0,,,,35320970,1484159957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-01-11 18:40:16.655254,84610,57.0
398147073,398147073,,,,,,,,,,,,,,,,,,,,,bigwig,388702781,,,,,,,,,,,,,,,,,,,,,bigwig,358970928.0,,,,,,,,,,,,,,,,,,,,,bigwig,363641153.0,,,bigwig,366193684.0,bigwig,,,,,,,,,bigwig,,,,,2017-03-20 15:28:51.395330,slurm_multi,1490032491.0,0,6.0,main_w4_handler2,2965479,15344407,False,,9485417,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 28087714}, {'src': 'hda', 'id': 28087720}, {'src': 'hda', 'id': 28087726}, {'src': 'hda', 'id': 28160915}, {'src': 'hda', 'id': 28172841}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 28842963}]","""false""","""""",32.0,126887.0,bed,,36470573,1490032456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 17:54:54.734265,97829,35.0
157102824,157102824,,,,,,,,,,,,,,,,,,,,,bigwig,59719087,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,2017-01-11 18:46:24.374820,slurm_multi,1484160787.0,0,6.0,main_w4_handler2,2920370,14742571,False,,8907399,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 27892411}, {'src': 'hda', 'id': 27892412}]","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,400,0,bins,,"""false""","""""",32.0,,,,35320970,1484160738.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-01-11 18:53:09.728768,84610,49.0
