chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.complement,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.out_format1,parameters.reverse,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-07-27 12:29:32.539846,slurm_normal,1469622587.0,0.0,,1.0,main_w1_handler1,2761276,13506888,False,,1141948,fasta,7722297.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""yes""","""sacCer3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c370aa099ce360a5'}]",,"""fasta""","""yes""",32.0,,31349257.0,1469622583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-07-27 12:29:54.253249,87146.0,4.0
,,2016-07-27 18:21:12.939951,slurm_normal,1469643713.0,0.0,,1.0,main_w2_handler0,2761276,13509464,False,,1141945,fasta,7725012.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""yes""","""sacCer3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b572df9189d2ed00bc'}]",,"""fasta""","""yes""",32.0,,31349257.0,1469643707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-07-27 18:21:56.993839,87146.0,6.0
,,2016-08-02 08:07:21.481828,slurm_normal,1470125257.0,0.0,,1.0,main_w2_handler1,2782229,13561463,False,,1220,fasta,7769692.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eeb4198349981166'}]",,"""fasta""","""yes""",32.0,,31903327.0,1470125251.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-08-02 08:07:39.412449,,6.0
,,2016-08-02 18:20:07.443209,slurm_normal,1470162028.0,0.0,,1.0,main_w2_handler0,2778027,13567743,False,,1269,fasta,7775197.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a7215e0288280aa4'}]",,"""fasta""","""yes""",32.0,,31773720.0,1470162024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-08-02 18:20:31.455626,76408.0,4.0
,,2016-08-02 18:20:40.852789,slurm_normal,1470162063.0,0.0,,1.0,main_w1_handler1,2778027,13567746,False,,1284,fasta,7775205.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c98e494a0dacdf6d'}]",,"""fasta""","""yes""",32.0,,31773720.0,1470162059.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-08-02 18:21:06.988650,76408.0,4.0
,,2016-08-02 18:20:16.765996,slurm_normal,1470162037.0,0.0,,1.0,main_w2_handler0,2778027,13567744,False,,1265,fasta,7775200.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b531c72719b9fa0197'}]",,"""fasta""","""yes""",32.0,,31773720.0,1470162034.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-08-02 18:20:38.668798,76408.0,3.0
,,2016-08-02 18:20:30.269875,slurm_normal,1470162053.0,0.0,,1.0,main_w1_handler1,2778027,13567745,False,,1250,fasta,7775203.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b566251966a44fd98e'}]",,"""fasta""","""yes""",32.0,,31773720.0,1470162050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-08-02 18:20:56.027685,76408.0,3.0
,,2016-08-05 14:06:18.862412,slurm_normal,1470406039.0,0.0,,1.0,main_w2_handler0,2761276,13601579,False,,1293384,fasta,7813610.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""yes""","""sacCer3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a51bdf2cd1438bb4'}]",,"""fasta""","""yes""",32.0,,31349257.0,1470406035.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-08-05 14:07:21.359035,87146.0,4.0
,,2016-08-08 13:51:18.218382,slurm_normal,1470664540.0,0.0,,1.0,main_w1_handler1,2761276,13619785,False,,1168108,fasta,7831986.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""yes""","""sacCer3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ab699311943adc9b'}]",,"""fasta""","""yes""",32.0,,31349257.0,1470664513.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-08-08 13:55:42.321252,87146.0,27.0
,,2016-10-21 12:29:20.001476,slurm_normal,1477052989.0,0.0,,1.0,main_w4_handler0,2863571,14140356,False,,76317359,fasta,8353719.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e14392f00a76d5ce'}]",,"""fasta""","""yes""",32.0,,33842048.0,1477052974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-10-21 12:29:55.764742,,15.0
,,2016-10-21 12:34:50.747061,slurm_normal,1477053322.0,0.0,,1.0,main_w4_handler1,2861006,14140401,False,,76317359,fasta,8353784.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b24fee420a1f60b9'}]",,"""fasta""","""yes""",32.0,,33808825.0,1477053308.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-10-21 12:35:27.639566,,14.0
,,2017-01-11 05:30:07.624359,slurm_normal,1484112632.0,0.0,,1.0,main_w4_handler0,2951867,14736920,False,,252811433,fasta,8902182.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""",,"[{'src': 'hda', 'id': 27886462}]",,"""fasta""","""yes""",32.0,,35291321.0,1484112611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 05:30:36.951454,73248.0,21.0
,,2017-01-11 09:01:13.619915,slurm_normal,1484125328.0,0.0,,1.0,main_w3_handler0,2951867,14737886,False,,193885140,fasta,8902882.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27888033}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125301.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:02:10.915903,73248.0,27.0
,,2017-01-11 09:01:13.978851,slurm_normal,1484125342.0,0.0,,1.0,main_w4_handler1,2951867,14737887,False,,183499851,fasta,8902888.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27888039}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125310.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:02:25.770719,73248.0,32.0
,,2017-01-11 06:42:44.452303,slurm_normal,1484116990.0,0.0,,1.0,main_w4_handler1,2951867,14737039,False,,252811427,fasta,8902285.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27886473}]",,"""fasta""","""yes""",32.0,,35291321.0,1484116968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 06:43:13.157438,73248.0,22.0
,,2017-01-11 05:42:36.664587,slurm_normal,1484113380.0,0.0,,1.0,main_w4_handler0,2951867,14736929,False,,252811433,fasta,8902191.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27886462}]",,"""fasta""","""yes""",32.0,,35291321.0,1484113359.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 05:43:03.837761,73248.0,21.0
,,2017-01-11 09:01:14.546143,slurm_normal,1484125407.0,0.0,,1.0,main_w4_handler0,2951867,14737889,False,,161412161,fasta,8902907.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27888056}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125372.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:03:30.683633,73248.0,35.0
,,2017-01-11 08:51:45.725898,slurm_normal,1484124713.0,0.0,,1.0,main_w4_handler1,2952506,14737824,False,,33918,fasta,8902810.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm6.len""","""yes""","""dm6""",,"[{'src': 'hda', 'id': 27888051}]",,"""fasta""","""yes""",32.0,,34865660.0,1484124709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 08:51:54.436979,96804.0,4.0
,,2017-01-11 06:35:49.723821,slurm_normal,1484116582.0,0.0,,1.0,main_w3_handler1,2951867,14736997,False,,252811427,fasta,8902268.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""",,"[{'src': 'hda', 'id': 27886473}]",,"""fasta""","""yes""",32.0,,35291321.0,1484116553.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 06:36:25.483549,73248.0,29.0
,,2017-01-11 09:01:10.411036,slurm_normal,1484125319.0,0.0,,1.0,main_w3_handler1,2951867,14737880,False,,103996215,fasta,8902883.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27867737}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125301.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:02:02.509039,73248.0,18.0
,,2017-01-11 09:01:07.004227,slurm_normal,1484125297.0,0.0,,1.0,main_w4_handler1,2951867,14737872,False,,48817553,fasta,8902875.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27867616}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125273.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:01:45.305583,73248.0,24.0
,,2017-06-22 10:41:41.144559,slurm_normal,1498128130.0,0.0,,1.0,main_w3_handler1,3152824,16162846,False,,99142,fasta,10240563.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 30124982}]",,"""fasta""","""yes""",32.0,,38628258.0,1498128126.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-06-22 10:42:11.389830,,4.0
,,2016-08-24 11:30:56.725640,slurm_normal,1472038274.0,0.0,,1.0,main_w3_handler1,2333259,13710906,False,,154299,fasta,7927541.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b596a630ff41a42516'}]",,"""fasta""","""yes""",32.0,,32472034.0,1472038269.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2016-08-24 11:31:15.548558,53582.0,5.0
,,2017-01-11 08:44:08.414984,slurm_normal,1484124257.0,0.0,,1.0,main_w4_handler0,2952506,14737763,False,,33452,fasta,8902728.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm6.len""","""yes""","""dm6""",,"[{'src': 'hda', 'id': 27887980}]",,"""fasta""","""yes""",32.0,,34865660.0,1484124251.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 08:44:20.122116,96804.0,6.0
,,2017-01-11 09:01:08.014475,slurm_normal,1484125311.0,0.0,,1.0,main_w4_handler0,2951867,14737875,False,,59973771,fasta,8902884.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27867672}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:01:55.143315,73248.0,7.0
,,2017-01-11 09:01:07.624943,slurm_normal,1484125298.0,0.0,,1.0,main_w4_handler0,2951867,14737874,False,,63925974,fasta,8902879.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27867661}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125276.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:01:48.005690,73248.0,22.0
,,2017-01-11 09:01:15.010536,slurm_normal,1484125405.0,0.0,,1.0,main_w4_handler0,2951867,14737890,False,,148455025,fasta,8902908.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27888078}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:03:27.021701,73248.0,25.0
,,2017-01-11 09:01:12.551314,slurm_normal,1484125373.0,0.0,,1.0,main_w4_handler0,2951867,14737884,False,,246673738,fasta,8902896.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27887990}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:02:57.586801,73248.0,24.0
,,2017-01-11 09:01:15.618425,slurm_normal,1484125397.0,0.0,,1.0,main_w4_handler0,2951867,14737891,False,,143230854,fasta,8902904.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27888095}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125370.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:03:20.392405,73248.0,27.0
,,2017-01-11 09:01:09.877205,slurm_normal,1484125296.0,0.0,,1.0,main_w3_handler1,2951867,14737879,False,,91645624,fasta,8902876.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27867720}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125273.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:01:38.084453,73248.0,23.0
,,2017-01-11 09:01:13.025126,slurm_normal,1484125360.0,0.0,,1.0,main_w3_handler1,2951867,14737885,False,,200851410,fasta,8902887.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27887992}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125310.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:02:44.600527,73248.0,50.0
,,2017-01-11 09:01:06.427268,slurm_normal,1484125297.0,0.0,,1.0,main_w4_handler0,2951867,14737871,False,,52037578,fasta,8902874.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27867600}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125273.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:01:46.685593,73248.0,24.0
,,2017-01-11 09:01:06.076807,slurm_normal,1484125298.0,0.0,,1.0,main_w3_handler0,2951867,14737870,False,,157488799,fasta,8902872.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""",,"[{'src': 'hda', 'id': 27867589}]",,"""fasta""","""yes""",32.0,,35291321.0,1484125270.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: revseq82/5.0.0,5.0.0,,2017-01-11 09:01:43.849537,73248.0,28.0
