chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,in_file,in_file_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.in_file,parameters.in_file.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-05-02 09:33:11.204084,slurm_normal,1493717598.0,0,,1.0,main_w4_handler1,3090465,15723299,False,1314,tabular,,9834246.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29428791}]",32.0,,37599832.0,1493717594.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-05-02 09:33:20.308409,,4.0
,,2017-07-10 10:53:01.832236,slurm_normal,1499683995.0,0,,1.0,main_w4_handler0,3182812,16296848,False,2330,bed,,10365507.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30305506}]",32.0,,39095128.0,1499683993.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-07-10 10:53:18.281431,102646.0,2.0
,,2017-07-22 21:07:09.005090,slurm_normal,1500757640.0,0,,1.0,main_w3_handler1,3199845,16396640,False,440201,bed,,10460824.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 30576217}]",32.0,,39455638.0,1500757636.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-07-22 21:07:22.489572,,4.0
,,2017-07-22 21:20:50.960414,slurm_normal,1500758463.0,0,,1.0,main_w3_handler0,3199845,16396673,False,440201,bed,,10460880.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30576276}]",32.0,,39455638.0,1500758459.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-07-22 21:21:05.106910,,4.0
,,2017-08-06 22:42:05.322495,slurm_normal,1502059335.0,0,,1.0,main_w3_handler1,3202140,16516839,False,146955,tabular,,10586328.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30604075}]",32.0,,39428049.0,1502059331.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-08-06 22:42:16.754528,72217.0,4.0
,,2017-08-06 22:41:49.289908,slurm_normal,1502059321.0,0,,1.0,main_w3_handler1,3202140,16516834,False,323453,tabular,,10586327.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30604073}]",32.0,,39428049.0,1502059316.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-08-06 22:42:02.750321,72217.0,5.0
,,2017-08-06 22:41:35.865142,slurm_normal,1502059308.0,0,,1.0,main_w3_handler0,3202140,16516833,False,720250,tabular,,10586326.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30604062}]",32.0,,39428049.0,1502059304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-08-06 22:41:50.862259,72217.0,4.0
,,2017-08-07 11:14:22.524582,slurm_normal,1502104476.0,0,,1.0,main_w3_handler1,3202140,16519624,False,43282,tabular,,10589092.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30781968}]",32.0,,39428049.0,1502104470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-08-07 11:14:39.490067,72217.0,6.0
,,2017-08-09 21:06:45.368857,slurm_normal,1502312822.0,0,,1.0,main_w3_handler0,3216836,16544404,False,36,tabular,,10614930.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30818372}]",32.0,,39538499.0,1502312819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-08-09 21:07:03.633369,98370.0,3.0
,,2017-08-09 22:09:04.112981,slurm_normal,1502316555.0,0,,1.0,main_w4_handler1,3217919,16544755,False,315272,tabular,,10615353.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30818871}]",32.0,,39538499.0,1502316552.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.0.6,1.0.6,,2017-08-09 22:09:20.510299,98370.0,3.0
