chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.gapextend,parameters.gapopen,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.out_format1,parameters.out_format2,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-25 11:19:22.610639,slurm_normal,1508930399.0,0.0,1.0,main_w3_handler1,3299016,17210164,False,,1095123,fasta,1095123,fasta,11270618,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""5.0""","""50.0""",,"[{'src': 'hda', 'id': 31871688}]",,"[{'src': 'hda', 'id': 31871688}]","""fasta""","""fasta""",32.0,,41505682,1508930394.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2017-10-25 11:20:08.585265,113929.0,5.0
,,2017-11-10 20:46:46.481112,slurm_normal,1510346860.0,0.0,1.0,main_w3_handler1,3296660,17415055,False,,2469,fasta,2468,fasta,11477038,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""5.0""","""50.0""",,"[{'src': 'hda', 'id': 32240018}]",,"[{'src': 'hda', 'id': 32240015}]","""fasta""","""simple""",32.0,,41548156,1510346825.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2017-11-10 20:47:40.954776,112797.0,35.0
,,2017-11-17 04:50:29.736077,slurm_normal,1510894247.0,0.0,1.0,main_w4_handler0,3328345,17488812,False,,721,fasta,811,fasta,11546962,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""5.0""","""50.0""",,"[{'src': 'hda', 'id': 32366607}]",,"[{'src': 'hda', 'id': 32366660}]","""fasta""","""simple""",32.0,,41902592,1510894243.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2017-11-17 04:50:51.418713,,4.0
,,2017-11-17 22:34:37.531750,slurm_normal,1510958098.0,0.0,1.0,main_w4_handler1,3328345,17498971,False,,609,fasta,628,fasta,11558348,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""5.0""","""50.0""",,"[{'src': 'hda', 'id': 32381632}]",,"[{'src': 'hda', 'id': 32381796}]","""fasta""","""simple""",32.0,,41902592,1510958085.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2017-11-17 22:35:00.503601,,13.0
,,2017-11-17 22:36:17.433257,slurm_normal,1510958231.0,0.0,1.0,main_w4_handler1,3328345,17499004,False,,702,fasta,725,fasta,11558380,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""5.0""","""50.0""",,"[{'src': 'hda', 'id': 32381819}]",,"[{'src': 'hda', 'id': 32381881}]","""fasta""","""simple""",32.0,,41902592,1510958189.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2017-11-17 22:37:13.782761,,42.0
,,2017-11-17 22:31:02.923753,slurm_normal,1510957936.0,0.0,1.0,main_w3_handler0,3328345,17498916,False,,576,fasta,631,fasta,11558308,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""5.0""","""50.0""",,"[{'src': 'hda', 'id': 32381593}]",,"[{'src': 'hda', 'id': 32381732}]","""fasta""","""simple""",32.0,,41902592,1510957892.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2017-11-17 22:32:26.388430,,44.0
,,2017-11-30 14:30:35.143422,slurm_normal,1512052249.0,0.0,1.0,main_w3_handler0,3345528,17651019,False,,1352,fasta,1352,fasta,11709912,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""5.0""","""50.0""",,"[{'src': 'hda', 'id': 32648644}]",,"[{'src': 'hda', 'id': 32648644}]","""fasta""","""simple""",32.0,,42333007,1512052245.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2017-11-30 14:30:51.527160,,4.0
,,2017-12-05 12:25:55.566782,slurm_normal,1512476769.0,0.0,1.0,main_w3_handler1,3353423,17701442,False,,24050845,fasta,107459,fasta,11766115,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""5.0""","""50.0""",,"[{'src': 'hda', 'id': 32735210}]",,"[{'src': 'hda', 'id': 32733039}]","""fasta""","""simple""",32.0,,42464878,1512476765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2017-12-05 12:26:11.256710,54826.0,4.0
,,2015-12-09 14:21:56.916986,slurm_normal,1449670947.0,0.0,1.0,main_w2_handler1,2533449,11126970,False,,1503,fasta,1268,fasta,5392437.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""5.0""","""50.0""",22365606,,22365402,,"""fasta""","""simple""",32.0,,26698478,1449670940.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2015-12-09 14:22:29.132244,,7.0
230496.0,len,2015-09-16 10:04:39.577887,slurm_normal,1442397912.0,0.0,1.0,main_w2_handler0,2195847,10331492,False,,12446,fasta,12446,fasta,4615113.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/331/dataset_10331143.dat""","""?""","""5.0""","""50.0""",21129099,,21129099,,"""fasta""","""simple""",32.0,,25201544,1442397907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: merger54/5.0.0,5.0.0,,2015-09-16 10:05:16.305756,59107.0,5.0
