chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-09-23 04:03:34.977207,slurm_normal,1442981044.0,0.0,,1.0,main_w1_handler0,2405177,10388652,False,,3498593,vcf,4668995.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",21217656,,32.0,,25333664,1442981040.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-09-23 04:04:05.809930,64300.0,4.0
,,2015-06-03 06:07:04.468303,slurm_normal,1433311652.0,0.0,,1.0,main_w2_handler1,2328785,9587586,False,,36878,vcf,3899788.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19887118,,32.0,,23416903,1433311649.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-06-03 06:07:35.545845,64310.0,3.0
,,2017-12-04 21:17:55.360761,slurm_normal,1512422296.0,0.0,,1.0,main_w4_handler0,3333965,17695741,False,,69412,vcf,11759976,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 32726104}]",32.0,,42198059,1512422292.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2017-12-04 21:18:22.415754,116819.0,4.0
,,2018-03-08 13:31:24.150821,slurm_normal,1520515898.0,0.0,7680.0,1.0,main_w3_handler1,3453562,18657148,False,,40445,vcf,12753107,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 34292198}]",32.0,,44368914,1520515895.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2018-03-08 13:31:40.620284,123400.0,3.0
20392.0,len,2015-10-30 23:09:58.106654,slurm_normal,1446246615.0,0.0,,1.0,main_w2_handler1,1503922,10777223,False,,4996132,vcf,5035506.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/012/987/dataset_12987567.dat""","""?""",21818069,,32.0,,25876766,1446246609.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-10-30 23:10:19.938416,36314.0,6.0
,,2015-06-04 06:45:22.266953,slurm_normal,1433400356.0,0.0,,1.0,main_w2_handler1,2328833,9595909,False,,71495,vcf,3907196.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/011/464/dataset_11464055.dat""","""s22""",19908185,,32.0,,23422816,1433400353.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-06-04 06:46:01.608421,64301.0,3.0
,,2015-05-17 16:41:22.647797,slurm_normal,1431880913.0,0.0,,1.0,main_w1_handler0,2181540,9485904,False,,1190543,vcf,3809213.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18444626,,32.0,,23132940,1431880908.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-05-17 16:41:55.531570,58661.0,5.0
,,2018-02-15 18:53:38.939537,slurm_normal,1518720833.0,0.0,7680.0,1.0,main_w3_handler0,3419768,18401398,False,,126184,vcf,12487272,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33863800}]",32.0,,43896341,1518720827.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2018-02-15 18:53:55.726850,121518.0,6.0
14.0,len,2015-06-03 19:41:42.872253,slurm_normal,1433360532.0,0.0,,1.0,main_w2_handler0,2329712,9593082,False,,102204,vcf,3904575.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/011/478/dataset_11478877.dat""","""?""",19904902,,32.0,,23429733,1433360529.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-06-03 19:42:15.609914,64471.0,3.0
,,2016-01-14 13:30:41.721495,slurm_normal,1452778259.0,0.0,,1.0,main_w2_handler0,2565329,11501807,False,,17547,vcf,5769914.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",22896017,,32.0,,27428017,1452778254.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2016-01-14 13:31:03.189421,76816.0,5.0
,,2015-02-19 18:02:53.111302,rodeo_normal,1424368994.0,0.0,,1.0,main_w2_handler0,2212387,8769429,False,,28977,vcf,2836723.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/398/dataset_10398909.dat""","""wolbachia""",18576879,,32.0,,20396310,1424368987.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-02-19 18:03:16.535995,55105.0,7.0
,,2015-05-28 09:01:59.700655,slurm_normal,1432803734.0,0.0,,1.0,main_w1_handler0,2322063,9551961,False,,333428,vcf,3865876.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19838896,,32.0,,23309349,1432803731.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-05-28 09:02:16.357983,63493.0,3.0
,,2015-06-04 07:12:12.064078,slurm_normal,1433401963.0,0.0,,1.0,main_w1_handler0,2328833,9596012,False,,71495,vcf,3907298.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19908678,,32.0,,23422816,1433401959.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-06-04 07:12:46.877323,64301.0,4.0
,,2017-12-12 01:00:16.563898,slurm_normal,1513040429.0,0.0,,1.0,main_w3_handler1,3361724,17778622,False,,48727,vcf,11846747,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 32867438}]",32.0,,42587867,1513040425.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2017-12-12 01:00:30.962603,114839.0,4.0
,,2015-06-04 06:35:07.631574,slurm_normal,1433399744.0,0.0,,1.0,main_w1_handler0,2329103,9595857,False,,74701,vcf,3907146.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19908342,,32.0,,23442195,1433399741.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-06-04 06:35:47.550176,64310.0,3.0
,,2015-07-17 07:53:32.643168,slurm_normal,1437119654.0,0.0,,1.0,main_w1_handler2,2376510,9890262,False,,31251,vcf,4179712.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20373616,,32.0,,24178664,1437119646.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-07-17 07:54:15.542140,21374.0,8.0
,,2014-10-17 13:32:13.929569,rodeo_normal,1413552743.0,0.0,,1.0,main_w1_handler0,2088950,7998161,False,,157429,vcf,35833.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17260758,,2.0,,17683013,1413552741.0,ok,0.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2014-10-17 13:32:25.871643,54472.0,2.0
,,2016-06-24 03:07:16.121521,slurm_normal,1466739500.0,0.0,,1.0,main_w1_handler0,2742281,13251358,False,,19839603982,vcf,7438453.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b522a3a8b486966b24'}]",32.0,,30930503,1466737674.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2016-06-24 03:38:21.414694,86267.0,1826.0
