chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.input|__identifier__,parameters.option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-20 10:38:19.254417,slurm_normal,1466419115.0,0,1.0,main_w2_handler0,2739467,13208915,False,,6518,bed,7393353.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52d17f7b74b093714'}]",,"""""",32.0,,30810736.0,1466419111.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-20 10:38:39.699623,27915.0,4.0
,,2017-01-09 23:37:46.870911,slurm_normal,1484005075.0,0,1.0,main_w4_handler0,2854259,14720539,False,,44347,bed,8889459.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27860933}]",,"""""",32.0,,33671834.0,1484005071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2017-01-09 23:37:58.804923,,4.0
,,2016-09-09 10:44:18.271104,slurm_normal,1473417892.0,0,1.0,main_w3_handler0,2815173,13814655,False,,5896,bed,8036043.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b550be7e4bee769e3c'}]",,"""""",32.0,,31340198.0,1473417882.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-09-09 10:44:53.518835,10211.0,10.0
,,2016-06-21 10:20:29.334011,slurm_normal,1466504572.0,0,1.0,main_w1_handler1,2745547,13222939,False,,429,bed,7407367.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b50dad46fc06a4a2b6'}]",,"""""",32.0,,30986059.0,1466504569.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:22:53.446569,,3.0
,,2016-09-09 13:45:56.697502,slurm_normal,1473429696.0,0,1.0,main_w3_handler0,2815344,13815490,False,,618726135,bed,8036935.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57dcfd3c300c76377'}]",,"""""",32.0,,32290113.0,1473429307.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-09-09 14:01:43.521219,77683.0,389.0
,,2016-09-09 14:10:06.601387,slurm_normal,1473430571.0,0,1.0,main_w4_handler1,2815344,13815635,False,,683268652,bedgraph,8037032.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fc068bc6b7303802'}]",,"""""",32.0,,32290113.0,1473430224.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-09-09 14:16:23.702967,77683.0,347.0
,,2016-09-09 14:10:07.184455,slurm_normal,1473430550.0,0,1.0,main_w4_handler1,2815344,13815636,False,,745990155,bedgraph,8037033.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b55d5a1eb5f8c31d66'}]",,"""""",32.0,,32290113.0,1473430229.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-09-09 14:15:59.247634,77683.0,321.0
,,2016-06-21 10:14:09.589790,slurm_normal,1466504086.0,0,1.0,main_w2_handler0,2745547,13222851,False,,1610,bed,7407273.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3a50fe7e4fb8caa'}]",,"""""",32.0,,30986059.0,1466504082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:14:50.039535,,4.0
,,2016-06-21 10:14:08.591345,slurm_normal,1466504138.0,0,1.0,main_w1_handler0,2745547,13222848,False,,1295,bed,7407293.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56d78dd7f9b19dcfa'}]",,"""""",32.0,,30986059.0,1466504135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:15:41.421251,,3.0
,,2016-06-21 10:14:11.630927,slurm_normal,1466504161.0,0,1.0,main_w1_handler0,2745547,13222856,False,,1670,bed,7407299.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b528e6c563a95fa099'}]",,"""""",32.0,,30986059.0,1466504158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:16:04.414980,,3.0
