create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.disChoice.__current_case__,parameters.disChoice.dis,parameters.header,parameters.input,parameters.nStates,parameters.samp_col,parameters.var_cols,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-01-26 03:26:25.061708,rodeo_normal,1422242801.0,0,1.0,main_w1_handler0,2169022,8604841,False,,3244,tabular,2563814.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,NORMAL,"""yes""",18281297,"""2""","""8""","[""4"", ""5"", ""6""]",32.0,,20648403,1422242799.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/rhmm/hmm_1/1.0.0,1.0.0,,2015-01-26 03:26:43.021539,21457,2.0
2015-01-26 03:25:40.322487,rodeo_normal,1422242761.0,0,1.0,main_w2_handler1,2169022,8604839,False,,3244,tabular,2563810.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,NORMAL,"""yes""",18281297,"""2""","""8""","[""4"", ""5"", ""6""]",32.0,,20648403,1422242754.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/rhmm/hmm_1/1.0.0,1.0.0,,2015-01-26 03:26:04.087534,21457,7.0
