create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_vcf,parameters.primer_length,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-18 14:29:50.708496,rodeo_normal,1426689007.0,0,1.0,main_w2_handler1,2241092,8977898,False,,3616058,vcf,3221705.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18899902,"""20""",0,hg19,cached,32.0,,,,21862659,1426689002.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-03-18 14:30:14.166967,,5.0
2015-04-01 12:31:42.362639,rodeo_normal,1427891519.0,0,1.0,main_w1_handler0,2251892,9113007,False,,14850,vcf,3398732.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19079559,"""50""",1,19056611,history,32.0,2692.0,fasta,,22073410,1427891515.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-04-01 12:32:03.427944,49083.0,4.0
2015-04-08 15:09:28.631994,slurm_normal,1428505790.0,0,1.0,main_w2_handler1,2237699,9172282,False,,13462,vcf,3452122.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19193159,"""20""",0,hg19,cached,32.0,,,,21812216,1428505786.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-04-08 15:09:55.371584,,4.0
2015-04-21 14:23:54.982036,slurm_normal,1429626314.0,0,1.0,main_w2_handler1,2273525,9289492,False,Job output deleted by user before job completed.,8732,vcf,3600124.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19400552,"""20""",0,hg19,cached,32.0,,,,22555701,1429626253.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-04-21 14:25:17.656186,60534.0,61.0
2015-05-18 21:42:48.913894,slurm_normal,1431985423.0,0,1.0,main_w1_handler1,2196193,9490745,False,,6384486,vcf,3813273.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19746036,"""30""",0,hg19,cached,32.0,,,,23155781,1431985395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-05-18 21:43:47.706519,37892.0,28.0
2015-06-26 20:21:17.385144,slurm_normal,1435351010.0,0,1.0,main_w2_handler1,2353314,9746782,False,,3136311590,vcf,4049023.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20148869,"""20""",1,20108475,history,32.0,887262936.0,fasta,,23854684,1435350102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-06-26 20:36:52.882957,60634.0,908.0
2015-08-15 03:38:14.106144,slurm_normal,1439609956.0,0,1.0,main_w1_handler0,2402956,10123702,False,,69765447,vcf,4396330.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20769332,"""20""",0,hg19,cached,32.0,,,,24320607,1439609930.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-08-15 03:39:18.277517,66898.0,26.0
2015-08-15 03:37:44.850554,slurm_normal,1439609901.0,0,1.0,main_w1_handler1,2402956,10123701,False,,289105,vcf,4396328.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20769331,"""20""",0,hg19,cached,32.0,,,,24320607,1439609897.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-08-15 03:38:23.027750,66898.0,4.0
2015-03-14 05:17:16.195024,rodeo_normal,1426310280.0,0,1.0,main_w2_handler1,2237156,8947566,False,,4369,vcf,3165477.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""","""hg19""",18856402,"""20""",0,hg19,cached,32.0,,,,21796670,1426310253.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-03-14 05:18:02.897125,58799.0,27.0
2015-02-10 16:13:17.792006,rodeo_normal,1423584885.0,0,1.0,main_w2_handler0,1873628,8694666,False,,352109316,vcf,2702442.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18463141,"""20""",1,15260940,history,32.0,45999378.0,fasta,,21164918,1423584826.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfprimers/vcfprimers/0.0.2,0.0.2,,2015-02-10 16:14:47.980498,47255.0,59.0
