create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.keep_sscs,parameters.min_reads,parameters.qual_format,parameters.qual_thres,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-01-21 06:03:53.615762,slurm_normal,1484978650.0,0,1.0,main_w4_handler1,2943711,14833719,False,,5497757,tabular,8993940.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28024906}]","""false""","""3""","""sanger""","""25""",32.0,,35143490,1484978644.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-21 06:04:11.439337,97527.0,6.0
2017-01-21 06:03:54.565191,slurm_normal,1484978655.0,0,1.0,main_w4_handler0,2943711,14833721,False,,5318971,tabular,8993942.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28024909}]","""false""","""3""","""sanger""","""25""",32.0,,35143490,1484978650.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-21 06:04:17.106660,97527.0,5.0
2017-01-23 05:43:36.015456,slurm_normal,1485150228.0,0,1.0,main_w3_handler1,2962464,14843459,False,,19269744,gtf,9003586.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","[{'src': 'hda', 'id': 28026127}]","""false""","""3""","""sanger""","""25""",32.0,,35250208,1485150219.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-23 05:43:50.243689,97764.0,9.0
2016-12-16 13:23:21.807208,slurm_normal,1481894608.0,0,1.0,main_w3_handler0,2928484,14592480,False,,906066,tabular,8771044.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27659868}]","""false""","""3""","""sanger""","""25""",32.0,,34890582,1481894604.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-16 13:23:30.287322,96808.0,4.0
2016-12-20 08:20:31.924430,slurm_normal,1482222044.0,0,1.0,main_w4_handler1,2920122,14613277,False,,600533,tabular,8789909.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27691940}]","""false""","""3""","""sanger""","""25""",32.0,,34676284,1482222041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-20 08:20:47.183968,,3.0
2016-12-21 08:54:59.124363,slurm_normal,1482310518.0,0,1.0,main_w4_handler0,2902617,14621724,False,,6469385,tabular,8798342.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27704116}]","""false""","""3""","""sanger""","""25""",32.0,,34529230,1482310514.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-21 08:55:19.206675,95390.0,4.0
2016-12-21 08:53:03.594276,slurm_normal,1482310403.0,0,1.0,main_w4_handler1,2902617,14621715,False,,6469385,tabular,8798335.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27704105}]","""false""","""3""","""sanger""","""25""",32.0,,34529230,1482310395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-21 08:53:24.777955,95390.0,8.0
2017-01-23 17:15:12.963382,slurm_normal,1485191731.0,0,1.0,main_w3_handler0,2961964,14849101,False,,279498,tabular,9009139.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28050954}]","""true""","""3""","""sanger""","""25""",32.0,,35489589,1485191726.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-23 17:15:34.400991,,5.0
2016-12-23 01:20:12.056204,slurm_normal,1482456018.0,0,1.0,main_w4_handler1,2902617,14635319,False,,6469385,tabular,8811007.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27704105}]","""true""","""3""","""sanger""","""25""",32.0,,34529230,1482456014.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-23 01:20:19.568805,95390.0,4.0
2016-12-23 01:43:25.094584,slurm_normal,1482457425.0,0,1.0,main_w3_handler1,2902617,14635468,False,,9345574,tabular,8811159.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27725586}]","""false""","""3""","""sanger""","""25""",32.0,,34529230,1482457420.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-23 01:43:46.406115,95390.0,5.0
2016-12-23 01:37:09.550764,slurm_normal,1482457189.0,0,1.0,main_w3_handler0,2902617,14635428,False,,6469385,tabular,8811134.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27725516}]","""false""","""3""","""sanger""","""25""",32.0,,34529230,1482457185.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-23 01:39:51.833071,95390.0,4.0
2016-12-23 01:35:58.103507,slurm_normal,1482457491.0,0,1.0,main_w4_handler0,2933863,14635413,False,,1319795959,tabular,8811163.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27725499}]","""false""","""3""","""sanger""","""25""",32.0,,34963638,1482457456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-23 01:44:53.355276,97106.0,35.0
2016-12-26 16:57:49.365089,slurm_normal,1482771494.0,0,1.0,main_w4_handler1,2939775,14648055,False,,193718388,tabular,8822152.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27745872}]","""false""","""3""","""sanger""","""25""",32.0,,34816384,1482771488.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-26 16:58:17.481468,,6.0
2016-12-28 04:24:45.164992,slurm_normal,1482899094.0,0,1.0,main_w3_handler0,2937489,14655512,False,,0,bed,8829041.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27732330}]","""true""","""3""","""sanger""","""25""",32.0,,35019262,1482899090.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2016-12-28 04:24:56.735195,86540.0,4.0
2017-01-05 07:19:39.686247,slurm_normal,1483600789.0,0,1.0,main_w3_handler0,2946296,14694201,False,,18026,tabular,8864071.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 27818220}]","""false""","""3""","""sanger""","""25""",32.0,,35059575,1483600785.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-05 07:19:51.232781,94678.0,4.0
2017-01-05 07:48:07.531913,slurm_normal,1483602503.0,0,1.0,main_w4_handler1,2943711,14694237,False,,10988,vcf,8864100.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/main/files/018/340/dataset_18340848.dat""","""campy-v1""","[{'src': 'hda', 'id': 27813664}]","""true""","""3""","""sanger""","""25""",32.0,,35143490,1483602496.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-05 07:48:27.789182,97527.0,7.0
2017-01-05 07:19:40.169238,slurm_normal,1483600790.0,0,1.0,main_w3_handler0,2946296,14694202,False,,17918,tabular,8864072.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 27818221}]","""false""","""3""","""sanger""","""25""",32.0,,35059575,1483600785.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-05 07:19:53.973364,94678.0,5.0
2017-01-05 13:10:36.158334,slurm_normal,1483621850.0,0,1.0,main_w4_handler1,2947465,14695563,False,,337205,tabular,8865343.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27821160}]","""true""","""3""","""sanger""","""25""",32.0,,35210996,1483621843.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-05 13:10:54.825208,,7.0
