create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.callsummits,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.maxgap,parameters.minlen,parameters.notrackline,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-01 12:51:31.378516,slurm_normal,1488372737.0,0,1.0,main_w3_handler0,3014839,15177972,False,507418251,bedgraph,,9328511.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg18.len""","""5.0""","""hg18""",,"[{'src': 'hda', 'id': 28569190}]","""20""","""150""","""false""",32.0,,35826722.0,1488372694.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-01 12:52:20.679300,65191.0,43.0
2017-03-01 15:24:22.578579,slurm_normal,1488381889.0,0,1.0,main_w4_handler1,3005846,15179563,False,23304937,bedgraph,,9329982.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/ce10.len""","""4.0""","""ce10""",,"[{'src': 'hda', 'id': 28477983}]","""30""","""200""","""false""",32.0,,35765181.0,1488381867.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-01 15:24:50.037220,41870.0,22.0
2017-03-01 15:42:26.564724,slurm_normal,1488383108.0,0,1.0,main_w4_handler1,3005846,15179810,False,22482545,bedgraph,,9330250.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/ce10.len""","""4.0""","""ce10""",,"[{'src': 'hda', 'id': 28573056}]","""30""","""200""","""false""",32.0,,35765181.0,1488382955.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-01 15:45:10.111991,41870.0,153.0
2017-03-02 14:16:16.371269,slurm_normal,1488464194.0,0,1.0,main_w3_handler0,3016514,15189142,False,30177989,bedgraph,,9339978.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/ce10.len""","""4.0""","""ce10""",,"[{'src': 'hda', 'id': 28587448}]","""30""","""200""","""false""",32.0,,35765181.0,1488464182.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-02 14:16:36.270411,41870.0,12.0
2017-03-02 14:16:35.973489,slurm_normal,1488464208.0,0,1.0,main_w4_handler1,3016514,15189154,False,22044845,bedgraph,,9339983.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/ce10.len""","""4.0""","""ce10""",,"[{'src': 'hda', 'id': 28587447}]","""30""","""200""","""false""",32.0,,35765181.0,1488464198.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-02 14:16:51.934028,41870.0,10.0
2017-03-04 04:32:10.472367,slurm_normal,1488601953.0,0,1.0,main_w3_handler0,3017778,15205647,False,133451347,bedgraph,,9355781.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/dm6.len""","""5.0""","""dm6""",,"[{'src': 'hda', 'id': 28602290}]","""30""","""200""","""false""",32.0,,36429669.0,1488601935.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-04 04:32:35.441046,57590.0,18.0
2017-04-05 09:56:08.753907,slurm_normal,1491386330.0,0,1.0,main_w4_handler1,3026738,15493187,False,1050233025,bedgraph,,9620985.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 29080494}]","""30""","""200""","""false""",32.0,,37122785.0,1491386175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-04-05 09:58:53.838334,103632.0,155.0
2017-04-05 12:46:24.242518,slurm_normal,1491396459.0,0,1.0,main_w3_handler1,3026738,15494242,False,1050233025,bedgraph,,9621932.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 29080494}]","""30""","""200""","""true""",32.0,,37122785.0,1491396389.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-04-05 12:47:41.511830,103632.0,70.0
2017-04-05 13:44:53.534823,slurm_normal,1491399944.0,0,1.0,main_w4_handler1,3060431,15494750,False,527820880,bedgraph,,9622389.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 29083003}]","""30""","""200""","""true""",32.0,,37122785.0,1491399898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-04-05 13:45:50.338253,103632.0,46.0
2017-04-05 15:18:11.403983,slurm_normal,1491405703.0,0,1.0,main_w4_handler0,3060482,15495799,False,527820880,bedgraph,,9623263.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 29084469}]","""30""","""200""","""true""",32.0,,37122785.0,1491405497.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-04-05 15:22:05.239861,103632.0,206.0
