chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bed12,parameters.chromInfo,parameters.dbkey,parameters.genome.values,parameters.input.values,parameters.input|__identifier__,parameters.mapq,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-17 11:45:16.245277,slurm_normal,1466163949.0,0,1.0,244319,interval,main_w2_handler0,2741789,13192453,False,,55749,bed,7377215.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5878a65b26483035e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b58074fabcc702a625'}]",,"""255""",32.0,,30923907,1466163945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 11:45:51.268890,71940.0,4.0
,,2016-06-17 11:45:17.152938,slurm_normal,1466163955.0,0,1.0,244319,interval,main_w1_handler1,2741789,13192456,False,,378814,bed,7377216.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5878a65b26483035e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5773c29f955493d49'}]",,"""255""",32.0,,30923907,1466163951.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 11:45:58.061970,71940.0,4.0
,,2016-06-17 11:31:33.247210,slurm_normal,1466163137.0,0,1.0,237957,interval,main_w2_handler0,2741789,13192403,False,,105658,bed,7377164.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d5b7ff0de14aaed6'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b581019322351d217c'}]",,"""255""",32.0,,30923907,1466163133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 11:32:19.412497,71940.0,4.0
,,2016-06-17 14:05:13.162328,slurm_normal,1466172343.0,0,1.0,419913,interval,main_w1_handler1,2741789,13193074,False,,204961,bed,7377846.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5eda059572ffdaa93'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e8c09aa316274d2f'}]",,"""255""",32.0,,30923907,1466172339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 14:05:44.715428,71940.0,4.0
,,2016-06-17 14:05:11.064710,slurm_normal,1466172345.0,0,1.0,419913,interval,main_w1_handler0,2741789,13193068,False,,57494,bed,7377847.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5eda059572ffdaa93'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b56b0aba538d6d3f55'}]",,"""255""",32.0,,30923907,1466172339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 14:05:50.656824,71940.0,6.0
,,2016-06-17 14:05:12.555760,slurm_normal,1466172348.0,0,1.0,419913,interval,main_w2_handler1,2741789,13193072,False,,67766,bed,7377851.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5eda059572ffdaa93'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c151cc6b4382393a'}]",,"""255""",32.0,,30923907,1466172343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 14:05:50.186725,71940.0,5.0
,,2016-06-17 11:31:35.458745,slurm_normal,1466163139.0,0,1.0,237957,interval,main_w2_handler0,2741789,13192408,False,,115860,bed,7377167.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d5b7ff0de14aaed6'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b517eed2a5cda11a68'}]",,"""255""",32.0,,30923907,1466163135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 11:32:21.894680,71940.0,4.0
,,2016-06-17 11:31:34.711624,slurm_normal,1466163139.0,0,1.0,237957,interval,main_w2_handler1,2741789,13192406,False,,63765,bed,7377166.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d5b7ff0de14aaed6'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c8e5abf7affa20df'}]",,"""255""",32.0,,30923907,1466163135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 11:32:21.648600,71940.0,4.0
,,2016-06-17 11:45:18.588052,slurm_normal,1466163957.0,0,1.0,244319,interval,main_w2_handler1,2741789,13192460,False,,119401,bed,7377218.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5878a65b26483035e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b745f52ca1302f1e'}]",,"""255""",32.0,,30923907,1466163954.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 11:45:59.980147,71940.0,3.0
,,2016-06-17 11:31:32.356971,slurm_normal,1466163138.0,0,1.0,237957,interval,main_w2_handler1,2741789,13192401,False,,84960,bed,7377165.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d5b7ff0de14aaed6'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e1f6ced7e2e46c0a'}]",,"""255""",32.0,,30923907,1466163133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.24.0,2.24.0,,2016-06-17 11:32:21.419190,71940.0,5.0
