chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.identifier,parameters.identifier.__class__,parameters.identifier.value,parameters.input_file,parameters.input_file.values,parameters.input_file|__identifier__,parameters.quality,parameters.quality.__class__,parameters.quality.value,parameters.sequence,parameters.sequence.__class__,parameters.sequence.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-04-10 11:16:11.062009,slurm_normal,1428665543.0,0,,1.0,main_w2_handler0,2030615,9192314,False,,169053986,tabular,3474164.roundup,slurm,,132112168.0,corral-repl,,,,"""fbd3ad86df7211e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225010,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665534.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:32:28.027596,17011.0,9.0
,,2015-04-10 11:16:20.628138,slurm_normal,1428665107.0,0,,1.0,main_w2_handler0,2030615,9192322,False,,156000826,tabular,3474105.roundup,slurm,,132112168.0,corral-repl,,,,"""00ccde48df7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225018,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:25:09.518319,17011.0,5.0
,,2015-04-10 11:16:03.498889,slurm_normal,1428665300.0,0,,1.0,main_w1_handler1,2030615,9192306,False,,188092448,tabular,3474131.roundup,slurm,,132112168.0,corral-repl,,,,"""f6ab5dd6df7211e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225002,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665294.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:28:22.660831,17011.0,6.0
,,2015-04-07 18:40:42.152677,slurm_normal,1428432084.0,0,,1.0,main_w2_handler0,2262660,9162046,False,,433190416,interval,3443954.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,19178810,,,"""1""",,,"""1""",,,32.0,,22301119.0,1428432062.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-07 18:41:31.485817,51666.0,22.0
,,2015-04-10 11:16:29.227989,slurm_normal,1428665709.0,0,,1.0,main_w2_handler1,2030615,9192330,False,,164902390,tabular,3474198.roundup,slurm,,132112168.0,corral-repl,,,,"""06e97bb0df7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225026,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:35:15.243421,17011.0,7.0
,,2015-04-10 11:16:36.917488,slurm_normal,1428665680.0,0,,1.0,main_w1_handler1,2030615,9192338,False,,106158262,tabular,3474190.roundup,slurm,,132112168.0,corral-repl,,,,"""0b3fa63adf7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225034,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665672.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:34:43.846632,17011.0,8.0
,,2015-04-10 11:16:47.948144,slurm_normal,1428665736.0,0,,1.0,main_w1_handler1,2030615,9192350,False,,105451744,tabular,3474204.roundup,slurm,,132112168.0,corral-repl,,,,"""1110d7c8df7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225045,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665732.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:35:39.109927,17011.0,4.0
,,2015-04-10 11:16:56.382723,slurm_normal,1428665800.0,0,,1.0,main_w2_handler1,2030615,9192358,False,,130008368,tabular,3474211.roundup,slurm,,132112168.0,corral-repl,,,,"""16f9c8f2df7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225054,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:36:45.655229,17011.0,8.0
,,2015-04-10 11:56:12.316012,slurm_normal,1428667115.0,0,,1.0,main_w2_handler0,2266078,9192521,False,,2210122,tabular,3474364.roundup,slurm,,132112168.0,corral-repl,,,,"""93cee038df7811e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225251,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428667112.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:58:39.707202,50963.0,3.0
,,2015-04-10 11:55:44.311275,slurm_normal,1428667084.0,0,,1.0,main_w1_handler0,2266073,9192486,False,,1796508,tabular,3474354.roundup,slurm,,132112168.0,corral-repl,,,,"""8322c09cdf7811e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225211,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428667082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:58:05.942221,50963.0,2.0
,,2015-04-10 11:55:49.913806,slurm_normal,1428667097.0,0,,1.0,main_w2_handler1,2266074,9192493,False,,6724638,tabular,3474359.roundup,slurm,,132112168.0,corral-repl,,,,"""868b330edf7811e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225219,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428667095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:58:21.691038,50963.0,2.0
,,2015-04-10 11:56:07.070949,slurm_normal,1428667085.0,0,,1.0,main_w1_handler1,2266077,9192514,False,,2237848,tabular,3474353.roundup,slurm,,132112168.0,corral-repl,,,,"""902aad68df7811e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225243,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428667082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:58:08.068494,50963.0,3.0
,,2015-04-10 11:56:00.817255,slurm_normal,1428667114.0,0,,1.0,main_w1_handler0,2266076,9192507,False,,1172814,tabular,3474362.roundup,slurm,,132112168.0,corral-repl,,,,"""8d213862df7811e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225235,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428667112.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:58:36.559628,50963.0,2.0
,,2015-04-10 12:55:13.540467,slurm_normal,1428670957.0,0,,1.0,main_w1_handler0,2030615,9192770,False,,170413850,tabular,3474769.roundup,slurm,,132112168.0,corral-repl,,,,"""d29558a8df8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225558,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428670952.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:02:40.346473,17011.0,5.0
,,2015-04-10 12:55:25.275148,slurm_normal,1428671198.0,0,,1.0,main_w2_handler1,2030615,9192786,False,,144732750,tabular,3474808.roundup,slurm,,132112168.0,corral-repl,,,,"""d99cd02cdf8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225574,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428671192.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:06:44.823829,17011.0,6.0
,,2015-04-10 12:55:31.640210,slurm_normal,1428671048.0,0,,1.0,main_w2_handler1,2030615,9192794,False,,188092448,tabular,3474792.roundup,slurm,,132112168.0,corral-repl,,,,"""dd51d942df8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225582,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428671042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:04:12.408885,17011.0,6.0
,,2015-04-10 12:55:58.860323,slurm_normal,1428671766.0,0,,1.0,main_w2_handler0,2030615,9192826,False,,106158262,tabular,3474895.roundup,slurm,,132112168.0,corral-repl,,,,"""ed2dd60edf8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225614,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428671762.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:16:09.347705,17011.0,4.0
,,2015-04-10 12:55:19.623144,slurm_normal,1428671079.0,0,,1.0,main_w1_handler0,2030615,9192778,False,,197938228,tabular,3474794.roundup,slurm,,132112168.0,corral-repl,,,,"""d612b714df8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225566,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428671072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:04:40.384618,17011.0,7.0
,,2015-04-10 12:55:39.192112,slurm_normal,1428671107.0,0,,1.0,main_w2_handler0,2030615,9192802,False,,169053986,tabular,3474799.roundup,slurm,,132112168.0,corral-repl,,,,"""e1253e4cdf8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225590,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428671102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:05:10.072266,17011.0,5.0
,,2015-04-10 12:55:45.727068,slurm_normal,1428671227.0,0,,1.0,main_w2_handler0,2030615,9192810,False,,156000826,tabular,3474810.roundup,slurm,,132112168.0,corral-repl,,,,"""e56f7d96df8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225598,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428671222.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:07:11.399300,17011.0,5.0
,,2015-04-10 12:56:04.940790,slurm_normal,1428671539.0,0,,1.0,main_w2_handler0,2030615,9192834,False,,105451744,tabular,3474841.roundup,slurm,,132112168.0,corral-repl,,,,"""f1048f70df8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225622,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428671534.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:12:21.785408,17011.0,5.0
,,2015-04-10 12:55:52.502315,slurm_normal,1428671647.0,0,,1.0,main_w2_handler1,2030615,9192818,False,,164902390,tabular,3474867.roundup,slurm,,132112168.0,corral-repl,,,,"""e9aee36adf8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225606,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428671642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:14:14.391179,17011.0,5.0
,,2015-04-10 12:56:12.116523,slurm_normal,1428671708.0,0,,1.0,main_w2_handler0,2030615,9192842,False,,130008368,tabular,3474882.roundup,slurm,,132112168.0,corral-repl,,,,"""f505a8f2df8011e497b4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225630,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428671702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 13:15:11.501044,17011.0,6.0
,,2015-04-10 14:15:10.704410,slurm_normal,1428675337.0,0,,1.0,main_w1_handler0,2266162,9193695,False,,28178234,tabular,3475561.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,19226480,,,"""6""",,,"""4""",,,32.0,,22372949.0,1428675332.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 14:15:38.221366,,5.0
