create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.comments,parameters.dbkey,parameters.inputFile,parameters.inputFile|__identifier__,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-29 07:52:07.403136,slurm_normal_16gb,1438156381.0,0,1.0,main_w1_handler0,2393151,10023209,False,,13672693,bam,4304969.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{""comment"": ""Father"", ""__index__"": 0}]","""?""",20595298,,"""LENIENT""",32.0,,24017621,1438156351.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-07-29 07:53:02.970752,65708.0,30.0
2015-07-29 07:56:28.727185,slurm_normal_16gb,1438156616.0,0,1.0,main_w1_handler2,2393151,10023249,False,,10329949,bam,4305008.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{""comment"": ""daughter"", ""__index__"": 0}]","""?""",20595302,,"""LENIENT""",32.0,,24017621,1438156610.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-07-29 07:56:58.735145,65708.0,6.0
2015-07-29 07:55:35.564100,slurm_normal_16gb,1438156554.0,0,1.0,main_w1_handler0,2393151,10023246,False,,10364303,bam,4305005.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{""comment"": ""mother"", ""__index__"": 0}]","""?""",20595300,,"""LENIENT""",32.0,,24017621,1438156547.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-07-29 07:55:57.680751,65708.0,7.0
2015-09-16 20:24:56.611917,slurm_normal_16gb,1442435179.0,0,1.0,main_w1_handler2,2433051,10338532,False,,10096637,bam,4621958.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{""comment"": ""R1R2-12880"", ""__index__"": 0}]","""hg38""",21139716,,"""LENIENT""",32.0,,25210191,1442435173.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-09-16 20:26:25.031362,68879.0,6.0
2015-09-16 20:23:39.476387,slurm_normal_16gb,1442435080.0,0,1.0,main_w2_handler0,2433051,10338525,False,,13374955,bam,4621948.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{""comment"": ""R1R2-12877"", ""__index__"": 0}]","""hg38""",21139707,,"""LENIENT""",32.0,,25210191,1442435072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-09-16 20:24:45.850853,68879.0,8.0
2015-09-16 20:24:26.414566,slurm_normal_16gb,1442435137.0,0,1.0,main_w2_handler1,2433051,10338528,False,,10134235,bam,4621953.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{""comment"": ""12878"", ""__index__"": 0}]","""hg38""",21139712,,"""LENIENT""",32.0,,25210191,1442435130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-09-16 20:25:44.961479,68879.0,7.0
2015-08-05 07:23:14.588123,slurm_normal_16gb,1438759440.0,0,1.0,main_w1_handler1,665122,10065506,False,,839619775,bam,4344107.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{""comment"": """", ""__index__"": 0}]","""?""",20691083,,"""LENIENT""",32.0,,24497351,1438759409.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-08-05 07:24:05.254815,14840.0,31.0
2015-09-19 19:52:15.724972,slurm_normal_16gb,1442692356.0,0,1.0,main_w2_handler1,2444696,10361302,False,,16449172,bam,4643274.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""Father"", ""__index__"": 0}]","""hg19""",21175362,,"""LENIENT""",32.0,,25280262,1442692351.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-09-19 19:52:39.340671,69236.0,5.0
2015-09-19 19:53:33.710397,slurm_normal_16gb,1442692434.0,0,1.0,main_w1_handler1,2444696,10361305,False,,12194685,bam,4643279.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""Daughter"", ""__index__"": 0}]","""hg19""",21175364,,"""LENIENT""",32.0,,25280262,1442692430.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-09-19 19:53:58.889733,69236.0,4.0
2015-09-19 19:58:57.306107,slurm_normal_16gb,1442692777.0,0,1.0,main_w1_handler0,2444696,10361315,False,,10166778,bam,4643294.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""Daughter"", ""__index__"": 0}]","""hg19""",21175367,,"""LENIENT""",32.0,,25280262,1442692772.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.126.0,1.126.0,,2015-09-19 19:59:39.623983,69236.0,5.0
