chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allowContigLenDiscord,parameters.allowIncDictConcord,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.outputFormat,parameters.source.__current_case__,parameters.source.buildName,parameters.source.indexSource,parameters.source.ref,parameters.source.ref.__class__,parameters.source.ref.value,parameters.source.refFile,parameters.source.refFile.values,parameters.source.speciesName,parameters.source.truncateSeqNames,processor_count,refFile,refFile_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-02-09 23:33:30.991987,rodeo_normal,1423525513.0,0,,1.0,main_w1_handler0,2200632,8690100,False,,53230848,sam,2693759.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18454977,,"""True""",1,hg19,history,,,,18454641.0,,Human,False,32.0,104582027.0,fasta,,20424153.0,1423525500.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2015-02-09 23:45:15.114280,17286.0,13.0
,,2015-02-09 23:34:07.992150,rodeo_normal,1423525683.0,0,,1.0,main_w1_handler0,2200632,8690136,False,,43094198,sam,2693799.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18454983,,"""True""",1,hg19,history,,,,18454641.0,,Human,False,32.0,104582027.0,fasta,,20424153.0,1423525617.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2015-02-09 23:48:06.956093,17286.0,66.0
,,2015-02-09 23:33:01.720842,rodeo_normal,1423525232.0,0,,1.0,main_w2_handler0,2200632,8690094,False,,1448807,sam,2693689.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18454974,,"""True""",1,hg19,history,,,,18454641.0,,Human,False,32.0,104582027.0,fasta,,20424153.0,1423525171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2015-02-09 23:40:34.767187,17286.0,61.0
,,2014-09-11 13:02:35.430551,roundup_single,1410441020.0,0,,1.0,main_w1_handler1,2036549,7697842,False,,2239432888,bam,1684533,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",16684969,,"""True""",0,,built-in,Homo_sapiens_nuHg19_mtrCRS,,,,,,,32.0,,,,15647219.0,1410440562.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-11 13:10:21.127735,50906.0,458.0
,,2014-09-10 20:30:24.305586,roundup_single,1410382695.0,0,,1.0,main_w2_handler1,2043145,7694686,False,,2139567732,bam,1681629,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",16719747,,"""True""",0,,built-in,hg_g1k_v37,,,,,,,32.0,,,,16879174.0,1410382265.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-10 20:58:16.752858,50271.0,430.0
,,2015-02-09 16:41:10.495896,rodeo_normal,1423507964.0,0,,1.0,main_w1_handler1,2198569,8687749,False,,4093817963,bam,2689781.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18443715,,"""True""",0,,built-in,mm10,,,,,,,32.0,,,,21085517.0,1423506188.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2015-02-09 18:52:47.841802,58700.0,1776.0
,,2014-09-09 21:08:17.435221,roundup_single,1410410511.0,0,,1.0,main_w2_handler0,2044261,7676004,False,,11918489293,bam,1682727,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",16692046,,"""True""",0,,built-in,hg_g1k_v37,,,,,,,32.0,,,,16855576.0,1410407705.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-11 04:41:53.929232,50904.0,2806.0
,,2014-09-10 21:00:42.843819,roundup_single,1410421614.0,0,,1.0,main_w1_handler0,2045673,7694866,False,,2313973990,bam,1683245,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",16720329,,"""True""",0,,built-in,hg_g1k_v37,,,,,,,32.0,,,,16871792.0,1410421012.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-11 07:46:56.966865,50275.0,602.0
,,2015-02-09 16:41:31.465570,rodeo_normal,1423503099.0,0,,1.0,main_w2_handler1,2198569,8687753,False,,8404106466,bam,2689205.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18443731,,"""True""",0,,built-in,mm10,,,,,,,32.0,,,,21085517.0,1423500113.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2015-02-09 17:31:40.905031,58700.0,2986.0
,,2015-02-09 16:41:17.643261,rodeo_normal,1423503644.0,0,,1.0,main_w2_handler1,2198569,8687750,False,,10009150315,bam,2689199.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18443720,,"""True""",0,,built-in,mm10,,,,,,,32.0,,,,21085517.0,1423500099.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2015-02-09 17:40:47.254885,58700.0,3545.0
