create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.kraken_database,parameters.mpa_format,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-11-21 15:00:12.348463,slurm_normal,1479740436.0,0,1.0,main_w3_handler0,2903231,14399407,False,,893,tabular,8604354.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b553602f26af159c14'}]","""bacteria""","""false""",32.0,,34374400,1479740418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-11-21 15:00:37.682527,91698,18.0
2016-11-21 23:46:02.149740,slurm_normal,1479772033.0,0,1.0,main_w3_handler1,2903231,14400182,False,,893,tabular,8605137.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b553602f26af159c14'}]","""bacteria""","""false""",32.0,,34374400,1479771965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-11-21 23:47:16.215387,91698,68.0
2016-11-23 08:30:22.497879,slurm_normal,1479889896.0,0,1.0,main_w3_handler1,2905064,14412102,False,,12440187,tabular,8617000.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27378316}]","""bacteria""","""false""",32.0,,34415854,1479889827.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-11-23 08:31:41.685985,91698,69.0
2016-11-23 08:54:16.995960,slurm_normal,1479891340.0,0,1.0,main_w3_handler0,2905064,14412203,False,,12440187,tabular,8617102.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27378316}]","""bacteria""","""true""",32.0,,34415854,1479891262.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-11-23 08:55:46.365599,91698,78.0
2016-12-11 15:36:18.473838,slurm_normal,1481470658.0,0,1.0,main_w4_handler1,2908234,14542910,False,,99718576,tabular,8725488.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27583335}]","""bacteria""","""false""",32.0,,34758724,1481470581.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-12-11 15:37:39.577940,95752,77.0
2016-12-12 11:53:30.062967,slurm_normal,1481543684.0,0,1.0,main_w3_handler0,2908234,14548970,False,,61971332,tabular,8730866.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27590356}]","""bacteria""","""false""",32.0,,34542901,1481543612.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-12-12 11:54:45.672661,95752,72.0
2016-12-13 18:37:50.367833,slurm_normal,1481654325.0,0,1.0,main_w3_handler1,1135103,14567524,False,,249126755,tabular,8746591.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27619114}]","""bacteria""","""false""",32.0,,34829302,1481654274.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-12-13 18:38:46.954373,8720,51.0
2016-12-13 18:34:09.092516,slurm_normal,1481654074.0,0,1.0,main_w3_handler0,1135103,14567495,False,,34267,tabular,8746560.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27620040}]","""bacteria""","""false""",32.0,,34829302,1481654056.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-12-13 18:34:36.417416,8720,18.0
2016-12-21 07:53:35.566876,slurm_normal,1482306886.0,0,1.0,main_w3_handler1,2934489,14621343,False,,291790702,tabular,8797983.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27703506}]","""viruses""","""false""",32.0,,34934269,1482306818.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-12-21 07:54:49.312665,88083,68.0
2016-12-21 10:44:29.312876,slurm_normal,1482317126.0,0,1.0,main_w4_handler0,2934489,14622921,False,,296748399,tabular,8799604.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27705720}]","""plasmids""","""false""",32.0,,34934269,1482317071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.1.0,1.1.0,,2016-12-21 10:45:28.555834,88083,55.0
