create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.column_n,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-16 10:15:31.138330,slurm_normal,1458123417.0,0,,1.0,main_w1_handler0,2635421,12151109,False,,11685611,tabular,6369622.roundup,slurm,,132112168.0,corral-repl,,"""02c38cc0eb6011e58536005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""6""","""?""",23861561,,32.0,,28999569.0,1458123411.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2016-03-16 10:17:00.680161,35017,6.0
2016-03-16 12:42:58.165537,slurm_normal,1458132402.0,0,,1.0,main_w1_handler2,2635583,12153809,False,,11685611,tabular,6370698.roundup,slurm,,132112168.0,corral-repl,,"""9c03d7dceb7411e5b8cc005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""6""","""?""",23864888,,32.0,,28999569.0,1458132392.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2016-03-16 12:46:43.951919,35017,10.0
2016-03-17 08:14:24.191428,slurm_normal,1458202654.0,0,,1.0,main_w2_handler1,2636761,12163229,False,,11685611,tabular,6380630.roundup,slurm,,132112168.0,corral-repl,,"""41ab09c8ec1811e596fb005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""6""","""?""",23881721,,32.0,,29038353.0,1458202608.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2016-03-17 08:17:36.508146,35017,46.0
2016-03-17 08:15:58.129461,slurm_normal,1458202949.0,0,,1.0,main_w2_handler0,2636765,12163253,False,,11685611,tabular,6380649.roundup,slurm,,132112168.0,corral-repl,,"""796f6796ec1811e5b884005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""6""","""?""",23881757,,32.0,,29038353.0,1458202862.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2016-03-17 08:22:32.358641,35017,87.0
2016-03-17 11:27:09.770153,slurm_normal,1458214327.0,0,,1.0,main_w2_handler1,2636941,12164741,False,,21438041,tabular,6382062.roundup,slurm,,132112168.0,corral-repl,,"""2ee46dfaec3311e58177005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""6""","""?""",23884185,,32.0,,29038353.0,1458214317.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2016-03-17 11:32:09.440266,35017,10.0
2016-03-18 08:39:48.506654,slurm_normal,1458290595.0,0,,1.0,main_w1_handler1,2638255,12175869,False,,27309229,tabular,6392479.roundup,slurm,,132112168.0,corral-repl,,"""f8327844ece411e58e17005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""6""","""?""",23901317,,32.0,,29038353.0,1458290586.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2016-03-18 08:43:18.302275,35017,9.0
2016-03-21 08:13:35.890442,slurm_normal,1458548236.0,0,,1.0,main_w2_handler0,2640769,12207960,False,,27309229,tabular,6422270.roundup,slurm,,132112168.0,corral-repl,,"""cdf7beeaef3c11e5863c005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""6""","""?""",23946307,,32.0,,29038353.0,1458548226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2016-03-21 08:17:19.694753,35017,10.0
2016-07-26 10:40:57.261565,slurm_normal,1469529712.0,0,,1.0,main_w2_handler1,2776188,13496539,False,,267137,tabular,7711805.roundup,slurm,,132112168.0,corral-repl,,"""6e706ce8531d11e68ee6005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""6""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59afcf868b0a8848e'}]",32.0,,31725824.0,1469529708.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2016-07-26 10:41:54.180186,35017,4.0
2017-04-19 07:02:04.224518,slurm_normal,1492586324.0,0,,1.0,main_w4_handler1,3077448,15621686,False,,1006464854,tabular,9740790.roundup,slurm,,132112168.0,corral-repl,,"""0cc0ddec24ce11e785ff005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""6""","""?""",,"[{'src': 'hda', 'id': 29271801}]",32.0,,,1492586264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2017-04-19 07:18:49.612964,104274,60.0
2018-03-06 21:18:38.360621,slurm_normal,1520371132.0,0,7680.0,1.0,main_w3_handler1,3335948,18630397,False,,4498540,tabular,12726705,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""6""","""?""",,"[{'src': 'hda', 'id': 34249845}]",32.0,,44068407.0,1520371128.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0,1.0.0,,2018-03-06 21:18:54.184156,61346,4.0
