create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.probability,parameters.seed,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-05 08:40:22.164213,slurm_normal,1520239924.0,0,7680.0,1.0,main_w4_handler0,3442602,18606815,False,,3942555966,bam,12702189,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34097544}]",,"""0.79""","""1""","""LENIENT""",32.0,,44163331.0,1520239233.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-03-05 08:52:06.294546,29807.0,691.0
2018-03-05 08:41:24.992777,slurm_normal,1520240086.0,0,7680.0,1.0,main_w3_handler0,3442602,18606832,False,,3942555966,bam,12702248,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34097544}]",,"""0.354""","""1""","""LENIENT""",32.0,,44163331.0,1520239679.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-03-05 08:54:50.157849,29807.0,407.0
2018-01-04 23:19:50.510344,slurm_normal,1515108181.0,0,,1.0,main_w4_handler0,3199163,17949772,False,,502733400,bam,12026172,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33177914}]",,"""1.0""","""1""","""LENIENT""",32.0,,42987494.0,1515107994.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-04 23:23:03.238020,108793.0,187.0
2018-01-08 22:14:18.292092,slurm_normal,1515450057.0,0,,1.0,main_w3_handler1,3345623,17976609,False,,123535672,bam,12053130,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33221759}]",,"""0.01""","""1""","""LENIENT""",32.0,,42334682.0,1515450028.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-08 22:20:58.811621,45373.0,29.0
2018-01-08 22:14:31.018079,slurm_normal,1515450077.0,0,,1.0,main_w3_handler1,3345623,17976610,False,,92709748,bam,12053132,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33221762}]",,"""0.01""","""1""","""LENIENT""",32.0,,42334682.0,1515450057.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-08 22:21:17.636552,45373.0,20.0
2018-03-05 16:38:11.397215,slurm_normal,1520268442.0,0,7680.0,1.0,main_w4_handler1,3438033,18612553,False,,2451462446,bam,12708354,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34179870}]",,"""0.9""","""1""","""LENIENT""",32.0,,44079147.0,1520267899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-03-05 16:47:24.142329,101862.0,543.0
2018-01-08 21:59:54.972531,slurm_normal,1515449043.0,0,,1.0,main_w4_handler1,3345623,17976515,False,,106196675,bam,12053033,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33221745}]",,"""0.01""","""1""","""LENIENT""",32.0,,42334682.0,1515449022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-08 22:04:05.717741,45373.0,21.0
2018-01-08 22:14:43.969268,slurm_normal,1515450101.0,0,,1.0,main_w3_handler0,3345623,17976613,False,,78352609,bam,12053133,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33221783}]",,"""0.01""","""1""","""LENIENT""",32.0,,42334682.0,1515450067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-08 22:21:43.345788,45373.0,34.0
2018-01-08 22:14:52.339855,slurm_normal,1515450110.0,0,,1.0,main_w3_handler1,3345623,17976615,False,,68368243,bam,12053135,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33221784}]",,"""0.01""","""1""","""LENIENT""",32.0,,42334682.0,1515450084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-08 22:21:51.741825,45373.0,26.0
2018-01-08 22:15:25.705634,slurm_normal,1515450766.0,0,,1.0,main_w4_handler1,3345623,17976620,False,,142008398,bam,12053167,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33221789}]",,"""0.01""","""1""","""LENIENT""",32.0,,42334682.0,1515450749.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-08 22:32:47.562916,45373.0,17.0
