chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.CN,parameters.DS,parameters.DT,parameters.PI,parameters.PL,parameters.PU,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.read_group_id_conditional.ID,parameters.read_group_id_conditional.__current_case__,parameters.read_group_id_conditional.do_auto_name,parameters.read_group_lb_conditional.LB,parameters.read_group_lb_conditional.__current_case__,parameters.read_group_lb_conditional.do_auto_name,parameters.read_group_sm_conditional.SM,parameters.read_group_sm_conditional.__current_case__,parameters.read_group_sm_conditional.do_auto_name,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-02-24 04:39:02.897796,slurm_normal,1487911154.0,0,,1.0,main_w3_handler1,3008571,15126349,False,,9865511,bam,9280292.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""FLOWCELL""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28492093}]",,Mother,1,false,LBMother,1,false,Mother1,1,false,"""LENIENT""",32.0,,36256310.0,1487911146.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-02-24 04:39:16.481504,99803,8.0
,,2017-02-24 04:37:49.073085,slurm_normal,1487911078.0,0,,1.0,main_w3_handler0,3008571,15126345,False,,13009998,bam,9280288.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""FLOWCELL""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28492089}]",,Father,1,false,LBFather1,1,false,Father1,1,false,"""LENIENT""",32.0,,36256310.0,1487911071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-02-24 04:38:00.938617,99803,7.0
,,2017-02-24 04:40:01.697197,slurm_normal,1487911218.0,0,,1.0,main_w4_handler0,3008571,15126356,False,,10006053,bam,9280298.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""FLOWCELL""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28492096}]",,Child,1,false,LBChild1,1,false,Child1,1,false,"""LENIENT""",32.0,,36256310.0,1487911210.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-02-24 04:40:21.695200,99803,8.0
,,2017-04-04 13:05:32.174517,slurm_normal,1491311150.0,0,,1.0,main_w3_handler1,2990019,15481882,False,,10730859,bam,9610215.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""Father""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29061215}]",,Father,1,false,Father,1,false,Father,1,false,"""LENIENT""",32.0,,35933232.0,1491311135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 13:05:57.318972,18927,15.0
,,2017-04-04 14:43:29.333682,slurm_normal,1491317032.0,0,,1.0,main_w3_handler1,3055860,15482576,False,,10214785,bam,9610550.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""NA12878""",,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29046704}]",,NA12878,1,false,NA12878,1,false,NA12878,1,false,"""LENIENT""",32.0,,37100852.0,1491317013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 14:43:55.406916,87693,19.0
,,2017-04-04 06:40:06.047660,slurm_normal,1491288016.0,0,,1.0,main_w3_handler0,2990019,15479475,False,,12057886,bam,9608028.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""NA12877""",,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 29057259}]",,NA12877,1,false,NA12877,1,false,NA12877,1,false,"""LENIENT""",32.0,,37091665.0,1491288009.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 06:40:18.825568,18927,7.0
,,2017-04-04 06:51:56.317383,slurm_normal,1491288800.0,0,,1.0,main_w3_handler1,3056741,15479516,False,,335209744,bam,9608077.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""lane""",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 29057346}]","""Mk_R1__ds_SRR549357""",,0,true,,0,true,,0,true,"""LENIENT""",32.0,,37066335.0,1491288720.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 06:53:21.747371,81817,80.0
,,2017-04-04 06:40:40.574829,slurm_normal,1491288071.0,0,,1.0,main_w4_handler1,2990019,15479479,False,,8741195,bam,9608038.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""NA12878""",,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 29057261}]",,NA12878,1,false,NA12878,1,false,NA12878,1,false,"""LENIENT""",32.0,,37091665.0,1491288064.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 06:41:13.201506,18927,7.0
,,2017-04-04 06:41:38.912793,slurm_normal,1491288128.0,0,,1.0,main_w4_handler0,2990019,15479481,False,,8862383,bam,9608043.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""NA12880""",,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 29057308}]",,NA12880,1,false,NA12880,1,false,NA12880,1,false,"""LENIENT""",32.0,,37091665.0,1491288120.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 06:42:10.237382,18927,8.0
,,2017-04-04 06:51:56.085852,slurm_normal,1491288883.0,0,,1.0,main_w3_handler1,3056741,15479515,False,,559862983,bam,9608076.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""lane""",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 29057345}]","""G1E_R2__ds_SRR549356""",,0,true,,0,true,,0,true,"""LENIENT""",32.0,,37066335.0,1491288726.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 06:54:45.892695,81817,157.0
