chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.aligned_reads_only,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.include_no_calls,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.pf_reads_only,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-09 16:41:42.587474,slurm_normal,1497027075.0,0,,1.0,main_w3_handler0,3143593,16066305,False,,5541147425,bam,10154889.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/bosTau8.len""","""bosTau8""","""false""","[{'src': 'hda', 'id': 29931888}]",,"""false""",0,bosTau8,,cached,"""LENIENT""",32.0,,,,38404991.0,1497026515.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-06-09 16:51:20.559126,77686.0,560.0
,,2017-06-14 17:47:56.445972,slurm_normal,1497462576.0,0,,1.0,main_w4_handler0,3003798,16101996,False,,4941404411,sam,10186306.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30026327}]",,"""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,38304398.0,1497462490.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-06-14 17:49:40.178723,100568.0,86.0
,,2017-07-06 11:03:14.536018,slurm_normal,1499339128.0,0,,1.0,main_w4_handler0,3181435,16270636,False,,1494981422,bam,10341544.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""false""","[{'src': 'hda', 'id': 30299774}]",,"""false""",0,hg38,,cached,"""LENIENT""",32.0,,,,39086603.0,1499339015.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-07-06 11:05:32.690622,108353.0,113.0
,,2017-07-06 21:46:41.474092,slurm_normal,1499377766.0,0,,1.0,main_w3_handler1,3158734,16276917,False,,198606374,bam,10347793.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30336446}]","""Day28-r1""","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,38728806.0,1499377737.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-07-06 21:49:46.860053,103278.0,29.0
,,2017-07-06 21:46:40.192260,slurm_normal,1499377781.0,0,,1.0,main_w3_handler1,3158734,16276915,False,,314543670,bam,10347788.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30336444}]","""Day14-r3""","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,38728806.0,1499377696.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-07-06 21:49:47.404475,103278.0,85.0
,,2017-07-06 21:46:40.910973,slurm_normal,1499377751.0,0,,1.0,main_w3_handler1,3158734,16276916,False,,358609130,bam,10347789.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30336445}]","""Day14-r4""","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,38728806.0,1499377703.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-07-06 21:49:19.185637,103278.0,48.0
,,2017-07-06 21:46:39.191198,slurm_normal,1499377683.0,0,,1.0,main_w4_handler0,3158734,16276913,False,,300557618,bam,10347772.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30336442}]","""Day14-r1""","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,38728806.0,1499377609.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-07-06 21:48:06.833392,103278.0,74.0
,,2017-07-06 21:46:37.395965,slurm_normal,1499377683.0,0,,1.0,main_w3_handler0,3158734,16276910,False,,343732772,bam,10347773.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30336439}]","""Day0-r1""","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,38728806.0,1499377612.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-07-06 21:48:07.599514,103278.0,71.0
,,2017-07-06 21:46:39.701959,slurm_normal,1499377684.0,0,,1.0,main_w3_handler0,3158734,16276914,False,,322171459,bam,10347774.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30336443}]","""Day14-r2""","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,38728806.0,1499377613.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-07-06 21:48:08.067919,103278.0,71.0
,,2017-07-06 21:46:38.681436,slurm_normal,1499377686.0,0,,1.0,main_w3_handler1,3158734,16276912,False,,337288056,bam,10347776.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30336441}]","""Day0-r3""","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,38728806.0,1499377616.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/2.7.1.0,2.7.1.0,,2017-07-06 21:48:08.109183,103278.0,70.0
