chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inTypeCond.__current_case__,parameters.inTypeCond.group1_1,parameters.inTypeCond.group1_2,parameters.inTypeCond.group1_3,parameters.inTypeCond.group2_1,parameters.inTypeCond.group2_2,parameters.inTypeCond.group2_3,parameters.inTypeCond.inType,parameters.inTypeCond.input,parameters.inTypeCond.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-13 22:42:09.693188,rodeo_normal,1426286552.0,0,1.0,main_w2_handler0,1964355,8946358,False,,943,bed,3162840.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0.0,1,1,1,1,1,1,tab,18854516.0,,32.0,,21791388,1426286538.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2015-03-13 22:42:37.419370,49481.0,14.0
,,2017-08-04 16:57:25.123347,slurm_normal,1501865976.0,0,1.0,main_w3_handler1,3210439,16505328,False,,625752,tabular,10575225.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0.0,9,10,1,15,16,1,tab,,"[{'src': 'hda', 'id': 30758947}]",32.0,,39714989,1501865854.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2017-08-04 16:59:38.944436,109707.0,122.0
,,2017-08-06 20:35:16.010646,slurm_normal,1502051848.0,0,1.0,main_w4_handler1,3210439,16516253,False,,171300,tabular,10585774.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0.0,2,3,1,4,5,1,tab,,"[{'src': 'hda', 'id': 30776978}]",32.0,,39714989,1502051722.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2017-08-06 20:37:29.306747,109707.0,126.0
,,2018-01-23 19:42:47.687101,slurm_normal,1516751704.0,0,1.0,main_w3_handler1,3400159,18137504,False,,35567556,gd_genotype,12217230,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0.0,1,1,1,1,1,1,tab,,"[{'src': 'hda', 'id': 33469232}]",32.0,,43389514,1516736576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2018-01-23 23:55:05.806788,120336.0,15128.0
,,2017-11-02 04:55:41.427908,slurm_normal,1509605136.0,0,1.0,main_w4_handler1,3307473,17294691,False,,22685433,vcf,11356849,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0.0,1,1,1,1,1,1,tab,,"[{'src': 'hda', 'id': 32012965}]",32.0,,41683903,1509598562.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2017-11-02 06:45:40.059653,114925.0,6574.0
,,2017-11-20 23:23:15.481315,slurm_normal,1511220511.0,0,1.0,main_w3_handler0,3293335,17527656,False,,11823493,vcf,11586353,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0.0,1,1,1,1,1,1,tab,,"[{'src': 'hda', 'id': 32435314}]",32.0,,42128045,1511220199.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2017-11-20 23:28:33.085966,114041.0,312.0
,,2018-01-24 02:11:19.849666,slurm_normal,1516775006.0,0,1.0,main_w4_handler0,3400159,18139842,False,,176557000,vcf,12219801,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0.0,1,1,1,1,1,1,tab,,"[{'src': 'hda', 'id': 33472923}]",32.0,,43364160,1516759889.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2018-01-24 06:23:28.327562,120336.0,15117.0
,,2018-01-24 02:11:22.307240,slurm_normal,1516774819.0,0,1.0,main_w4_handler0,3400159,18139843,False,,176486950,vcf,12219802,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0.0,1,1,1,1,1,1,tab,,"[{'src': 'hda', 'id': 33472925}]",32.0,,43364160,1516759892.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2018-01-24 06:20:21.198252,120336.0,14927.0
,,2015-04-15 14:37:28.345307,slurm_normal,1429108665.0,0,1.0,main_w2_handler1,2271165,9237301,False,,4661,tabular,3518524.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0.0,1,1,1,1,1,1,tab,19297455.0,,32.0,,22494463,1429108659.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2015-04-15 14:37:47.522645,62376.0,6.0
,,2015-07-28 12:48:37.196246,slurm_normal,1438087822.0,0,1.0,main_w1_handler2,2393101,10016229,False,,32927,bed,4298017.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0.0,1,1,1,1,1,1,tab,20594626.0,,32.0,,24352149,1438087747.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2015-07-28 12:50:27.325616,67062.0,75.0
