chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.width,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-01 10:39:20.712016,slurm_normal,1488364767.0,0,,1.0,main_w3_handler1,3014912,15176967,False,,4194764,fasta,9327553.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28568493}]",,"""0""",32.0,,35529132.0,1488364764.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2017-03-01 10:39:32.331532,,3.0
,,2016-12-09 14:18:15.164359,slurm_normal,1481293106.0,0,,1.0,main_w3_handler0,2904167,14530520,False,,214499,fasta,8713539.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27560878}]",,"""0""",32.0,,34387991.0,1481293099.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-09 14:18:32.223266,,7.0
,,2016-12-11 15:05:53.100903,slurm_normal,1481468778.0,0,,1.0,main_w3_handler1,2918071,14542823,False,,5733416,fasta,8725408.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583400}]",,"""0""",32.0,,34789598.0,1481468773.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:20.009474,96708.0,5.0
,,2016-12-11 15:05:53.809294,slurm_normal,1481468788.0,0,,1.0,main_w4_handler1,2918071,14542826,False,,11544973,fasta,8725414.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583403}]",,"""0""",32.0,,34789598.0,1481468784.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:31.762689,96708.0,4.0
,,2016-12-11 15:05:54.541558,slurm_normal,1481468792.0,0,,1.0,main_w3_handler0,2918071,14542829,False,,5623433,fasta,8725417.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583406}]",,"""0""",32.0,,34789598.0,1481468787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:34.596735,96708.0,5.0
,,2016-12-09 16:49:57.639229,slurm_normal,1481302225.0,0,,1.0,main_w4_handler0,2216113,14532516,False,,7686,fasta,8715326.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/AgamP3.len""","""AgamP3""",,"[{'src': 'hda', 'id': 27565387}]",,"""0""",32.0,,34758314.0,1481302205.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-09 16:50:28.096616,28169.0,20.0
,,2016-12-09 17:17:37.480941,slurm_normal,1481303866.0,0,,1.0,main_w3_handler1,2216113,14532793,False,,9474,fasta,8715605.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/AgamP3.len""","""AgamP3""",,"[{'src': 'hda', 'id': 27565911}]",,"""0""",32.0,,34758314.0,1481303861.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-09 17:17:47.825134,28169.0,5.0
,,2017-03-10 17:42:52.553670,slurm_normal,1489167823.0,0,,1.0,main_w3_handler1,3026836,15265231,False,,43979,fasta,9411218.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28710787}]",,"""100""",32.0,,36556537.0,1489167779.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2017-03-10 17:43:45.660910,101851.0,44.0
,,2016-12-13 11:33:51.580938,slurm_normal,1481628838.0,0,,1.0,main_w4_handler0,2849246,14563597,False,,292523,fasta,8742840.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27613991}]",,"""80""",32.0,,33578256.0,1481628834.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-13 11:33:59.466618,91934.0,4.0
,,2016-12-11 15:05:52.155799,slurm_normal,1481468781.0,0,,1.0,main_w3_handler0,2918071,14542819,False,,6346800,fasta,8725409.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583396}]",,"""0""",32.0,,34789598.0,1481468777.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:23.048285,96708.0,4.0
