chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inType.__current_case__,parameters.inType.how,parameters.inType.ind_column,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-12-16 12:53:40.383762,slurm_normal,1513428835.0,0,,1.0,main_w4_handler0,3355583,17825067,False,,7522861,vcf,11898019,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 32964258}]",32.0,,42696597.0,1513428831.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-12-16 12:53:56.788267,118138.0,4.0
,,2017-08-28 10:03:53.153946,slurm_normal,1503914645.0,0,,1.0,main_w4_handler0,3215803,16672143,False,,9220,vcf,10744459.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 31013301}]",32.0,,39801206.0,1503914641.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-08-28 10:04:06.632539,84878.0,4.0
,,2017-09-04 20:00:09.287811,slurm_normal,1504555223.0,0,,1.0,main_w3_handler1,3240761,16732364,False,,414617,vcf,10801071.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,all,,,"[{'src': 'hda', 'id': 31081469}]",32.0,,40221893.0,1504555220.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-09-04 20:00:27.271516,6102.0,3.0
,,2017-09-04 19:11:25.808089,slurm_normal,1504552316.0,0,,1.0,main_w4_handler0,3242224,16732280,False,,40784497,vcf,10800945.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 31103433}]",32.0,,40261559.0,1504552301.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-09-04 19:12:00.567146,,15.0
,,2017-09-21 05:33:29.463956,slurm_normal,1505972045.0,0,,1.0,main_w4_handler0,3260205,16885970,False,,0,vcf,10951372.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,one,10,,"[{'src': 'hda', 'id': 31319237}]",32.0,,40659926.0,1505972042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-09-21 05:34:08.855184,63548.0,3.0
,,2017-09-21 05:32:36.386522,slurm_normal,1505971976.0,0,,1.0,main_w3_handler0,3260205,16885967,False,,0,vcf,10951359.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 31319236}]",32.0,,40659926.0,1505971972.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-09-21 05:33:02.492899,63548.0,4.0
,,2017-10-14 13:49:40.403259,slurm_normal,1507988987.0,0,,1.0,main_w3_handler0,3286433,17100936,False,,146913,vcf,11158055.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,one,1,,"[{'src': 'hda', 'id': 31686476}]",32.0,,41172746.0,1507988984.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-10-14 13:49:49.269499,89875.0,3.0
,,2017-10-16 12:11:35.151044,slurm_normal,1508155903.0,0,,1.0,main_w3_handler0,3279388,17111697,False,,318094,vcf,11168721.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mycoTube_H37RV.len""","""mycoTube_H37RV""",1,all,,,"[{'src': 'hda', 'id': 31702133}]",32.0,,41290799.0,1508155899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-10-16 12:11:45.188369,111875.0,4.0
,,2018-01-03 06:38:10.276048,slurm_normal,1514961502.0,0,,1.0,main_w4_handler1,3349909,17934703,False,,40624234,vcf,12010852,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 33126612}]",32.0,,42467966.0,1514961494.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2018-01-03 06:38:24.202094,108548.0,8.0
,,2017-11-02 04:43:35.465882,slurm_normal,1509597837.0,0,,1.0,main_w3_handler0,3307473,17294651,False,,22685433,vcf,11356770,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 32012965}]",32.0,,41683903.0,1509597823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-11-02 04:43:58.485619,114925.0,14.0
