chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-05 09:27:14.266761,slurm_normal,1520242059.0,0,7680.0,1.0,main_w4_handler1,3451826,18607152,False,,12702490,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,44334361.0,1520242044.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2018-03-05 09:27:41.753473,,15.0
,,2018-03-05 11:12:25.099837,slurm_normal,1520248385.0,0,7680.0,1.0,main_w3_handler1,3452123,18608622,False,,12703992,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,44287235.0,1520248356.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2018-03-05 11:13:07.913622,111867.0,29.0
,,2018-03-05 16:44:50.636578,slurm_normal,1520268317.0,0,7680.0,1.0,main_w4_handler0,3380146,18612615,False,,12708398,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,42948811.0,1520268297.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2018-03-05 16:45:18.681751,119287.0,20.0
,,2018-03-05 18:21:30.187262,slurm_normal,1520274112.0,0,7680.0,1.0,main_w3_handler1,3452641,18613794,False,,12709483,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,44292466.0,1520274095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2018-03-05 18:21:54.097066,123177.0,17.0
,,2017-11-07 09:24:19.954595,slurm_normal,1510046737.0,0,,1.0,main_w3_handler0,3190922,17357433,False,,11419994,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,41808798.0,1510046707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2017-11-07 09:25:43.094047,108917.0,30.0
,,2018-03-05 23:37:57.628691,slurm_normal,1520293099.0,0,7680.0,1.0,main_w4_handler0,3453026,18616590,False,,12712627,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,44358597.0,1520293083.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2018-03-05 23:38:22.045328,123370.0,16.0
,,2018-03-06 10:26:06.192344,slurm_normal,1520331991.0,0,7680.0,1.0,main_w3_handler1,3416309,18621226,False,,12717540,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,44095098.0,1520331978.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2018-03-06 10:26:34.368242,121035.0,13.0
,,2018-03-06 11:51:18.058120,slurm_normal,1520337096.0,0,7680.0,1.0,main_w4_handler0,3453520,18622261,False,,12718576,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,44366924.0,1520337083.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2018-03-06 11:51:38.256784,64295.0,13.0
,,2017-11-21 02:40:10.458189,slurm_normal,1511232203.0,0,,1.0,main_w4_handler0,3319614,17529483,False,,11588555,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,41905046.0,1511232024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2017-11-21 02:43:24.770558,115899.0,179.0
,,2017-11-26 18:10:06.327517,slurm_normal,1511719832.0,0,,1.0,main_w4_handler0,3329725,17590816,False,,11649302,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",32.0,,41937083.0,1511719815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.1.0,4.1.0,,2017-11-26 18:10:33.836032,114875.0,17.0
