GCbiasFrequenciesFile,GCbiasFrequenciesFile_filetype,bamInput,bamInput_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.GCbiasFrequenciesFile.values,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
22575,tabular,732493079,bam,2016-06-18 15:42:08.390329,slurm_multi,1466265256.0,0,6.0,main_w2_handler2,2633775,13199692,False,,,,7384313,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b536e22f06b85f63c6'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dc11489110666499'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30939708,1466264867.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-06-18 15:54:19.087760,46988,389.0
22575,tabular,724639547,bam,2016-06-18 15:58:18.433389,slurm_multi,1466265894.0,0,6.0,main_w1_handler2,2633775,13199749,False,,,,7384335,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6bcd61fcfe627c4'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c5386ce06b7b4c74'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30939708,1466265511.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-06-18 16:04:56.311354,46988,383.0
7575,tabular,3044923408,bam,2016-09-09 22:19:57.218022,slurm_multi,1473463378.0,0,6.0,main_w3_handler2,2771636,13819038,False,,,,8040875,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51aa879c7f73bf57a'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54d12c39a0853e49e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473461885.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-09-09 23:23:01.398099,73080,1493.0
7575,tabular,3561227423,bam,2016-09-09 22:19:56.808123,slurm_multi,1473461874.0,0,6.0,main_w3_handler2,2771636,13819037,False,,,,8040664,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2344e1411253efc'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581040880eb2ec72a'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473460042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-09-09 22:57:58.047288,73080,1832.0
7575,tabular,2973463244,bam,2016-09-09 22:28:03.519225,slurm_multi,1473464762.0,0,6.0,main_w4_handler2,2771636,13819090,False,,,,8040947,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56499e9ccc7002516'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b9021d24739e8603'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473463388.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-09-09 23:46:05.381330,73080,1374.0
7575,tabular,3120134464,bam,2016-09-10 08:44:57.283000,slurm_multi,1473498656.0,0,6.0,main_w3_handler2,2771636,13820105,False,,,,8041775,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4e9b8208f964280'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8714a390519697d'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473497108.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-09-10 09:10:58.368046,73080,1548.0
22575,tabular,724639547,bam,2016-06-24 19:29:45.495955,slurm_multi,1466797097.0,0,6.0,main_w2_handler2,2633775,13256536,False,,,,7443542,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b536e22f06b85f63c6'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c5386ce06b7b4c74'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,31065766,1466796666.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-06-24 19:38:18.862193,46988,431.0
7575,tabular,2113572094,bam,2016-09-11 21:43:47.842857,slurm_multi,1473631277.0,0,6.0,main_w4_handler2,2771636,13826934,False,,,,8048854,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5809aa0949187b803'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5455535e833b5da7e'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473630242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 22:01:21.947368,73080,1035.0
7575,tabular,1935159771,bam,2016-09-11 21:43:48.284358,slurm_multi,1473631191.0,0,6.0,main_w3_handler2,2771636,13826935,False,,,,8048855,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5698e756ba49fcb05'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5479b15c8f18a7126'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473630263.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 21:59:52.936661,73080,928.0
7575,tabular,1903457122,bam,2016-09-11 21:43:48.644505,slurm_multi,1473632228.0,0,6.0,main_w3_handler2,2771636,13826936,False,,,,8048908,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5469eb13c1edbec7e'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b571433a8e39f84890'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473631291.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 22:17:10.870689,73080,937.0
