chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.threshold,parameters.windowsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
12.0,len,2016-09-19 11:10:59.947249,slurm_normal,1474283529.0,1.0,,1.0,main_w4_handler1,2819978,13882176,False,,1359,fasta,1359,fasta,8105687.roundup,slurm,,132112168.0,corral-repl,,"""be32a5187e5911e6be8f005056a52a46""","""/galaxy-repl/main/files/017/180/dataset_17180684.dat""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57085d3f9ea21642e'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57085d3f9ea21642e'}]","""23""","""10""",32.0,,32971925.0,1474283520.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-09-19 11:12:11.769102,90179.0,9.0
,,2016-07-12 20:42:55.161893,slurm_normal,1468356211.0,1.0,,1.0,main_w1_handler0,2757753,13389870,False,,7897632404,fasta,8835174288,fasta,7601273.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50f045e6b1e6449b9'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b810d5c842552a82'}]","""23""","""10""",32.0,,30061330.0,1468356207.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-07-12 20:43:33.829127,62597.0,4.0
,,2016-07-12 20:43:28.785250,slurm_normal,1468356249.0,1.0,,1.0,main_w2_handler0,2757753,13389877,False,,7561018818,fasta,8915917848,fasta,7601278.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e3f763ef4b66500c'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e7fd142937a34876'}]","""23""","""10""",32.0,,30061330.0,1468356245.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-07-12 20:44:13.241600,62597.0,4.0
,,2016-09-19 21:35:03.160484,slurm_normal,1474320943.0,1.0,,1.0,main_w3_handler1,2822277,13887388,False,,1359,fasta,1359,fasta,8111030.roundup,slurm,,132112168.0,corral-repl,,"""eb4dce727eb011e69bab005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5df8a177a1b0bf5a1'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5df8a177a1b0bf5a1'}]","""23""","""10""",32.0,,33036620.0,1474320937.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-09-19 21:35:44.192203,90321.0,6.0
,,2016-04-20 16:40:04.271630,slurm_normal,1461170459.0,1.0,,1.0,main_w2_handler0,664276,12539263,False,,308828742,fasta,308828742,fasta,6725189.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': '4f4978426aca5fcd'}]",,"[{'src': 'hda', 'id': '4f4978426aca5fcd'}]","""23""","""10""",32.0,,29705351.0,1461170454.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-04-20 16:41:02.944159,14611.0,5.0
,,2016-09-23 12:56:16.184510,slurm_normal,1474635475.0,1.0,,1.0,main_w3_handler0,2822278,13924967,False,,1359,fasta,1359,fasta,8147319.roundup,slurm,,132112168.0,corral-repl,,"""1c9c8002818d11e69bfa005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5765bdd4a1fc58753'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5765bdd4a1fc58753'}]","""23""","""10""",32.0,,33122077.0,1474635463.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-09-23 12:57:58.838152,90322.0,12.0
,,2016-09-23 12:57:23.175150,slurm_normal,1474635585.0,1.0,,1.0,main_w4_handler0,2830358,13925093,False,,1359,fasta,1359,fasta,8147402.roundup,slurm,,132112168.0,corral-repl,,"""445ea3e0818d11e6b1b2005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ffba3a57a9692a73'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ffba3a57a9692a73'}]","""23""","""10""",32.0,,33122223.0,1474635578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-09-23 12:59:51.136417,90857.0,7.0
,,2016-09-23 13:03:43.499769,slurm_normal,1474635938.0,1.0,,1.0,main_w4_handler1,2822282,13925244,False,,1359,fasta,1359,fasta,8147535.roundup,slurm,,132112168.0,corral-repl,,"""27401568818e11e6946b005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3a96816d8b5ac69'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3a96816d8b5ac69'}]","""23""","""10""",32.0,,33120756.0,1474635928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-09-23 13:05:41.098236,90326.0,10.0
,,2016-09-23 13:04:42.788995,slurm_normal,1474636096.0,1.0,,1.0,main_w4_handler1,2822298,13925268,False,,1359,fasta,1359,fasta,8147577.roundup,slurm,,132112168.0,corral-repl,,"""4a593ff2818e11e6a658005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5697a4202eb8e0af4'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5697a4202eb8e0af4'}]","""23""","""10""",32.0,,33121713.0,1474636071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-09-23 13:08:18.786115,90338.0,25.0
,,2016-06-03 08:40:50.272595,slurm_normal,1464943303.0,1.0,,1.0,main_w2_handler0,2726405,13057796,False,,7873,txt,7873,txt,7243977.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53096882d01cd33f0'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53096882d01cd33f0'}]","""50""","""10""",32.0,,30598995.0,1464943299.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dotmatcher24/5.0.0,5.0.0,,2016-06-03 08:41:45.652489,,4.0
