chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile|__identifier__,parameters.probability,parameters.seed,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-10-23 21:05:57.583646,slurm_normal_16gb,1445634479.0,0,1.0,main_w2_handler0,2481401,10706841,False,,668,bam,4969679.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21708328,,"""0.1""","""1""","""LENIENT""",32.0,,25849040,1445634407.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-10-23 21:08:01.432077,71958.0,72.0
,,2015-06-22 02:42:40.156055,slurm_normal_16gb,1434940984.0,0,1.0,main_w2_handler0,2342487,9703363,False,,7700456,sam,4011590.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",20086939,,"""0.0509""","""1""","""LENIENT""",32.0,,23638128,1434940976.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-06-22 02:43:07.485311,,8.0
,,2015-04-14 16:05:40.098672,slurm_normal_16gb,1429027566.0,0,1.0,main_w2_handler0,2270022,9229386,False,,49021869,bam,3510715.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19286069,,"""0.0473""","""867678""","""LENIENT""",32.0,,21515930,1429027557.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-04-14 16:06:12.347871,621.0,9.0
,,2015-04-14 16:05:26.344303,slurm_normal_16gb,1429027543.0,0,1.0,main_w1_handler1,2270022,9229385,False,,49021869,bam,3510714.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19286069,,"""0.0473""","""1""","""LENIENT""",32.0,,21515930,1429027537.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-04-14 16:05:46.736090,621.0,6.0
,,2015-04-28 12:11:18.817220,slurm_normal_16gb,1430284715.0,0,1.0,main_w1_handler0,2237339,9349998,False,,50869854988,sam,3693599.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19492348,,"""1.0""","""1""","""LENIENT""",32.0,,21874887,1430269486.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-04-29 05:18:37.988873,53572.0,15229.0
,,2015-05-20 14:03:17.273706,slurm_normal_16gb,1432134399.0,0,1.0,main_w2_handler1,2272259,9504733,False,,1882849295,bam,3826027.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19312470,,"""0.7508""","""1""","""LENIENT""",32.0,,23073372,1432130618.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-05-20 15:06:43.726047,50791.0,3781.0
,,2015-06-25 08:16:56.173797,slurm_normal_16gb,1435220740.0,0,1.0,main_w1_handler2,2173064,9729535,False,,8876440159,bam,4036164,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18213081,,"""0.1""","""1""","""LENIENT""",32.0,,23730874,1435220258.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-06-25 08:25:42.368836,43241.0,482.0
,,2015-05-19 12:28:08.121175,slurm_normal_16gb,1432038588.0,0,1.0,main_w1_handler0,2311655,9495033,False,,816271078,bam,3817217.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""",19751557,,"""0.1004""","""1""","""LENIENT""",32.0,,23172402,1432038517.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-05-19 12:29:52.802730,63714.0,71.0
,,2015-06-25 08:16:51.224766,slurm_normal_16gb,1435221137.0,0,1.0,main_w2_handler1,2173064,9729534,False,,7445136417,bam,4036198,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18213080,,"""0.1""","""1""","""LENIENT""",32.0,,23730874,1435220780.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-06-25 08:32:20.392344,43241.0,357.0
,,2015-10-24 06:26:19.460425,slurm_normal_16gb,1445668000.0,0,1.0,main_w1_handler0,2481401,10710115,False,,717,bam,4972996.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",21708326,,"""0.1""","""1""","""LENIENT""",32.0,,25849040,1445667996.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-10-24 06:26:42.984486,71958.0,4.0
,,2015-06-25 09:02:46.469133,slurm_normal_16gb,1435223151.0,0,1.0,main_w1_handler2,2147084,9729789,False,,925468622,bam,4036384,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",19951716,,"""0.5""","""1""","""LENIENT""",32.0,,23421089,1435223052.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-06-25 09:06:59.638669,47082.0,99.0
,,2015-10-24 06:26:20.415867,slurm_normal_16gb,1445668020.0,0,1.0,main_w2_handler0,2481401,10710116,False,,668,bam,4972997.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21708328,,"""0.1""","""1""","""LENIENT""",32.0,,25849040,1445668014.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/1.126.0,1.126.0,,2015-10-24 06:27:02.876020,71958.0,6.0
