bamInput,bamInput_filetype,create_time,destination_id,end_epoch,exit_code,extraSampling,extraSampling_filetype,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
16422630,bam,2016-09-10 21:20:56.707763,slurm_multi,1473542479.0,0,,,6.0,main_w4_handler2,2815830,13821779,False,,,,8043400,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5880e1aa3ab848526'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",2,,2451960000,"""300""","""png""","""""",0,,hg38,cached,32.0,,32870256,1473542467.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-10 21:21:21.002110,68143,12.0
1903457122,bam,2016-09-11 20:46:44.253590,slurm_multi,1473628096.0,0,,,6.0,main_w3_handler2,2771636,13826719,False,,,,8048682,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b571433a8e39f84890'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473627595.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 21:08:18.073079,73080,501.0
304713620,bam,2016-06-24 18:53:09.412440,slurm_multi,1466795989.0,0,,,6.0,main_w1_handler2,2749177,13256313,False,,,,7443440,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5855351cbea376b8c'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,2150570000,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30192208,1466795557.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-24 19:19:50.687552,34777,432.0
395465045,bam,2016-06-24 18:53:09.134204,slurm_multi,1466794930.0,0,,,6.0,main_w1_handler2,2749177,13256312,False,,,,7443344,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f664363d194d0eb8'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,2150570000,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30192208,1466794492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-24 19:02:11.682436,34777,438.0
3258510184,bam,2016-09-11 20:14:54.034444,slurm_multi,1473626024.0,0,,,6.0,main_w4_handler2,2771636,13826532,False,,,,8048501,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce1ce376721125d2'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473625466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 20:33:46.791167,73080,558.0
1289497295,bam,2016-06-24 18:53:09.869650,slurm_multi,1466795549.0,0,,,6.0,main_w2_handler2,2749177,13256314,False,,,,7443378,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50bbdbcc9f973e371'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,2150570000,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30192208,1466794964.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-24 19:12:31.961621,34777,585.0
1300846241,bam,2016-06-24 18:53:10.421953,slurm_multi,1466797113.0,0,,,6.0,main_w2_handler2,2749177,13256315,False,,,,7443536,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55c08af68d2b2cd07'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,2150570000,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30192208,1466796613.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-24 19:38:36.037566,34777,500.0
3045420328,bam,2016-09-11 20:46:44.919510,slurm_multi,1473628659.0,0,,,6.0,main_w3_handler2,2771636,13826720,False,,,,8048720,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b561e99a2c989ef80e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473628103.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 21:17:41.227979,73080,556.0
2862756084,bam,2016-09-11 20:13:59.191807,slurm_multi,1473625454.0,0,,,6.0,main_w3_handler2,2771636,13826530,False,,,,8048477,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6a0c4265103fa83'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473624884.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 20:24:17.018425,73080,570.0
2565449579,bam,2016-09-11 20:14:54.411989,slurm_multi,1473626566.0,0,,,6.0,main_w4_handler2,2771636,13826533,False,,,,8048549,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5306f2d798ab80f2c'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473626031.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 20:42:48.575581,73080,535.0
2516591582,bam,2016-09-11 20:14:54.652882,slurm_multi,1473627100.0,0,,,6.0,main_w4_handler2,2771636,13826534,False,,,,8048642,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5da05159954ae7c26'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473626576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 20:51:42.512489,73080,524.0
1935159771,bam,2016-09-11 20:46:43.557039,slurm_multi,1473627590.0,0,,,6.0,main_w3_handler2,2771636,13826718,False,,,,8048655,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5479b15c8f18a7126'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473627107.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 20:59:52.339882,73080,483.0
