create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fdr,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-05-13 09:53:21.055272,slurm_normal,1463133797.0,0.0,1.0,main_w2_handler1,2698994,12883239,False,,361,lped,7082226.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.05""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524341f19eefa7fa2'}]",32.0,,30034242,1463133232.0,ok,1023996.0,hgv_gpass,1.0.0,,2016-05-13 10:03:20.103754,7019.0,565.0
2016-05-13 10:28:04.018511,slurm_normal,1463135868.0,0.0,1.0,main_w1_handler0,2698994,12883464,False,,361,lped,7082457.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.005""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524341f19eefa7fa2'}]",32.0,,30034242,1463135314.0,ok,1023996.0,hgv_gpass,1.0.0,,2016-05-13 10:37:50.413049,7019.0,554.0
2016-05-17 13:57:07.793857,slurm_normal,1463493966.0,0.0,1.0,main_w1_handler0,2698994,12919002,False,,361,lped,7113393.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.001""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524341f19eefa7fa2'}]",32.0,,30034242,1463493474.0,ok,1023996.0,hgv_gpass,1.0.0,,2016-05-17 14:06:12.917970,7019.0,492.0
2016-05-18 09:37:31.966313,slurm_normal,1463564428.0,0.0,1.0,main_w1_handler0,2698994,12927155,False,,361,lped,7121373.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.05""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5244f05dab3a65242'}]",32.0,,30097803,1463564280.0,ok,1023996.0,hgv_gpass,1.0.0,,2016-05-18 09:40:31.267630,7019.0,148.0
2016-05-17 18:08:33.062981,slurm_normal,1463508848.0,0.0,1.0,main_w2_handler0,2698994,12921628,False,,361,lped,7116288.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.001""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3a1ab27b226d0fd'}]",32.0,,30097803,1463508574.0,ok,1023996.0,hgv_gpass,1.0.0,,2016-05-17 18:14:15.550176,7019.0,274.0
2016-05-17 18:08:18.282708,slurm_normal,1463508936.0,0.0,1.0,main_w2_handler0,2698994,12921626,False,,361,lped,7116287.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.005""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3a1ab27b226d0fd'}]",32.0,,30097803,1463508576.0,ok,1023996.0,hgv_gpass,1.0.0,,2016-05-17 18:15:41.420822,7019.0,360.0
2016-05-17 17:40:12.583446,slurm_normal,1463507010.0,0.0,1.0,main_w2_handler1,2698994,12921438,False,,361,lped,7116119.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.005""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5244f05dab3a65242'}]",32.0,,30097803,1463506853.0,ok,1023996.0,hgv_gpass,1.0.0,,2016-05-17 17:43:34.824657,7019.0,157.0
2016-05-17 17:40:28.143508,slurm_normal,1463507031.0,0.0,1.0,main_w2_handler1,2698994,12921439,False,,361,lped,7116128.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.0015""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5244f05dab3a65242'}]",32.0,,30097803,1463506878.0,ok,1023996.0,hgv_gpass,1.0.0,,2016-05-17 17:43:54.495578,7019.0,153.0
2016-07-19 07:49:24.006666,slurm_normal,1468915057.0,0.0,1.0,main_w1_handler0,2698994,13441251,False,,361,lped,7652908.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.05""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cfa3c800c92a3250'}]",32.0,,31555613,1468914612.0,ok,1023996.0,hgv_gpass,1.0.0,,2016-07-19 07:57:38.596502,7019.0,445.0
2017-06-07 19:33:47.679077,slurm_normal,1496865442.0,0.0,1.0,main_w3_handler0,3143908,16044251,False,,860,lped,10134286.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.05""",,"[{'src': 'hda', 'id': 29938351}]",32.0,,38509908,1496864086.0,ok,1023996.0,hgv_gpass,1.0.0,,2017-06-07 19:57:23.916465,107274.0,1356.0
2017-04-25 18:23:42.947141,slurm_normal,1493146916.0,0.0,1.0,main_w4_handler1,3050133,15674682,False,,361,lped,9790100.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19Patch9.len""","""hg19Patch9""","""0.05""",,"[{'src': 'hda', 'id': 29355960}]",32.0,,36577077,1493144636.0,ok,1023996.0,hgv_gpass,1.0.0,,2017-04-25 19:01:59.949888,7019.0,2280.0
