create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputs,inputs1,inputs1_filetype,inputs2,inputs2_filetype,inputs3,inputs3_filetype,inputs4,inputs4_filetype,inputs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.cluster,parameters.dbkey,parameters.empty.__current_case__,parameters.empty.empty_selector,parameters.empty.genome_file_opts.__current_case__,parameters.empty.genome_file_opts.genome,parameters.empty.genome_file_opts.genome_file_opts_selector,parameters.filler,parameters.header,parameters.tag.__current_case__,parameters.tag.beds,parameters.tag.inputs.values,parameters.tag.tag_select,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tag|beds_0|input,tag|beds_0|input1,tag|beds_0|input1_filetype,tag|beds_0|input_filetype,tag|beds_1|input,tag|beds_1|input1,tag|beds_1|input1_filetype,tag|beds_1|input_filetype,tag|beds_2|input,tag|beds_2|input1,tag|beds_2|input1_filetype,tag|beds_2|input_filetype,tag|beds_3|input,tag|beds_3|input1,tag|beds_3|input1_filetype,tag|beds_3|input_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-01 17:20:25.629420,slurm_normal,1519924851.0,0,7680.0,1.0,main_w3_handler1,3426612,18567000,False,,6097711.0,6097711.0,bed,5362272.0,bed,6322320.0,bed,,,bed,12660954,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""false""","""?""",0,-empty,0.0,aptMan1,loc,"""N/A""","""false""",0,,"[{'src': 'hda', 'id': 34145592}, {'src': 'hda', 'id': 34149417}, {'src': 'hda', 'id': 34149571}]",tag,32.0,,44260391,1519924836.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-03-01 17:20:53.000442,121115.0,15.0
2018-03-05 13:50:06.323368,slurm_normal,1520257820.0,0,7680.0,1.0,main_w4_handler0,3367028,18610509,False,,1000204.0,1000204.0,bed,283623.0,bed,,,,,bed,12706150,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""false""","""?""",1,,,,,"""N/A""","""true""",0,,"[{'src': 'hda', 'id': 34216333}, {'src': 'hda', 'id': 34216414}]",tag,32.0,,42737661,1520257815.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-03-05 13:50:22.133582,118833.0,5.0
2018-03-06 17:26:54.800723,slurm_normal,1520357246.0,0,7680.0,1.0,main_w4_handler1,3454020,18626754,False,,3788890.0,3788890.0,bed,3422758.0,bed,,,,,bed,12722904,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""false""","""mm10""",1,,,,,"""N/A""","""false""",0,,"[{'src': 'hda', 'id': 34243743}, {'src': 'hda', 'id': 34243962}]",tag,32.0,,44375483,1520357238.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-03-06 17:27:28.260636,,8.0
2018-03-06 20:05:53.760453,slurm_normal,1520366780.0,0,7680.0,1.0,main_w3_handler0,3352401,18629509,False,,832508.0,832508.0,bed,628253.0,bed,238039.0,bed,,,bed,12725754,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""false""","""hg19""",1,,,,,"""N/A""","""false""",0,,"[{'src': 'hda', 'id': 34248349}, {'src': 'hda', 'id': 34248351}, {'src': 'hda', 'id': 34248352}]",tag,32.0,,44350714,1520366773.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-03-06 20:06:25.115929,117951.0,7.0
2018-03-07 03:49:07.349490,slurm_normal,1520394561.0,0,7680.0,1.0,main_w3_handler1,3390610,18633943,False,,4769.0,4769.0,bed,107988.0,bed,,,,,bed,12730400,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38Patch11.len""","""false""","""hg38Patch11""",0,-empty,0.0,hg19_rCRS_pUC18_phiX174,loc,"""N/A""","""false""",0,,"[{'src': 'hda', 'id': 34251378}, {'src': 'hda', 'id': 34256310}]",tag,32.0,,43930773,1520394555.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-03-07 03:49:23.696223,113793.0,6.0
2018-03-08 12:01:14.684882,slurm_normal,1520510491.0,0,7680.0,1.0,main_w3_handler0,3447628,18656509,False,,28022.0,28022.0,bed,36498.0,bed,109243.0,bed,,,bed,12752393,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""false""","""hg19""",0,-empty,0.0,hg19_rCRS_pUC18_phiX174,loc,"""N/A""","""false""",0,,"[{'src': 'hda', 'id': 34262333}, {'src': 'hda', 'id': 34262626}, {'src': 'hda', 'id': 34291857}]",tag,32.0,,44253710,1520510485.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-03-08 12:01:33.982105,51408.0,6.0
2018-03-08 12:04:14.263328,slurm_normal,1520510667.0,0,7680.0,1.0,main_w4_handler1,3447628,18656526,False,,28022.0,28022.0,bed,36498.0,bed,109243.0,bed,,,bed,12752416,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""false""","""hg19""",1,,,,,"""N/A""","""false""",0,,"[{'src': 'hda', 'id': 34262333}, {'src': 'hda', 'id': 34262626}, {'src': 'hda', 'id': 34291857}]",tag,32.0,,44253710,1520510663.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-03-08 12:04:28.527935,51408.0,4.0
2018-02-22 15:30:01.585121,slurm_normal,1519313432.0,0,7680.0,1.0,main_w4_handler0,3437284,18484740,False,,,,,,,,,,,,12579939,slurm,,132111800.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""false""","""hg19""",1,,,,,"""0""","""false""",1,"[{'__index__': 0, 'custom_name': 'VCaP', 'input': {'values': [{'src': 'hda', 'id': 34014983}]}}, {'__index__': 1, 'custom_name': 'HT29', 'input': {'values': [{'src': 'hda', 'id': 34014993}]}}, {'__index__': 2, 'custom_name': 'pp_hESCs', 'input': {'values': [{'src': 'hda', 'id': 34014998}]}}, {'__index__': 3, 'custom_name': 'LoVo', 'input': {'values': [{'src': 'hda', 'id': 34015012}]}}]",,custom,32.0,,43854049,1519313422.0,ok,1023996.0,248081.0,248081.0,bed,bed,878947.0,878947.0,bed,bed,360267.0,360267.0,bed,bed,537138.0,537138.0,bed,bed,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-02-22 15:30:34.358409,70484.0,10.0
2018-02-23 15:27:30.150684,slurm_normal,1519399692.0,0,7680.0,1.0,main_w3_handler1,2846125,18498372,False,,5893060.0,5893060.0,bed,268197.0,bed,,,,,bed,12593901,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""false""","""?""",0,-empty,0.0,hg19_rCRS_pUC18_phiX174,loc,"""N/A""","""false""",0,,"[{'src': 'hda', 'id': 33927158}, {'src': 'hda', 'id': 34032061}]",tag,32.0,,44118540,1519399677.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-02-23 15:28:16.103897,14835.0,15.0
2018-02-23 17:23:26.201737,slurm_normal,1519406677.0,0,7680.0,1.0,main_w4_handler0,2846125,18499922,False,,,,,,,,,,,,12595366,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38Patch11.len""","""false""","""hg38Patch11""",1,,,,,"""No Coverage""","""false""",1,"[{'__index__': 0, 'custom_name': 'HK2PBRM1accesible', 'input': {'values': [{'src': 'hda', 'id': 34037416}]}}, {'__index__': 1, 'custom_name': 'hpermenhancer', 'input': {'values': [{'src': 'hda', 'id': 33927158}]}}]",,custom,32.0,,44118540,1519406668.0,ok,1023996.0,429685.0,429685.0,bed,bed,5893060.0,5893060.0,bed,bed,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.27.0.0,2.27.0.0,,2018-02-23 17:24:40.432200,14835.0,9.0
