chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,parameters.input.values,parameters.input|__identifier__,parameters.name,parameters.split,parameters.strand,parameters.tab,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-04-03 17:08:59.899288,slurm_normal,1491239430.0,0,741754375,fasta,1.0,main_w4_handler0,3056076,15474165,False,,9967564,gtf,9603029.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29028936}]","[{'src': 'hda', 'id': 29034063}]",,"""false""","""false""","""false""","""false""",32.0,,37074617.0,1491239416.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-04-03 17:11:35.428026,103420.0,14.0
,,2017-04-03 17:08:50.232627,slurm_normal,1491239497.0,0,741754375,fasta,1.0,main_w3_handler0,3050859,15474164,False,,16375,gtf,9603044.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28971008}]","[{'src': 'hda', 'id': 28987972}]",,"""false""","""false""","""false""","""false""",32.0,,37072076.0,1491239478.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-04-03 17:13:47.787658,102410.0,19.0
1519.0,len,2017-02-21 10:11:15.393019,slurm_normal,1487672719.0,0,23723399,fasta,1.0,main_w4_handler0,2711181,15094104,False,,130405,bed,9249205.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/015/895/dataset_15895344.dat""","""?""","[{'src': 'hda', 'id': 26521207}]","[{'src': 'hda', 'id': 28441819}]",,"""false""","""false""","""false""","""false""",32.0,,36190021.0,1487672714.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-21 10:25:21.494239,84722.0,5.0
,,2017-02-21 06:17:55.470311,slurm_normal,1487657884.0,0,254235640,fasta,1.0,main_w4_handler1,3003406,15092630,False,,144,bed,9247685.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28439209}]","[{'src': 'hda', 'id': 28439106}]",,"""false""","""false""","""false""","""false""",32.0,,36183462.0,1487657879.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-21 06:18:06.204007,100549.0,5.0
,,2017-02-21 12:55:22.849661,slurm_normal,1487684316.0,0,472996,fasta,1.0,main_w4_handler1,2838929,15095207,False,,0,gtf,9250239.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 26678495}]","[{'src': 'hda', 'id': 28305652}]",,"""true""","""false""","""true""","""false""",32.0,,35905212.0,1487684310.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-21 13:38:42.327666,80465.0,6.0
,,2017-02-22 01:34:30.545557,slurm_normal,1487727313.0,0,2780048573,fasta,1.0,main_w4_handler0,3001407,15101653,False,,94236060,gtf,9256911.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 28438177}]","[{'src': 'hda', 'id': 28449921}]",,"""false""","""false""","""false""","""false""",32.0,,36153178.0,1487727273.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-22 01:35:16.136519,100453.0,40.0
,,2017-04-03 17:38:49.173812,slurm_normal,1491259505.0,0,741754375,fasta,1.0,main_w4_handler0,3056176,15474483,False,,34600,gtf,9605858.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29031570}]","[{'src': 'hda', 'id': 29049239}]",,"""false""","""false""","""false""","""false""",32.0,,36764295.0,1491259493.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-04-03 22:45:07.761666,98160.0,12.0
,,2017-02-23 01:17:46.975176,slurm_normal,1487812693.0,0,2707993270,fasta,1.0,main_w4_handler1,3006755,15113943,False,,19761,bed,9268566.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 28472648}]","[{'src': 'hda', 'id': 28472306}]",,"""false""","""false""","""false""","""false""",32.0,,35365308.0,1487812670.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-23 01:18:17.799575,98118.0,23.0
,,2017-02-26 16:34:26.200063,slurm_normal,1488126873.0,0,990744229,fasta,1.0,main_w3_handler1,2998468,15147402,False,,380531,gff3,9299816.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28384962}]","[{'src': 'hda', 'id': 28523151}]",,"""false""","""false""","""false""","""false""",32.0,,35698865.0,1488126868.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-26 16:34:34.774503,99128.0,5.0
,,2017-04-04 05:05:06.399990,slurm_normal,1491299149.0,0,741754375,fasta,1.0,main_w4_handler1,3058254,15478870,False,,32114,gtf,9609199.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29056320}]","[{'src': 'hda', 'id': 29056469}]",,"""false""","""false""","""false""","""false""",32.0,,37074617.0,1491299139.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-04-04 09:45:51.204498,103420.0,10.0
