create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.gt_filter,parameters.infile,parameters.infile.values,parameters.stats_type,parameters.summarize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-28 11:50:18.655235,slurm_normal,1477656509.0,0,,1.0,main_w3_handler1,2871487,14199401,False,241153024,gemini.sqlite,,8410861.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54b94eee3a61f911c'}]","""--sfs""","""""",32.0,,32896510,1477656502.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2016-10-28 12:08:33.109139,39888.0,7.0
2016-11-16 23:35:50.601524,slurm_normal,1479339366.0,0,,1.0,main_w3_handler0,2897994,14361109,False,190554112,gemini.sqlite,,8567036.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50abc9dfdbd07edc6'}]","""--tstv""","""""",32.0,,34034788,1479339354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2016-11-16 23:36:08.165105,67639.0,12.0
2016-12-18 23:54:23.000817,slurm_normal,1482105273.0,0,,1.0,main_w4_handler1,2925866,14604604,False,192187392,gemini.sqlite,,8781952.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 27678455}]","""--vars-by-sample""","""""",32.0,,34785072,1482105267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2016-12-18 23:54:34.473141,93212.0,6.0
2017-02-16 01:30:58.396167,slurm_normal,1487208674.0,0,,1.0,main_w3_handler0,2996687,15051886,False,359958528,gemini.sqlite,,9207521.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 28373065}]","""--mds""","""""",32.0,,36054035,1487208662.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-02-16 01:31:17.613064,69518.0,12.0
2017-02-16 01:33:06.614855,slurm_normal,1487208795.0,0,,1.0,main_w4_handler1,2996687,15051892,False,359958528,gemini.sqlite,,9207526.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 28373065}]","""--snp-counts""","""""",32.0,,36054035,1487208789.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-02-16 01:33:17.270122,69518.0,6.0
2017-04-27 21:50:06.247413,slurm_normal,1493329838.0,0,,1.0,main_w3_handler0,2867488,15696184,False,1295671296,gemini.sqlite,,9809212.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 26965122}]","""--tstv""","""""",32.0,,37299794,1493329808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-04-27 21:50:40.776103,91348.0,30.0
2017-06-12 01:19:42.104404,slurm_normal,1497230535.0,0,,1.0,main_w4_handler1,3121386,16076864,False,14719931392,gemini.sqlite,,10164197.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 29978368}]","""--tstv""","""""",32.0,,38127120,1497230391.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-06-12 01:22:17.000667,42102.0,144.0
2017-06-12 01:28:07.067461,slurm_normal,1497230909.0,0,,1.0,main_w3_handler1,3121386,16076890,False,11144374272,gemini.sqlite,,10164223.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 29983065}]","""--vars-by-sample""","""""",32.0,,38127120,1497230903.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-06-12 01:28:31.559616,42102.0,6.0
2017-06-15 06:30:51.543692,slurm_normal,1497508276.0,0,,1.0,main_w3_handler0,3121386,16105681,False,11144374272,gemini.sqlite,,10189419.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 29983065}]","""--vars-by-sample""","""""",32.0,,38680795,1497508266.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-06-15 06:31:22.839283,42102.0,10.0
2017-06-16 02:49:33.751809,slurm_normal,1497581629.0,0,,1.0,main_w3_handler0,3157679,16113476,False,16577393664,gemini.sqlite,,10195837.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 30049033}]","""--tstv""","""""",32.0,,38680795,1497581459.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-06-16 02:55:20.351523,42102.0,170.0
2017-06-20 15:13:43.313769,slurm_normal,1497971660.0,0,,1.0,main_w4_handler0,3121386,16144422,False,2527497216,gemini.sqlite,,10223412.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 30068654}]","""--sfs""","""""",32.0,,38680795,1497971638.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-06-20 15:14:23.313762,42102.0,22.0
2017-07-27 10:49:06.302942,slurm_normal,1501152567.0,0,,1.0,main_w3_handler1,3204176,16432457,False,230089728,gemini.sqlite,,10499618.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 30635572}]","""--snp-counts""","""""",32.0,,39544043,1501152555.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-07-27 10:49:30.349809,,12.0
2017-09-15 01:02:37.395737,slurm_normal,1505437385.0,0,,1.0,main_w3_handler1,3226562,16826679,False,185066496,gemini.sqlite,,10895691.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 31228930}]","""--gts-by-sample""","""""",32.0,,40489361,1505437373.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-09-15 01:03:16.539416,107157.0,12.0
2017-09-15 02:22:11.024320,slurm_normal,1505442153.0,0,,1.0,main_w3_handler1,3226562,16827301,False,185066496,gemini.sqlite,,10896348.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 31228930}]","""--gts-by-sample""","""""",32.0,,40489361,1505442149.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-09-15 02:22:39.568826,107157.0,4.0
2017-10-11 00:05:31.923088,slurm_normal,1507680339.0,0,,1.0,main_w3_handler1,2999147,17071949,False,258866176,gemini.sqlite,,11129569.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 31638392}]","""--vars-by-sample""","""""",32.0,,41194697,1507680334.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2017-10-11 00:05:42.199933,54965.0,5.0
2018-02-28 18:33:20.284074,slurm_normal,1519842810.0,0,7680.0,1.0,main_w3_handler1,3445906,18552539,False,186554368,gemini.sqlite,,12648874,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 34123064}]","""--snp-counts""","""""",32.0,,44168111,1519842807.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2018-02-28 18:33:32.228849,45389.0,3.0
2018-02-28 18:32:59.181989,slurm_normal,1519842791.0,0,7680.0,1.0,main_w4_handler0,3445906,18552526,False,186554368,gemini.sqlite,,12648873,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""""",,"[{'src': 'hda', 'id': 34123064}]","""--tstv-coding""","""""",32.0,,44168111,1519842786.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_stats/gemini_stats/0.18.1.0,0.18.1.0,,2018-02-28 18:33:14.326839,45389.0,5.0
