count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.alignment.__current_case__,parameters.alignment.ucl,parameters.chimealns,parameters.chromInfo,parameters.chunks,parameters.dbkey,parameters.dereplicate,parameters.dn,parameters.fasta.values,parameters.idsmoothwindow,parameters.maxlen,parameters.maxp,parameters.minchunk,parameters.mindiv,parameters.minh,parameters.minlen,parameters.skipgaps,parameters.skipgaps2,parameters.template.__current_case__,parameters.template.reference.values,parameters.template.source,parameters.xa,parameters.xn,processor_count,reference,reference_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
51878.0,mothur.count_table,2018-03-04 23:25:55.871968,slurm_normal,1520205971.0,0,406067,fasta,7680.0,1.0,main_w3_handler1,3437115,18603887,False,,12699175,slurm,,132112168.0,corral-repl,,,0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 34206479}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,44053269.0,1520205966.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2018-03-04 23:26:14.177013,122464.0,5.0
104492.0,mothur.count_table,2017-10-30 15:37:57.876812,slurm_normal,1509377907.0,0,729846,fasta,,1.0,main_w3_handler1,3304442,17265854,False,,11324988,slurm,,132112168.0,corral-repl,,,0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 31966919}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,39677360.0,1509377890.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2017-10-30 15:38:29.628876,654.0,17.0
,,2017-11-01 10:08:02.486182,slurm_normal,1509531243.0,0,26815,fasta,,1.0,main_w4_handler0,3306806,17283901,False,,11345257,slurm,,132112168.0,corral-repl,,"""865c2ca2beec11e7863c005056ba55fb""",0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 31999397}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,,1509531237.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2017-11-01 10:14:04.705908,72172.0,6.0
,,2017-11-01 11:45:41.117696,slurm_normal,1509537733.0,0,1194705,fasta,,1.0,main_w4_handler1,3306882,17284617,False,,11346146,slurm,,132112168.0,corral-repl,,"""25df1bc4befa11e7b484005056ba55fb""",0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 32000841}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,,1509537715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2017-11-01 12:02:27.562563,72172.0,18.0
,,2017-11-01 11:42:52.115949,slurm_normal,1509540451.0,0,3220127,fasta,,1.0,main_w4_handler1,3306884,17284583,False,,11346517,slurm,,132112168.0,corral-repl,,"""c31b028cbef911e78f43005056ba55fb""",0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 32000762}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,,1509540380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2017-11-01 12:47:40.287866,72172.0,71.0
,,2017-11-01 11:45:26.060502,slurm_normal,1509539224.0,0,2647369,fasta,,1.0,main_w4_handler0,3306883,17284606,False,,11346359,slurm,,132112168.0,corral-repl,,"""f2893b9cbef911e79af7005056ba55fb""",0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 32000809}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,,1509539167.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2017-11-01 12:27:08.025666,72172.0,57.0
25676.0,mothur.count_table,2017-11-01 16:07:04.713144,slurm_normal,1509552459.0,0,7409306,mothur.align,,1.0,main_w3_handler0,3303860,17287045,False,,11348762,slurm,,132112168.0,corral-repl,,,0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 32005294}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,41333763.0,1509552451.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2017-11-01 16:07:45.150118,110472.0,8.0
71395.0,mothur.count_table,2017-11-01 20:28:27.052812,slurm_normal,1509568162.0,0,524662,fasta,,1.0,main_w4_handler0,3305056,17290037,False,,11351997,slurm,,132112168.0,corral-repl,,,0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 32009821}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,41324958.0,1509568143.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2017-11-01 20:29:31.951553,112817.0,19.0
2552233.0,mothur.count_table,2017-11-02 05:06:26.443311,slurm_normal,1509599787.0,0,19948205,fasta,,1.0,main_w3_handler1,3307676,17294723,False,,11356908,slurm,,132112168.0,corral-repl,,,0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 32016990}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,41627267.0,1509599202.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2017-11-02 05:16:34.364976,36706.0,585.0
2552233.0,mothur.count_table,2017-11-02 07:15:12.807317,slurm_normal,1509607532.0,0,19948205,fasta,,1.0,main_w4_handler0,3307905,17295147,False,,11357506,slurm,,132112168.0,corral-repl,,,0,global,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 32017968}]","""32""","""10000""","""2""","""64""","""0.5""","""0.3""","""10""","""true""","""true""",,,,"""1.0""","""8.0""",32.0,,,,41627267.0,1509606945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,1.36.1.0,,2017-11-02 07:25:40.506547,36706.0,587.0
