chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allpartials,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.menu,parameters.out_format1,parameters.overlap,parameters.unfavoured,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-27 19:28:05.107878,slurm_normal,1438025307.0,0.0,1.0,main_w1_handler0,2368263,10010058,False,,4609,txt,4292268.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20583567,,"""1""","""seqtable""","""no""","""no""",32.0,,24036314,1438025302.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-07-27 19:28:30.867614,,5.0
,,2015-07-27 19:30:11.943856,slurm_normal,1438025437.0,0.0,1.0,main_w2_handler0,2368263,10010079,False,,4609,txt,4292300.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20583567,,"""3""","""seqtable""","""no""","""no""",32.0,,24036314,1438025433.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-07-27 19:30:41.034316,,4.0
,,2015-07-27 19:29:53.020035,slurm_normal,1438025417.0,0.0,1.0,main_w1_handler1,2368263,10010076,False,,4609,txt,4292296.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20583567,,"""2""","""seqtable""","""no""","""no""",32.0,,24036314,1438025413.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-07-27 19:30:19.116179,,4.0
,,2015-07-27 20:07:30.267316,slurm_normal,1438027704.0,0.0,1.0,main_w2_handler1,2368263,10010386,False,,3161,fasta,4292597.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20584049,,"""1""","""seqtable""","""no""","""no""",32.0,,24036314,1438027696.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-07-27 20:08:28.575952,,8.0
,,2015-07-27 20:08:04.827203,slurm_normal,1438027721.0,0.0,1.0,main_w1_handler1,2368263,10010398,False,,3161,fasta,4292599.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20584049,,"""2""","""seqtable""","""no""","""no""",32.0,,24036314,1438027715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-07-27 20:08:47.027817,,6.0
38.0,len,2015-05-19 12:59:24.928738,slurm_normal,1432040402.0,0.0,1.0,main_w2_handler1,2158283,9495337,False,,1519,fasta,3817461.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/main/files/010/741/dataset_10741048.dat""","""?""",19753342,,"""1""","""seqtable""","""no""","""yes""",32.0,,21898359,1432040396.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-05-19 13:00:02.771267,40143.0,6.0
38.0,len,2015-05-19 13:05:13.797899,slurm_normal,1432040743.0,0.0,1.0,main_w1_handler1,2158283,9495391,False,,1519,fasta,3817516.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/main/files/010/741/dataset_10741048.dat""","""?""",19753342,,"""1""","""table""","""no""","""yes""",32.0,,21898359,1432040741.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-05-19 13:05:45.187567,40143.0,2.0
,,2015-06-01 03:26:49.263366,slurm_normal,1433129243.0,0.0,1.0,main_w1_handler1,2272740,9570868,False,,2701120,fasta,3883964.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19870404,,"""1""","""seqtable""","""no""","""no""",32.0,,22333464,1433129235.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-06-01 03:27:25.753478,35039.0,8.0
38.0,len,2015-07-01 12:27:44.623014,slurm_normal,1435753691.0,0.0,1.0,main_w1_handler2,2158283,9774177,False,,163,fasta,4076669.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/main/files/010/741/dataset_10741048.dat""","""?""",20201713,,"""2""","""seqtable""","""yes""","""no""",32.0,,23888892,1435753686.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-07-01 12:28:13.314822,40143.0,5.0
,,2015-07-03 13:16:19.525355,slurm_normal,1435929422.0,0.0,1.0,main_w1_handler1,2363486,9787136,False,,22538984,fasta,4089209.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20222565,,"""1""","""excel""","""no""","""no""",32.0,,23970348,1435929401.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: digest23/5.0.0,5.0.0,,2015-07-03 13:17:08.151514,,21.0
