chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.rank_bound,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-11-13 22:31:03.610101,rodeo_normal,1415921599.0,0,1.0,main_w2_handler0,2117907,8164046,False,,158478,taxonomy,2008806.roundup,slurm,,132112068.0,corral-repl,,"""b8a183ce6b8411e4b5d0005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17535805,,"""0""",32.0,,18487588.0,1415921597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-11-13 23:33:19.657886,3342.0,2.0
,,2014-11-13 22:29:53.288648,rodeo_normal,1415921537.0,0,1.0,main_w2_handler1,2117904,8164009,False,,241372,taxonomy,2008787.roundup,slurm,,132112068.0,corral-repl,,"""8fa64a4a6b8411e495f0005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17535766,,"""0""",32.0,,18487588.0,1415921535.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-11-13 23:32:19.926762,3342.0,2.0
,,2014-11-13 22:32:06.712812,rodeo_normal,1415921599.0,0,1.0,main_w2_handler1,2117908,8164080,False,,826749,taxonomy,205630.rodeo,slurm,,8059880.0,corral-repl,,"""dbd745866b8411e49878005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17535853,,"""0""",1.0,,18487588.0,1415921595.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-11-13 23:33:23.632761,3342.0,4.0
,,2014-11-13 22:33:20.868434,rodeo_normal,1415922744.0,0,1.0,main_w2_handler0,2117911,8164114,False,,428503,taxonomy,205998.rodeo,slurm,,8059880.0,corral-repl,,"""09acecfe6b8511e4a30d005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17535890,,"""0""",1.0,,18487588.0,1415922742.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-11-13 23:52:27.238990,3342.0,2.0
,,2014-09-09 07:26:31.425721,roundup_single,1410247769.0,0,1.0,main_w1_handler0,1964802,7668909,False,,1043130,taxonomy,1656514,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16682628,,"""0""",32.0,,16830655.0,1410247766.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-09-09 07:29:30.784313,29506.0,3.0
,,2014-09-09 13:09:38.376077,roundup_single,1410268219.0,0,1.0,main_w2_handler0,1854395,7669880,False,,218316859,taxonomy,1657511,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16594023,,"""10""",32.0,,16677926.0,1410268205.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-09-09 13:10:22.315330,3591.0,14.0
,,2014-09-09 13:03:28.382798,roundup_single,1410267829.0,0,1.0,main_w1_handler1,1854395,7669828,False,,218316859,taxonomy,1657452,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16594023,,"""7""",32.0,,16677926.0,1410267815.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-09-09 13:03:51.132123,3591.0,14.0
,,2014-09-09 13:05:38.205998,roundup_single,1410267981.0,0,1.0,main_w1_handler1,1854395,7669850,False,,218316859,taxonomy,1657469,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16594023,,"""4""",32.0,,16677926.0,1410267965.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-09-09 13:06:23.337638,3591.0,16.0
,,2014-09-09 13:09:52.251565,roundup_single,1410268218.0,0,1.0,main_w2_handler1,1854395,7669882,False,,218316859,taxonomy,1657514,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16594023,,"""20""",32.0,,16677926.0,1410268205.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-09-09 13:10:21.645837,3591.0,13.0
,,2014-12-30 21:42:54.035465,rodeo_normal,1419981703.0,0,1.0,main_w1_handler1,2161205,8481000,False,,447967415,taxonomy,661215.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18101748,,"""0""",2.0,,20276106.0,1419981662.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-12-30 23:21:46.915500,2273.0,41.0
,,2014-10-28 13:54:47.653050,rodeo_normal,1414666495.0,0,1.0,main_w1_handler1,2100126,8055845,False,,1918122449,taxonomy,98531.rodeo,slurm,,16332532.0,corral-repl,,"""e81bd59c5ea911e4b084005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17356337,,"""0""",2.0,,17334009.0,1414666363.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-10-30 10:54:59.548256,48848.0,132.0
,,2014-09-15 20:45:40.668253,roundup_single,1410813949.0,0,1.0,main_w2_handler0,2053224,7797444,False,,913052,taxonomy,1782697,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16889051,,"""0""",32.0,,17008118.0,1410813945.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-09-15 20:45:50.942463,53065.0,4.0
,,2014-09-18 09:14:26.383172,roundup_single,1411032347.0,0,1.0,main_w1_handler1,2055485,7812044,False,,3618149,taxonomy,1796755,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16929977,,"""22""",32.0,,16308234.0,1411032345.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-09-18 09:25:49.300924,7926.0,2.0
,,2014-09-18 09:40:30.643419,roundup_single,1411061629.0,0,1.0,main_w2_handler0,2056985,7812100,False,,3545,taxonomy,1798580,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16930064,,"""22""",32.0,,16886383.0,1411061622.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-09-18 17:33:51.694580,36582.0,7.0
,,2014-10-28 14:38:18.816044,rodeo_normal,1414683054.0,0,1.0,main_w1_handler1,2100183,8056358,False,,56204283,taxonomy,100221.rodeo,slurm,,16332532.0,corral-repl,,"""0088344e5eb011e4a98d005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17356968,,"""0""",2.0,,17334009.0,1414683032.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-10-30 15:31:02.504354,48848.0,22.0
,,2015-01-04 22:33:47.145065,rodeo_normal,1420411617.0,0,1.0,main_w2_handler1,2156398,8497493,False,,2704235,taxonomy,689165.rodeo,slurm,,16332532.0,corral-repl,,"""be9230c0946111e4957b005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18127724,,"""0""",2.0,,20212741.0,1420411613.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2015-01-04 22:46:59.453484,43181.0,4.0
,,2014-09-23 03:12:54.102422,roundup_single,1411442000.0,0,1.0,main_w1_handler1,1969018,7834045,False,,190367118,taxonomy,1818442,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16983382,,"""5""",32.0,,15653769.0,1411441989.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2014-09-23 03:13:24.113144,50917.0,11.0
,,2015-01-05 21:52:55.775496,rodeo_normal,1420496504.0,0,1.0,main_w2_handler0,2164927,8501471,False,,115457419,taxonomy,2419057.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18134569,,"""0""",32.0,,20345015.0,1420496489.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/lca_wrapper/lca1/1.0.1,1.0.1,,2015-01-05 22:21:47.177950,57901.0,15.0
