chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fraction,parameters.inputA,parameters.inputA.values,parameters.inputA|__identifier__,parameters.inputB,parameters.inputB.values,parameters.invert,parameters.reciprocal,parameters.split,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-10-30 19:53:09.547424,slurm_normal,1446240544.0,0.0,1.0,main_w2_handler1,2490971,10776348,False,,1401509633,bam,72057,bed,5034962.roundup,slurm,,132112168.0,corral-repl,,"""d4d75e7c7f3f11e5b31f005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""""",21816733,,,21816713,,"""True""","""False""","""True""","""""",32.0,,25234449,1446239687.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-10-30 21:29:08.216356,52012.0,857.0
,,2014-12-02 02:29:09.777173,rodeo_normal,1417492344.0,0.0,1.0,main_w2_handler1,2116419,8288727,False,,3204792571,bam,14038725,bed,381205.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",17739784,,,17735408,,"""False""","""False""","""True""","""""",2.0,,18515695,1417489449.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2014-12-02 03:52:28.924631,55794.0,2895.0
,,2015-03-04 02:38:14.298482,rodeo_normal,1425436707.0,0.0,1.0,main_w1_handler1,1370496,8857860,False,,5432155,bam,60966,bed,3000243.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",18719118,,,18719494,,"""False""","""False""","""True""","""""",32.0,,21570575,1425436701.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-03-04 02:38:29.326617,32789.0,6.0
,,2015-06-04 01:32:49.867455,slurm_normal,1433467526.0,0.0,1.0,main_w2_handler0,2329995,9594843,False,,21771962049,bam,45,bed,3912152.roundup,slurm,,132112168.0,corral-repl,,"""971fb9680a5911e5b9fc005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.5""",13052583,,,19894987,,"""False""","""False""","""True""","""""",32.0,,23435734,1433459909.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-06-05 01:25:29.666698,38047.0,7617.0
,,2015-08-18 01:04:57.022494,slurm_normal,1439859962.0,0.0,1.0,main_w2_handler1,2387746,10138055,False,,32781924,bam,22526131,bed,4409018.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""""",20806864,,,20789981,,"""True""","""False""","""True""","""""",32.0,,24723050,1439859923.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-08-18 01:06:05.880321,66791.0,39.0
,,2016-01-17 01:24:59.169454,slurm_normal,1452994192.0,0.0,1.0,main_w1_handler0,1372215,11525736,False,,894798563,bam,61308,bed,5793955.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",22927884,,,22925995,,"""False""","""False""","""True""","""""",32.0,,27477696,1452993921.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2016-01-17 01:29:57.877047,32813.0,271.0
,,2015-06-03 12:33:13.075681,slurm_normal,1433340289.0,0.0,1.0,main_w2_handler1,2329227,9589405,False,,15140475761,bam,45,bed,3901433.roundup,slurm,,132112168.0,corral-repl,,"""a2b29b1409ec11e5af85005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.5""",19862807,,,19894733,,"""False""","""False""","""True""","""""",32.0,,23290014,1433334819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-06-03 14:04:57.233014,38047.0,5470.0
,,2015-12-08 02:53:10.319180,slurm_normal,1449543485.0,0.0,1.0,main_w1_handler0,2531526,11115788,False,,7778977,bam,5312521,bed,5382008.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""""",22345698,,,22346006,,"""False""","""False""","""True""","""""",32.0,,26641372,1449543461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-12-08 02:58:07.477249,,24.0
,,2015-08-18 02:00:12.802698,slurm_normal,1439863296.0,0.0,1.0,main_w1_handler2,2387746,10138223,False,,41231238,bam,313938781,bed,4409201.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""""",20789977,,,20807188,,"""False""","""False""","""True""","""""",32.0,,24723050,1439863251.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-08-18 02:01:38.424618,66791.0,45.0
,,2015-07-20 15:13:43.447579,slurm_normal,1437405295.0,0.0,1.0,main_w2_handler0,2382641,9917096,False,,79332647,bam,6640108,bed,4205018.roundup,slurm,,132112168.0,corral-repl,,"""e7863c1c2ef111e5a7ee005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""""",20433534,,,20434118,,"""False""","""False""","""True""","""""",32.0,,23538459,1437405261.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-07-20 15:14:59.549987,64623.0,34.0
,,2015-11-17 07:08:21.634150,slurm_normal,1447744282.0,0.0,1.0,main_w2_handler1,2506556,10920633,False,,360993541,bam,34912875,bed,5175525.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""""",22029390,,,22029277,,"""False""","""False""","""True""","""""",32.0,,25601154,1447744117.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-11-17 07:11:26.277157,70891.0,165.0
,,2015-11-25 18:48:04.645346,slurm_normal,1448477364.0,0.0,1.0,main_w2_handler0,2516048,11009126,False,,1190548,bam,272,bed,5267768.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",22164186,,,22125429,,"""False""","""False""","""True""","""""",32.0,,26420691,1448477311.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-11-25 18:49:29.702072,74006.0,53.0
,,2015-03-24 08:36:09.285584,rodeo_normal,1427187002.0,0.0,1.0,main_w2_handler0,2241654,9021711,False,,2092286384,bam,102,bed,3304857.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",18908501,,,18971728,,"""False""","""False""","""True""","""""",32.0,,21609096,1427186480.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-03-24 08:50:06.360933,38233.0,522.0
,,2015-11-07 14:28:54.164177,slurm_normal,1446906965.0,0.0,1.0,main_w2_handler1,2464322,10841327,False,,226982272,bam,72057,bed,5096259.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""1e-9""",21910752,,,21805944,,"""True""","""False""","""True""","""""",32.0,,25962567,1446906844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-11-07 14:36:08.397329,70743.0,121.0
