chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.indel,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-16 16:35:36.222376,rodeo_normal,1426523753.0,0,1.0,main_w1_handler1,2236769,8959128,False,,20325582,txt,3185519.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""""",18872260,,32.0,,21781722,1426523749.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-03-16 16:35:55.526344,,4.0
,,2015-04-12 21:18:24.002275,slurm_normal,1428873520.0,0,1.0,main_w1_handler1,2254554,9210224,False,,618,bed,3492005.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",19181547,,32.0,,22249312,1428873518.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-04-12 21:18:45.692604,61623.0,2.0
,,2015-06-04 05:38:01.991273,slurm_normal,1433396328.0,0,1.0,main_w1_handler0,2323155,9595603,False,,1348087320,vcf,3906889.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""indel""",19849841,,32.0,,23431222,1433396299.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-06-04 05:38:50.061542,64232.0,29.0
,,2015-06-04 05:40:52.448914,slurm_normal,1433396515.0,0,1.0,main_w1_handler0,2323155,9595606,False,,1348087320,vcf,3906891.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""""",19849841,,32.0,,23431222,1433396480.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-06-04 05:41:57.949821,64232.0,35.0
5523185.0,len,2015-09-09 16:19:34.902445,slurm_normal,1441815602.0,0,1.0,main_w1_handler0,2383673,10287900,False,,3517129,vcf,4573279.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/012/398/dataset_12398708.dat""","""?""","""""",21055773,,32.0,,25073097,1441815597.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-09-09 16:20:06.049923,61115.0,5.0
,,2015-09-11 12:48:24.994161,slurm_normal,1441975746.0,0,1.0,main_w1_handler1,2385162,10301655,False,,441405443,vcf,4586488.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""""",21082111,,32.0,,25123918,1441975735.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-09-11 12:49:09.842973,31676.0,11.0
,,2015-10-15 15:58:42.927607,slurm_normal,1444924746.0,0,1.0,main_w1_handler0,2471975,10585043,False,,33148,vcf,4854966.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""indel""",21538130,,32.0,,25695817,1444924742.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-10-15 15:59:07.382661,64111.0,4.0
,,2015-12-15 14:48:28.139909,slurm_normal,1450190983.0,0,1.0,main_w1_handler1,2534247,11185977,False,,26056,bai,5454327.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""indel""",22466406,,32.0,,26723850,1450190979.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-12-15 14:49:45.310813,75119.0,4.0
,,2015-12-01 18:04:48.652978,slurm_normal,1448993116.0,0,1.0,main_w2_handler1,2523510,11055592,False,,0,txt,5309719.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",22240097,,32.0,,26520817,1448993109.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-12-01 18:05:22.276419,222.0,7.0
,,2015-12-01 19:06:49.182110,slurm_normal,1448997007.0,0,1.0,main_w1_handler2,2525003,11056603,False,,1913354039,txt,5310669.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",22241257,,32.0,,26520817,1448996843.0,ok,1023996.0,master2pgSnp,1.0.0,,2015-12-01 19:10:10.985909,222.0,164.0
