create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infiles,infiles1,infiles10,infiles10_filetype,infiles11,infiles11_filetype,infiles12,infiles12_filetype,infiles13,infiles13_filetype,infiles14,infiles14_filetype,infiles15,infiles15_filetype,infiles16,infiles16_filetype,infiles17,infiles17_filetype,infiles18,infiles18_filetype,infiles1_filetype,infiles2,infiles2_filetype,infiles3,infiles3_filetype,infiles4,infiles4_filetype,infiles5,infiles5_filetype,infiles6,infiles6_filetype,infiles7,infiles7_filetype,infiles8,infiles8_filetype,infiles9,infiles9_filetype,infiles_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.band_width,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.infiles.values,parameters.mfold.lower,parameters.mfold.upper,parameters.tsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-05 18:32:22.539537,slurm_normal,1496687662.0,0,,1.0,main_w4_handler0,3128700,16018712,False,652615719,652615719,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,10110729.roundup,slurm,,132112168.0,corral-repl,,,"""350""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,"[{'src': 'hda', 'id': 29897125}]",5,100,"""""",32.0,,36914182.0,1496687561.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-06-05 18:34:28.537020,100453.0,101.0
2017-06-05 18:37:52.642424,slurm_normal,1496687995.0,0,,1.0,main_w3_handler1,3128700,16018750,False,652615719,652615719,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,10110774.roundup,slurm,,132112168.0,corral-repl,,,"""300""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,"[{'src': 'hda', 'id': 29897125}]",5,100,"""""",32.0,,36914182.0,1496687890.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-06-05 18:39:58.194889,100453.0,105.0
2017-06-05 20:55:58.439513,slurm_normal,1496696402.0,0,,1.0,main_w4_handler1,3127155,16019838,False,1956783311,1956783311,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,10111800.roundup,slurm,,132112168.0,corral-repl,,,"""350""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,"[{'src': 'hda', 'id': 29776267}]",5,50,"""""",32.0,,38197289.0,1496696174.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-06-05 21:00:04.423812,90156.0,228.0
2017-06-05 21:03:31.832859,slurm_normal,1496696832.0,0,,1.0,main_w3_handler1,3127155,16019886,False,1864581920,1864581920,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,10111858.roundup,slurm,,132112168.0,corral-repl,,,"""350""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,"[{'src': 'hda', 'id': 29777952}]",5,50,"""""",32.0,,38197289.0,1496696626.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-06-05 21:07:15.620301,90156.0,206.0
2017-06-07 05:09:30.021309,slurm_normal,1496812309.0,0,,1.0,main_w3_handler0,3089437,16036106,False,681577942,681577942,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,10126482.roundup,slurm,,132112168.0,corral-repl,,,"""150""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,"[{'src': 'hda', 'id': 29912386}]",5,50,"""""",32.0,,38495922.0,1496812181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-06-07 05:11:52.390209,93812.0,128.0
2017-04-12 20:14:42.220154,slurm_normal,1492028252.0,0,,1.0,main_w3_handler0,3012750,15568464,False,1467442850,1467442850,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,,9691858.roundup,slurm,,132112168.0,corral-repl,,,"""300""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",5,user_defined,100000000,"[{'src': 'hda', 'id': 29192046}]",5,50,"""""",32.0,,36319463.0,1492028098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-12 20:17:35.868575,101019.0,154.0
2017-04-12 20:22:00.542118,slurm_normal,1492028949.0,0,,1.0,main_w3_handler0,3012750,15568509,False,1526189105,1526189105,,,,,,,,,,,,,,,,,,,bed,1488551118.0,bed,1369775561.0,bed,1283743676.0,bed,1449117088.0,bed,1171979684.0,bed,1435110094.0,bed,1317177804.0,bed,,,bed,,9691914.roundup,slurm,,132112168.0,corral-repl,,,"""300""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",5,user_defined,100000000,"[{'src': 'hda', 'id': 29192044}, {'src': 'hda', 'id': 29192045}, {'src': 'hda', 'id': 29192047}, {'src': 'hda', 'id': 29192048}, {'src': 'hda', 'id': 29192049}, {'src': 'hda', 'id': 29192050}, {'src': 'hda', 'id': 29192051}, {'src': 'hda', 'id': 29192052}]",5,50,"""""",32.0,,36319463.0,1492028551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-12 20:29:14.006305,101019.0,398.0
2017-04-12 20:30:32.523357,slurm_normal,1492029426.0,0,,1.0,main_w3_handler0,3012750,15568581,False,1526189105,1526189105,,,,,,,,,,,,,,,,,,,bed,1488551118.0,bed,1467442850.0,bed,1369775561.0,bed,1283743676.0,bed,1449117088.0,bed,1171979684.0,bed,1435110094.0,bed,1317177804.0,bed,bed,,9691968.roundup,slurm,,132112168.0,corral-repl,,,"""300""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",5,user_defined,100000000,"[{'src': 'hda', 'id': 29192044}, {'src': 'hda', 'id': 29192045}, {'src': 'hda', 'id': 29192046}, {'src': 'hda', 'id': 29192047}, {'src': 'hda', 'id': 29192048}, {'src': 'hda', 'id': 29192049}, {'src': 'hda', 'id': 29192050}, {'src': 'hda', 'id': 29192051}, {'src': 'hda', 'id': 29192052}]",5,50,"""""",32.0,,36319463.0,1492029068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-12 20:38:27.294873,101019.0,358.0
2017-04-13 09:35:31.276903,slurm_normal,1492076212.0,0,,1.0,main_w4_handler1,3070423,15573413,False,206083962,206083962,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,9696536.roundup,slurm,,132112168.0,corral-repl,,,"""150""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",4,12400000,,"[{'src': 'hda', 'id': 29199029}]",5,100,"""""",32.0,,37305054.0,1492076147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-13 09:36:53.581515,103921.0,65.0
2017-04-13 17:41:55.724922,slurm_normal,1492105473.0,0,,1.0,main_w4_handler0,3010350,15579166,False,721805492,721805492,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,9701512.roundup,slurm,,132112168.0,corral-repl,,,"""350""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,"[{'src': 'hda', 'id': 29207387}]",5,100,"""""",32.0,,36914182.0,1492105347.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_predictd/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-13 17:44:53.364617,100453.0,126.0
