chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.direction,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.input2|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-02-09 23:26:50.892407,rodeo_normal,1423524437.0,0,,1.0,main_w2_handler1,2176770,8690057,False,,184100,interval,299223,interval,2693506.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18245968,,18245949,,,32.0,,21142416.0,1423524431.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 23:27:20.037454,776.0,6.0
,,2015-02-09 23:28:25.642998,rodeo_normal,1423524528.0,0,,1.0,main_w1_handler0,2176770,8690062,False,,66862,interval,299223,interval,2693527.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18245977,,18245949,,,32.0,,21142416.0,1423524524.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 23:28:51.179102,776.0,4.0
,,2015-02-09 23:30:09.554557,rodeo_normal,1423524707.0,0,,1.0,main_w1_handler0,2176770,8690074,False,,100246,interval,299223,interval,2693561.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18245987,,18245949,,,32.0,,21142416.0,1423524645.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 23:31:51.589859,776.0,62.0
,,2015-02-09 23:28:45.933231,rodeo_normal,1423524547.0,0,,1.0,main_w2_handler1,2176770,8690066,False,,84521,interval,299223,interval,2693531.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18245979,,18245949,,,32.0,,21142416.0,1423524543.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 23:29:08.895491,776.0,4.0
,,2015-02-07 21:40:52.593532,rodeo_normal,1423345348.0,0,,1.0,main_w1_handler0,2198690,8681582,False,,1472,bed,7847682,bed,2677015.roundup,slurm,,132112168.0,corral-repl,,"""faf522e6af1111e4b0bd005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18442579,,18442146,,,32.0,,21079780.0,1423345341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-07 21:42:30.185449,59368.0,7.0
,,2014-12-27 22:50:21.862973,rodeo_normal,1419720658.0,0,,1.0,main_w2_handler1,1372753,8472592,False,,2835542,interval,883484,bed,647717.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079311,,17098178,,,2.0,,20238974.0,1419720636.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-27 22:51:02.241596,32837.0,22.0
,,2014-12-28 02:46:26.794470,rodeo_normal,1419735494.0,0,,1.0,main_w1_handler0,1372753,8472935,False,,472854742,bed,6982,bed,2382957.roundup,slurm,,132112068.0,corral-repl,,"""b76d4e3c8e3b11e496f8005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079185,,18080705,,,32.0,,20249594.0,1419734805.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 02:58:16.332660,32837.0,689.0
,,2014-12-28 01:04:30.864125,rodeo_normal,1419728711.0,0,,1.0,main_w1_handler0,1372753,8472808,False,,2835542,interval,1428331,bed,2382769.roundup,slurm,,132112068.0,corral-repl,,"""7a23b7048e2d11e4a853005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079311,,18080580,,,32.0,,20238974.0,1419728691.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 01:05:12.545107,32837.0,20.0
,,2014-12-28 01:32:22.757523,rodeo_normal,1419732059.0,0,,1.0,main_w1_handler1,1372753,8472861,False,,472854742,bed,1428331,bed,2382838.roundup,slurm,,132112068.0,corral-repl,,"""5e8fdab48e3111e496f8005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079185,,18080580,,,32.0,,20249594.0,1419730358.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 02:01:01.126405,32837.0,1701.0
,,2014-12-28 01:23:01.889874,rodeo_normal,1419731631.0,0,,1.0,main_w1_handler1,1372753,8472841,False,,476749839,bed,1428331,bed,648028.rodeo,slurm,,16332532.0,corral-repl,,"""10628e328e3011e4a2ee005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079184,,18080580,,,2.0,,20238974.0,1419729801.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 01:53:54.707035,32837.0,1830.0
