create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageTypeSummaryPlot,parameters.advancedOpt.colorMap,parameters.advancedOpt.endLabel,parameters.advancedOpt.heatmapHeight,parameters.advancedOpt.heatmapWidth,parameters.advancedOpt.missingDataColor,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotTitle,parameters.advancedOpt.referencePointLabel,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.startLabel,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.whatToShow,parameters.advancedOpt.xAxisLabel,parameters.advancedOpt.yAxisLabel,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.advancedOpt.zMax,parameters.advancedOpt.zMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-13 16:42:05.119935,slurm_normal,1497373620.0,0,1.0,main_w4_handler1,3153397,16092279,False,,10178136.roundup,slurm,,733176,deeptools_compute_matrix_archive,132112168.0,corral-repl,,"""381a3754505711e7b93b005056a52a46""",1,mean,RdYlBu,TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30014306}]",1,png,true,true,yes,32.0,,,1497373580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-06-13 17:07:03.702560,29338,40.0
2017-06-14 01:35:39.178477,slurm_normal,1497408202.0,0,1.0,main_w4_handler1,3154139,16095447,False,,10181013.roundup,slurm,,3622915,deeptools_compute_matrix_archive,132112168.0,corral-repl,,"""abdd92a450a111e79e3a005056a51846""",1,mean,RdYlBu,TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30020069}]",1,png,true,true,yes,32.0,,,1497408081.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-06-14 02:43:24.477225,29338,121.0
2017-06-15 01:36:39.392166,slurm_normal,1497492131.0,0,1.0,main_w4_handler1,3155848,16104416,False,,10188081.roundup,slurm,,3622915,deeptools_compute_matrix_archive,132112168.0,corral-repl,,"""047299b8516b11e78952005056a52a46""",1,mean,RdYlBu,TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30034258}]",1,png,true,true,yes,32.0,,,1497491976.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-06-15 02:02:13.663959,29338,155.0
2017-06-22 16:42:14.227787,slurm_normal,1498155857.0,0,1.0,main_w3_handler0,3168517,16166354,False,,10244183.roundup,slurm,,712581,deeptools_compute_matrix_archive,132112168.0,corral-repl,,"""91ee6002576911e7a768005056a52a46""",1,mean,RdYlBu,TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30129829}]",1,png,true,true,yes,32.0,,,1498155776.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-06-22 18:24:19.415434,29338,81.0
2017-08-16 15:25:06.619312,slurm_normal,1502897128.0,0,1.0,main_w3_handler1,2819046,16594554,False,,10666473.roundup,slurm,,836184,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,Purples,,25.0,7.5,black,false,Nanog Asynch+T,peak center,,,yes,descend,mean,,1.0,,,,,yes,plot and heatmap,distance from peak center (bp),,35.0,,60.0,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30893606}]",1,png,false,false,yes,32.0,,39645819.0,1502897115.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-08-16 15:25:30.242195,51642,13.0
2017-08-16 15:41:17.204840,slurm_normal,1502898172.0,0,1.0,main_w3_handler0,2819046,16594682,False,,10666605.roundup,slurm,,836184,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,Purples,,25.0,7.5,black,false,Nanog Asynch+T,peak center,,,yes,descend,mean,,1.0,,,,,yes,plot and heatmap,distance from peak center (bp),,35.0,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30893750}]",1,png,false,false,yes,32.0,,39645819.0,1502898088.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-08-16 15:42:56.559960,51642,84.0
2017-08-16 16:26:39.764085,slurm_normal,1502900822.0,0,1.0,main_w3_handler0,2819046,16595077,False,,10667019.roundup,slurm,,2371848,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,Purples,,25.0,7.5,black,false,Nanog Asynch+T,peak center,,,yes,descend,mean,,1.0,,,,,yes,plot and heatmap,distance from peak center (bp),,35.0,,60.0,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30894282}]",1,png,false,false,yes,32.0,,39645819.0,1502900808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-08-16 16:27:07.367892,51642,14.0
2017-08-16 16:33:14.741767,slurm_normal,1502901212.0,0,1.0,main_w4_handler0,2819046,16595150,False,,10667084.roundup,slurm,,2371848,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,Purples,,25.0,7.5,black,false,Nanog Asynch+T,peak center,,,yes,descend,mean,,1.0,,,,,yes,plot and heatmap,,,,,72.0,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30894282}]",1,png,false,false,yes,32.0,,39645819.0,1502901204.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-08-16 16:33:36.897377,51642,8.0
2017-08-16 16:29:44.165506,slurm_normal,1502901007.0,0,1.0,main_w3_handler1,2819046,16595096,False,,10667040.roundup,slurm,,2371848,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,Purples,,25.0,7.5,black,false,Nanog Asynch+T,peak center,,,yes,descend,mean,,1.0,,,,,yes,plot and heatmap,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30894282}]",1,png,false,false,yes,32.0,,39645819.0,1502900995.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-08-16 16:30:07.876562,51642,12.0
2017-08-16 16:30:58.679269,slurm_normal,1502901103.0,0,1.0,main_w3_handler1,2819046,16595106,False,,10667051.roundup,slurm,,2371848,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,Purples,,25.0,7.5,black,false,Nanog Asynch+T,peak center,,,yes,descend,mean,,1.0,,,,,yes,"plot, heatmap and colorbar",,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30894282}]",1,png,false,false,yes,32.0,,39645819.0,1502901068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2017-08-16 16:31:45.083161,51642,35.0
