create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB10,inputB10_filetype,inputB11,inputB11_filetype,inputB12,inputB12_filetype,inputB13,inputB13_filetype,inputB14,inputB14_filetype,inputB15,inputB15_filetype,inputB16,inputB16_filetype,inputB17,inputB17_filetype,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB6,inputB6_filetype,inputB7,inputB7_filetype,inputB8,inputB8_filetype,inputB9,inputB9_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.hist,parameters.inputA.values,parameters.inputA|__identifier__,parameters.inputB.values,parameters.split,parameters.strandedness,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-04 11:32:57.825339,slurm_normal,1496576409.0,0,,1.0,main_w4_handler0,3139455,16008740,False,,72990195,bam,2537,2537,,,,,,,,,,,,,,,,,bedstrict,,,,,,,,,,,,,,,,,bedstrict,10102090.roundup,slurm,,132112168.0,corral-repl,,"""8542d24c491911e7af33005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""false""","[{'src': 'hda', 'id': 29882561}]",,"[{'src': 'hda', 'id': 29882253}]","""false""","""false""",32.0,,,1496576385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-06-04 11:40:12.232603,102549.0,24.0
2017-06-04 12:37:20.476990,slurm_normal,1496580344.0,0,,1.0,main_w3_handler1,3139455,16008945,False,,72990195,bam,2537,2537,,,,,,,,,,,,,,,,,bedstrict,,,,,,,,,,,,,,,,,bedstrict,10102253.roundup,slurm,,132112168.0,corral-repl,,"""89b2f7f4492211e7b623005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""false""","[{'src': 'hda', 'id': 29882867}]",,"[{'src': 'hda', 'id': 29882253}]","""false""","""false""",32.0,,,1496580318.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-06-04 12:45:45.529246,102549.0,26.0
2017-06-04 12:21:05.834887,slurm_normal,1496579259.0,0,,1.0,main_w4_handler0,3139455,16008913,False,,72990195,bam,2537,2537,,,,,,,,,,,,,,,,,bedstrict,,,,,,,,,,,,,,,,,bedstrict,10102214.roundup,slurm,,132112168.0,corral-repl,,"""440bf432492011e78795005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""false""","[{'src': 'hda', 'id': 29882810}]",,"[{'src': 'hda', 'id': 29882253}]","""false""","""false""",32.0,,,1496579230.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-06-04 12:27:41.367344,102549.0,29.0
2017-04-11 05:09:16.379567,slurm_normal,1491887400.0,0,,1.0,main_w3_handler0,2249569,15549474,False,,514654,bed,108332,108332,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9674067.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""false""","""mm10""","""false""","[{'src': 'hda', 'id': 29162014}]",,"[{'src': 'hda', 'id': 29162460}]","""false""","""false""",32.0,,35877522.0,1491887395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-11 05:10:03.265729,61466.0,5.0
2017-04-11 10:07:31.079235,slurm_normal,1491905278.0,0,,1.0,main_w3_handler0,2249569,15551498,False,,514654,bed,3851846,3851846,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9675923.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""false""","""mm10""","""false""","[{'src': 'hda', 'id': 29162014}]",,"[{'src': 'hda', 'id': 29166043}]","""false""","""false""",32.0,,35821733.0,1491905268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-11 10:08:01.163990,61466.0,10.0
2017-04-12 01:19:33.032512,slurm_normal,1491959995.0,0,,1.0,main_w3_handler0,2249569,15561011,False,,514654,bed,3851846,3851846,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9684736.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""false""","""mm10""","""false""","[{'src': 'hda', 'id': 29162014}]",,"[{'src': 'hda', 'id': 29166043}]","""false""","""false""",32.0,,35877522.0,1491959988.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-12 01:19:56.234429,61466.0,7.0
2017-06-06 08:34:00.048996,slurm_normal,1496738684.0,0,,1.0,main_w3_handler0,3139455,16023928,False,,72989554,bam,2537,2537,,,,,,,,,,,,,,,,,bedstrict,,,,,,,,,,,,,,,,,bedstrict,10115651.roundup,slurm,,132112168.0,corral-repl,,"""df19bd6a4a9211e79e39005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""false""","[{'src': 'hda', 'id': 29905316}]",,"[{'src': 'hda', 'id': 29882253}]","""false""","""false""",32.0,,,1496738656.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-06-06 08:44:49.631138,102549.0,28.0
2017-04-13 18:00:50.994597,slurm_normal,1492106483.0,0,,1.0,main_w4_handler0,2736888,15580364,False,,92,bam,12058080,12058080,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9701840.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29208246}]",,"[{'src': 'hda', 'id': 29171294}]","""false""","""false""",32.0,,37305640.0,1492106477.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-13 18:01:28.930448,75402.0,6.0
2017-04-19 07:50:01.551538,slurm_normal,1492588326.0,0,,1.0,main_w3_handler0,2974277,15621959,False,,224159,bed,1587839,1587839,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,9740928.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29272172}]",,"[{'src': 'hda', 'id': 29223552}]","""false""","""false""",32.0,,35675436.0,1492588321.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-19 07:52:09.478815,60860.0,5.0
2017-06-07 07:53:21.203512,slurm_normal,1496822709.0,0,,1.0,main_w4_handler1,3134451,16037817,False,,241,bed,75728309,75728309,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,10128101.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""true""","[{'src': 'hda', 'id': 29831865}]",,"[{'src': 'hda', 'id': 29848399}]","""true""","""false""",32.0,,37852220.0,1496822686.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-06-07 08:05:12.717038,88042.0,23.0
