chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.line_length,parameters.truncate_sequence_names_at_whitespaces,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-25 07:55:11.206965,slurm_normal_single_16gb,1427270126.0,0,1.0,main_w1_handler1,2246998,9031021,False,,2102642,fasta,3316322.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18987640,"""100""","""True""",32.0,,21989107,1427270123.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-03-25 07:55:27.776018,,3.0
,,2015-03-25 08:07:08.496503,slurm_normal_single_16gb,1427270849.0,0,1.0,main_w2_handler1,2246998,9031097,False,,2053936,fasta,3316404.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18987769,"""100""","""True""",32.0,,21989107,1427270844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-03-25 08:07:33.000570,,5.0
,,2015-05-05 22:39:07.708779,slurm_normal_16gb,1430865575.0,0,1.0,main_w2_handler1,2294469,9404194,False,,389939,fasta,3734961.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19590094,"""200""","""False""",32.0,,22737811,1430865562.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-05-05 22:39:41.231619,62065.0,13.0
,,2015-04-14 00:51:08.312239,slurm_normal_16gb,1428972683.0,0,1.0,main_w2_handler1,2252890,9222160,False,,2211,fasta,3503891.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19048062,"""100""","""False""",32.0,,21994468,1428972679.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-04-14 00:51:24.956915,,4.0
,,2015-04-21 10:57:57.874536,slurm_normal_16gb,1429613899.0,0,1.0,main_w1_handler1,2276842,9288020,False,,8324347,fasta,3597274.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19398886,"""100""","""False""",32.0,,22615966,1429613891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-04-21 10:58:22.421776,,8.0
,,2015-04-21 10:59:01.727603,slurm_normal_16gb,1429613962.0,0,1.0,main_w2_handler0,2276842,9288030,False,,8137464,fasta,3597296.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19398888,"""100""","""False""",32.0,,22615966,1429613957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-04-21 10:59:25.558504,,5.0
,,2015-05-01 14:22:10.297067,slurm_normal_16gb,1430490157.0,0,1.0,main_w1_handler1,2287291,9375035,False,,38693057,fasta,3710964.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19523173,"""100""","""False""",32.0,,22403907,1430490147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-05-01 14:22:38.728162,57539.0,10.0
,,2015-06-24 18:31:46.315404,slurm_normal_16gb,1435170754.0,0,1.0,main_w1_handler0,2353354,9725777,False,,189608,fasta,4032276,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20112766,"""80""","""False""",32.0,,23780787,1435170746.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-06-24 18:32:36.100426,64903.0,8.0
,,2015-06-25 15:24:22.712135,slurm_normal_16gb,1435245909.0,0,1.0,main_w1_handler0,2355541,9733272,False,,64065,fasta,4038886,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20134890,"""80""","""False""",32.0,,23780787,1435245905.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-06-25 15:25:12.672395,64903.0,4.0
,,2015-05-29 00:29:24.068511,slurm_normal_16gb,1432859403.0,0,1.0,main_w2_handler0,2323027,9557611,False,,121183059,fasta,3871062.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19848293,"""100""","""False""",32.0,,23269251,1432859377.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-05-29 00:30:13.254326,55319.0,26.0
,,2015-07-30 11:09:12.819238,slurm_normal_16gb,1438254578.0,0,1.0,main_w2_handler1,2392956,10031967,False,,40595,fasta,4313164.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20625954,"""200""","""False""",32.0,,24065008,1438254573.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-07-30 11:09:39.483286,37946.0,5.0
,,2015-06-09 16:53:57.828011,slurm_normal_16gb,1433868920.0,0,1.0,main_w1_handler1,2229849,9621210,False,,322609015,fasta,3932525.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19954758,"""100""","""False""",32.0,,23550207,1433868871.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-06-09 16:55:25.100541,60634.0,49.0
128420.0,len,2015-06-10 02:40:06.074114,slurm_normal_16gb,1433904067.0,0,1.0,main_w1_handler2,2175431,9623842,False,,537806820,fasta,3935012.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/735/dataset_10735158.dat""","""?""",18227875,"""100""","""False""",32.0,,23557425,1433904024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-06-10 02:41:10.411346,30030.0,43.0
,,2015-07-11 10:41:20.780021,slurm_normal_16gb,1436611317.0,0,1.0,main_w2_handler0,2369580,9838993,False,,1198481,fasta,4135591.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20311187,"""100""","""False""",32.0,,24056013,1436611311.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-07-11 10:42:01.333616,,6.0
,,2015-12-09 19:04:28.447319,slurm_normal_16gb,1449687916.0,0,1.0,main_w1_handler0,2251240,11131420,False,,16860,fasta,5396660.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22371427,"""100""","""False""",32.0,,26706636,1449687910.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.126.0,1.126.0,,2015-12-09 19:05:19.953447,61582.0,6.0
