chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputSequences,inputSequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adjustdirection,parameters.chromInfo,parameters.cond_flavour.__current_case__,parameters.cond_flavour.flavourType,parameters.dbkey,parameters.inputSequences,parameters.inputSequences.values,parameters.inputSequences|__identifier__,parameters.outputFormat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-11-24 14:59:46.774907,slurm_normal,1479999596.0,0,1.0,main_w4_handler0,2907304,14425334,False,,1905,fasta,8628043.roundup,slurm,,132112168.0,corral-repl,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 27400240}]",,"""fasta""",32.0,,,1479999589.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-11-24 14:59:58.388248,95611.0,7.0
,,2016-11-24 14:46:57.265753,slurm_normal,1479998826.0,0,1.0,main_w4_handler1,2907283,14425270,False,,1905,fasta,8627997.roundup,slurm,,132112168.0,corral-repl,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 27400158}]",,"""fasta""",32.0,,,1479998819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-11-24 14:47:09.690877,95611.0,7.0
,,2017-10-03 14:40:13.348108,slurm_normal,1507041636.0,0,1.0,main_w4_handler0,3274269,17010911,False,,1248,fasta,11066103.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 31538305}]",,"""fasta""",32.0,,,1507041631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2017-10-03 14:40:49.011223,62929.0,5.0
,,2017-10-03 14:45:51.050371,slurm_normal,1507041966.0,0,1.0,main_w4_handler1,3274277,17010957,False,,1248,fasta,11066163.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 31538374}]",,"""fasta""",32.0,,,1507041962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2017-10-03 14:46:13.081082,62929.0,4.0
,,2017-09-05 15:25:35.614236,slurm_normal,1504625149.0,0,1.0,main_w4_handler0,3243104,16738093,False,,1248,fasta,10807456.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 31111607}]",,"""fasta""",32.0,,,1504625144.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2017-09-05 15:25:51.080755,62929.0,5.0
,,2017-10-11 13:28:27.560445,slurm_normal,1507728515.0,0,1.0,main_w4_handler0,3283149,17078059,False,,1248,fasta,11133904.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 31649626}]",,"""fasta""",32.0,,,1507728511.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2017-10-11 13:28:36.549157,62929.0,4.0
,,2018-02-05 13:36:04.000285,slurm_normal,1517837776.0,0,1.0,main_w4_handler0,3417368,18258012,False,,1248,fasta,12339713,slurm,,132112168.0,corral-repl,,,""" ""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 33674527}]",,"""fasta""",32.0,,,1517837772.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2018-02-05 13:36:17.862625,62929.0,4.0
,,2018-02-05 13:49:22.703604,slurm_normal,1517838576.0,0,1.0,main_w3_handler0,3417382,18258127,False,,1248,fasta,12339818,slurm,,132112168.0,corral-repl,,,""" ""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,mafft-fftns,"""?""",,"[{'src': 'hda', 'id': 33674649}]",,"""fasta""",32.0,,,1517838572.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2018-02-05 13:49:39.550018,62929.0,4.0
,,2016-03-09 20:29:54.914688,slurm_normal,1457555501.0,0,1.0,main_w2_handler0,2627755,12087880,False,,533657,fasta,6312594.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23765894,,,"""fasta""",32.0,,28902576.0,1457555413.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-03-09 20:31:43.720656,,88.0
,,2016-01-28 03:18:04.366547,slurm_normal,1453951106.0,0,1.0,main_w2_handler0,2580720,11619913,False,,9955,fasta,5884337.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/hg19.len""",0,mafft-fftns,"""hg19""",23064227,,,"""fasta""",32.0,,27281752.0,1453951100.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 03:18:33.052178,76409.0,6.0
,,2016-01-28 03:16:16.430552,slurm_normal,1453950992.0,0,1.0,main_w1_handler0,2575675,11619888,False,,9955,fasta,5884310.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/hg19.len""",0,mafft-fftns,"""hg19""",23064229,,,"""fasta""",32.0,,27252723.0,1453950988.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 03:16:35.328032,76295.0,4.0
,,2016-01-28 03:15:53.381014,slurm_normal,1453950969.0,0,1.0,main_w1_handler1,2580715,11619881,False,,9955,fasta,5884301.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/hg19.len""",0,mafft-fftns,"""hg19""",23064224,,,"""fasta""",32.0,,27453502.0,1453950964.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 03:16:11.675826,76799.0,5.0
,,2016-01-28 03:16:13.532126,slurm_normal,1453950992.0,0,1.0,main_w2_handler1,2580737,11619887,False,,11395,fasta,5884309.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/hg19.len""",0,mafft-fftns,"""hg19""",23064228,,,"""fasta""",32.0,,27458315.0,1453950985.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 03:16:38.034984,76871.0,7.0
,,2016-01-28 03:16:21.536018,slurm_normal,1453950996.0,0,1.0,main_w1_handler1,2580722,11619889,False,,9955,fasta,5884311.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/hg19.len""",0,mafft-fftns,"""hg19""",23064226,,,"""fasta""",32.0,,27566300.0,1453950992.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 03:16:39.232089,76288.0,4.0
,,2016-01-28 07:06:45.469101,slurm_normal,1453964866.0,0,1.0,main_w2_handler1,2580855,11620644,False,,2695556,fasta,5885084.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23065303,,,"""fasta""",32.0,,27856712.0,1453964822.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 07:07:49.304764,,44.0
