chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,first_input,first_input_filetype,galaxy_slots,handler,history_id,id,imported,info,input_files_0|additional_input,input_files_0|additional_input_filetype,input_files_10|additional_input,input_files_10|additional_input_filetype,input_files_11|additional_input,input_files_11|additional_input_filetype,input_files_12|additional_input,input_files_12|additional_input_filetype,input_files_13|additional_input,input_files_13|additional_input_filetype,input_files_14|additional_input,input_files_14|additional_input_filetype,input_files_15|additional_input,input_files_15|additional_input_filetype,input_files_16|additional_input,input_files_16|additional_input_filetype,input_files_17|additional_input,input_files_17|additional_input_filetype,input_files_18|additional_input,input_files_18|additional_input_filetype,input_files_19|additional_input,input_files_19|additional_input_filetype,input_files_1|additional_input,input_files_1|additional_input_filetype,input_files_20|additional_input,input_files_20|additional_input_filetype,input_files_21|additional_input,input_files_21|additional_input_filetype,input_files_22|additional_input,input_files_22|additional_input_filetype,input_files_23|additional_input,input_files_23|additional_input_filetype,input_files_24|additional_input,input_files_24|additional_input_filetype,input_files_25|additional_input,input_files_25|additional_input_filetype,input_files_26|additional_input,input_files_26|additional_input_filetype,input_files_27|additional_input,input_files_27|additional_input_filetype,input_files_28|additional_input,input_files_28|additional_input_filetype,input_files_29|additional_input,input_files_29|additional_input_filetype,input_files_2|additional_input,input_files_2|additional_input_filetype,input_files_30|additional_input,input_files_30|additional_input_filetype,input_files_31|additional_input,input_files_31|additional_input_filetype,input_files_32|additional_input,input_files_32|additional_input_filetype,input_files_33|additional_input,input_files_33|additional_input_filetype,input_files_34|additional_input,input_files_34|additional_input_filetype,input_files_35|additional_input,input_files_35|additional_input_filetype,input_files_36|additional_input,input_files_36|additional_input_filetype,input_files_37|additional_input,input_files_37|additional_input_filetype,input_files_38|additional_input,input_files_38|additional_input_filetype,input_files_39|additional_input,input_files_39|additional_input_filetype,input_files_3|additional_input,input_files_3|additional_input_filetype,input_files_40|additional_input,input_files_40|additional_input_filetype,input_files_41|additional_input,input_files_41|additional_input_filetype,input_files_42|additional_input,input_files_42|additional_input_filetype,input_files_43|additional_input,input_files_43|additional_input_filetype,input_files_44|additional_input,input_files_44|additional_input_filetype,input_files_45|additional_input,input_files_45|additional_input_filetype,input_files_46|additional_input,input_files_46|additional_input_filetype,input_files_47|additional_input,input_files_47|additional_input_filetype,input_files_48|additional_input,input_files_48|additional_input_filetype,input_files_49|additional_input,input_files_49|additional_input_filetype,input_files_4|additional_input,input_files_4|additional_input_filetype,input_files_5|additional_input,input_files_5|additional_input_filetype,input_files_6|additional_input,input_files_6|additional_input_filetype,input_files_7|additional_input,input_files_7|additional_input_filetype,input_files_8|additional_input,input_files_8|additional_input_filetype,input_files_9|additional_input,input_files_9|additional_input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.additional_inputs,parameters.annotation.__current_case__,parameters.annotation.ignore_nonoverlapping_reference,parameters.annotation.reference_annotation,parameters.annotation.reference_annotation.values,parameters.annotation.use_ref_annotation,parameters.chromInfo,parameters.dbkey,parameters.discard_intron_redundant_transfrags,parameters.discard_single_exon,parameters.first_input,parameters.first_input.values,parameters.first_input|__identifier__,parameters.input_files,parameters.input_files_0|additional_input|__identifier__,parameters.inputs.__class__,parameters.max_dist_exon,parameters.max_dist_group,parameters.seq_data.__current_case__,parameters.seq_data.seq_source.__current_case__,parameters.seq_data.seq_source.index_source,parameters.seq_data.seq_source.ref_file,parameters.seq_data.seq_source.ref_file.values,parameters.seq_data.use_seq_data,processor_count,ref_file,ref_file_filetype,reference_annotation,reference_annotation_filetype,runner_name,seq_data|ref_file,seq_data|ref_file_filetype,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-15 21:33:29.158483,rodeo_normal,1426455695.0,0,63318839,gtf,1.0,main_w2_handler1,2237985,8953617,False,,63331005.0,gtf,,,,,,,,,,,,,,,,,,,,,63263588.0,gtf,,,,,,,,,,,,,,,,,,,,,63301893.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3175958.roundup,slurm,,132112168.0,corral-repl,,"""d17dcb88cb5a11e4ad10005056a52a46""",,0,False,18864540.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,,18864741,,,"[{""__index__"": 0, ""additional_input"": 18864745}, {""__index__"": 1, ""additional_input"": 18864737}, {""__index__"": 2, ""additional_input"": 18864749}]",,,,,1,0.0,cached,,,Yes,32.0,,,84207474.0,gtf,,,,20957929.0,1426455633.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-03-15 21:41:41.169587,59101.0,62.0
,,2015-03-15 21:33:35.776099,rodeo_normal,1426456186.0,0,63351272,gtf,1.0,main_w2_handler0,2237985,8953619,False,,63336788.0,gtf,,,,,,,,,,,,,,,,,,,,,63331761.0,gtf,,,,,,,,,,,,,,,,,,,,,63335199.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3175988.roundup,slurm,,132112168.0,corral-repl,,"""d17dcb88cb5a11e4ad10005056a52a46""",,0,False,18864540.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,,18864753,,,"[{""__index__"": 0, ""additional_input"": 18864757}, {""__index__"": 1, ""additional_input"": 18864761}, {""__index__"": 2, ""additional_input"": 18864780}]",,,,,1,0.0,cached,,,Yes,32.0,,,84207474.0,gtf,,,,20957929.0,1426456142.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-03-15 21:49:51.387721,59101.0,44.0
,,2015-05-04 19:00:22.833828,slurm_normal,1430766138.0,0,45193753,gtf,1.0,main_w2_handler0,2246057,9390105,False,,46269633.0,gtf,,,,,,,,,,,,,,,,,,,,,49142781.0,gtf,,,,,,,,,,,,,,,,,,,,,49593758.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722888.roundup,slurm,,132112168.0,corral-repl,,,,0,True,19550932.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,19550717,,,"[{""__index__"": 0, ""additional_input"": 19550748}, {""__index__"": 1, ""additional_input"": 19550757}, {""__index__"": 2, ""additional_input"": 19550765}]",,,,,1,1.0,history,18982548,,Yes,32.0,381956675.0,fasta,37947262.0,gtf,,,,22867944.0,1430766079.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-05-04 19:02:24.100062,61292.0,59.0
,,2015-03-16 00:53:45.340185,rodeo_normal,1426467272.0,0,38180573,gtf,1.0,main_w2_handler1,2233217,8954280,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3177179.roundup,slurm,,132112168.0,corral-repl,,,,0,False,18856315.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,18859398,,,[],,,,,1,1.0,history,18856338,,Yes,32.0,323163037.0,fasta,29570787.0,gff3,,,,20611288.0,1426467236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-03-16 00:54:35.530376,58697.0,36.0
,,2015-03-16 04:00:09.639428,rodeo_normal,1426478455.0,0,29438293,gtf,1.0,main_w2_handler1,2233217,8954818,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3178164.roundup,slurm,,132112168.0,corral-repl,,,,0,False,18856315.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,18866311,,,[],,,,,1,1.0,history,18856338,,Yes,32.0,323163037.0,fasta,29570787.0,gff3,,,,20611288.0,1426478418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-03-16 04:00:58.447816,58697.0,37.0
,,2015-03-16 04:00:44.886801,rodeo_normal,1426478491.0,0,29438293,gtf,1.0,main_w1_handler0,2233217,8954819,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3178166.roundup,slurm,,132112168.0,corral-repl,,,,0,False,18856315.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,18866314,,,[],,,,,1,1.0,history,18856338,,Yes,32.0,323163037.0,fasta,29570787.0,gff3,,,,20611288.0,1426478455.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-03-16 04:01:33.595246,58697.0,36.0
,,2015-05-04 19:04:48.277718,slurm_normal,1430766452.0,0,36798487,gtf,1.0,main_w1_handler0,2246057,9390136,False,,36910260.0,gtf,,,,,,,,,,,,,,,,,,,,,37215018.0,gtf,,,,,,,,,,,,,,,,,,,,,37947262.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722918.roundup,slurm,,132112168.0,corral-repl,,,,0,True,18986273.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,19550880,,,"[{""__index__"": 0, ""additional_input"": 19550885}, {""__index__"": 1, ""additional_input"": 19550923}, {""__index__"": 2, ""additional_input"": 19550932}]",,,,,1,1.0,history,18982548,,Yes,32.0,381956675.0,fasta,81498659.0,gff3,,,,22867944.0,1430766319.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-05-04 19:07:38.348087,61292.0,133.0
,,2015-03-16 09:12:26.687659,rodeo_normal,1426497544.0,0,63890986,gtf,1.0,main_w2_handler0,2238302,8955587,False,,63893123.0,gtf,,,,,,,,,,,,,,,,,,,,,63853500.0,gtf,,,,,,,,,,,,,,,,,,,,,63891254.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179454.roundup,slurm,,132112168.0,corral-repl,,"""7f6d665ccbbc11e4a12b005056a51846""",,0,False,18867368.0,,Yes,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,18867392,,,"[{""__index__"": 0, ""additional_input"": 18867396}, {""__index__"": 1, ""additional_input"": 18867388}, {""__index__"": 2, ""additional_input"": 18867400}]",,,,,1,0.0,cached,,,Yes,32.0,,,90844356.0,gtf,,,,20957929.0,1426497495.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-03-16 09:19:12.162713,59101.0,49.0
,,2015-03-16 09:12:31.364375,rodeo_normal,1426498124.0,0,63898531,gtf,1.0,main_w1_handler1,2238302,8955591,False,,63853012.0,gtf,,,,,,,,,,,,,,,,,,,,,63895440.0,gtf,,,,,,,,,,,,,,,,,,,,,63919777.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179513.roundup,slurm,,132112168.0,corral-repl,,"""7f6d665ccbbc11e4a12b005056a51846""",,0,False,18867368.0,,Yes,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,18867404,,,"[{""__index__"": 0, ""additional_input"": 18867408}, {""__index__"": 1, ""additional_input"": 18867412}, {""__index__"": 2, ""additional_input"": 18867432}]",,,,,1,0.0,cached,,,Yes,32.0,,,90844356.0,gtf,,,,20957929.0,1426498059.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-03-16 09:28:47.042221,59101.0,65.0
,,2015-03-16 15:29:02.219877,rodeo_normal,1426520014.0,0,43684080,gtf,1.0,main_w1_handler1,2238622,8958643,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184611.roundup,slurm,,132112168.0,corral-repl,,,,0,False,18871674.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,18871706,,,[],,,,,1,0.0,cached,,,Yes,32.0,,,106624650.0,gtf,,,,21831726.0,1426519762.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-03-16 15:33:38.387817,58942.0,252.0
