chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,file,file_filetype,file_list,file_list_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-12 02:18:33.877277,slurm_normal,1476238770.0,2,,,,,1.0,main_w4_handler0,2851523,14059507,False,,8276641.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,staphyloccus epidermidis,,,accession_number,"""fastqsanger""",32.0,,33620884.0,1476238765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-10-12 02:19:32.488898,,5.0
,,2016-06-20 14:06:49.350484,slurm_normal,1466431657.0,1,,,110.0,txt,1.0,main_w2_handler1,1356603,13210904,False,,7395404.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533a85574fe60f3ed'}]",file_list,"""fastqsanger""",32.0,,30965661.0,1466431654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-06-20 14:07:39.470596,14480.0,3.0
,,2016-06-20 14:09:53.727333,slurm_normal,1466431810.0,1,,,110.0,txt,1.0,main_w1_handler0,1356603,13210940,False,,7395426.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533a85574fe60f3ed'}]",file_list,"""fastqsanger""",32.0,,30965661.0,1466431805.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-06-20 14:10:11.997434,14480.0,5.0
,,2016-10-13 13:43:06.286217,slurm_normal,1476366256.0,3,,,,,1.0,main_w3_handler1,2849242,14073328,False,,8290212.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SSR647673,,,accession_number,"""fastqsanger""",32.0,,33654515.0,1476366247.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-10-13 13:44:17.943684,91068.0,9.0
,,2016-10-13 15:42:40.329863,slurm_normal,1476374393.0,0,,,,,1.0,main_w3_handler0,2665568,14074316,False,,8291135.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR526087,,,accession_number,"""fasta""",32.0,,33658764.0,1476373442.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-10-13 16:00:00.917510,79516.0,951.0
,,2016-10-13 14:37:52.694065,slurm_normal,1476369605.0,3,,,,,1.0,main_w4_handler0,2844064,14073813,False,,8290670.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SSR647673,,,accession_number,"""fastqsanger""",32.0,,33484035.0,1476369529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-10-13 14:40:10.522593,91673.0,76.0
,,2016-10-13 14:45:30.365925,slurm_normal,1476373056.0,0,,,,,1.0,main_w3_handler0,2844064,14073862,False,,8290728.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR647673,,,accession_number,"""fastqsanger""",32.0,,33484035.0,1476370155.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-10-13 15:37:39.642255,91673.0,2901.0
,,2016-06-24 16:40:36.543072,slurm_normal,1466786493.0,1,,,139.0,txt,1.0,main_w1_handler1,2749102,13255575,False,,7442523.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d62e77541958bf7c'}]",file_list,"""fastqsanger""",32.0,,31064882.0,1466786487.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-06-24 16:41:34.508712,41721.0,6.0
,,2016-06-24 16:42:59.414070,slurm_normal,1466786613.0,1,,,139.0,txt,1.0,main_w2_handler1,2749102,13255608,False,,7442541.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d62e77541958bf7c'}]",file_list,"""fastqsanger""",32.0,,31064882.0,1466786610.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-06-24 16:43:34.715678,41721.0,3.0
,,2016-06-24 16:37:43.054061,slurm_normal,1466786324.0,1,,,132.0,txt,1.0,main_w1_handler0,2749102,13255559,False,,7442506.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c718f39d92964f5f'}]",file_list,"""fastqsanger""",32.0,,31064882.0,1466786322.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.3.0,1.3.0,,2016-06-24 16:38:46.740233,41721.0,2.0
