chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input2,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-23 00:57:23.624591,rodeo_normal,1427072264.0,0,1.0,main_w2_handler1,2244245,9009856,False,,5656117,vcf,6017645,vcf,3281434.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939940,18939939,32.0,,21829278,1427072258.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-23 00:57:46.805967,60854.0,6.0
,,2015-03-24 02:29:16.515457,rodeo_normal,1427164198.0,0,1.0,main_w1_handler1,2244419,9020197,False,,100595486,vcf,98134506,vcf,3302222.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18947218,18947424,32.0,,21943139,1427164171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-24 02:29:59.970812,,27.0
,,2015-03-24 01:36:32.576824,rodeo_normal,1427161031.0,0,1.0,main_w2_handler0,2244419,9019949,False,,100595486,vcf,98134506,vcf,3301703.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18947218,18947424,32.0,,21943139,1427161004.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-24 01:37:14.723301,,27.0
,,2015-03-24 02:27:52.592846,rodeo_normal,1427164111.0,0,1.0,main_w2_handler0,2244419,9020195,False,,98134506,vcf,100595486,vcf,3302215.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18947424,18947218,32.0,,21943139,1427164082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-24 02:28:33.542023,,29.0
,,2015-03-24 02:04:36.730078,rodeo_normal,1427162718.0,0,1.0,main_w1_handler1,2244419,9020104,False,,98134506,vcf,100595486,vcf,3302008.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18947424,18947218,32.0,,21943139,1427162689.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-24 02:05:19.251521,,29.0
,,2015-03-24 03:30:20.879020,rodeo_normal,1427167863.0,0,1.0,main_w1_handler0,2244419,9020559,False,,100595486,vcf,98134506,vcf,3302819.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18947218,18947424,32.0,,21943139,1427167834.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-24 03:31:04.604503,,29.0
,,2015-03-24 03:27:39.664367,rodeo_normal,1427167702.0,0,1.0,main_w1_handler0,2244419,9020539,False,,100595486,vcf,98134506,vcf,3302787.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18947218,18947424,32.0,,21943139,1427167673.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-24 03:28:24.176848,,29.0
,,2015-03-24 03:31:57.202782,rodeo_normal,1427167958.0,0,1.0,main_w1_handler0,2244419,9020569,False,,98134506,vcf,100595486,vcf,3302846.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18947424,18947218,32.0,,21943139,1427167930.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-24 03:32:39.066705,,28.0
4809.0,len,2015-03-20 19:18:34.086299,rodeo_normal,1426879193.0,0,1.0,main_w2_handler0,2241395,8999067,False,,95532723,vcf,281155111,vcf,3261546.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/733/dataset_10733701.dat""","""?""",18926382,18926386,32.0,,21867195,1426879127.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-20 19:19:55.187264,61042.0,66.0
4809.0,len,2015-03-20 19:18:33.186861,rodeo_normal,1426879212.0,0,1.0,main_w2_handler1,2241395,8999066,False,,95532723,vcf,287385068,vcf,3261552.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/733/dataset_10733701.dat""","""?""",18926382,18926385,32.0,,21867195,1426879175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-20 19:20:14.955253,61042.0,37.0
4809.0,len,2015-03-20 19:18:31.891573,rodeo_normal,1426879193.0,0,1.0,main_w1_handler0,2241395,8999064,False,,95532723,vcf,252556755,vcf,3261540.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/733/dataset_10733701.dat""","""?""",18926382,18926383,32.0,,21867195,1426879124.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-20 19:19:55.472924,61042.0,69.0
4809.0,len,2015-03-20 19:18:32.526227,rodeo_normal,1426879167.0,0,1.0,main_w1_handler1,2241395,8999065,False,,95532723,vcf,245921075,vcf,3261542.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/733/dataset_10733701.dat""","""?""",18926382,18926384,32.0,,21867195,1426879127.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-20 19:19:30.744973,61042.0,40.0
,,2015-03-21 05:18:06.608753,rodeo_normal,1426915138.0,0,1.0,main_w2_handler1,2244245,9001394,False,,5072675,vcf,2800361,vcf,3265909.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939926,32.0,,21829278,1426915133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:19:00.530695,60854.0,5.0
,,2015-03-21 05:18:04.748450,rodeo_normal,1426915115.0,0,1.0,main_w2_handler1,2244245,9001389,False,,5072675,vcf,6125168,vcf,3265893.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939921,32.0,,21829278,1426915110.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:18:39.289732,60854.0,5.0
,,2015-03-21 05:18:08.695216,rodeo_normal,1426915163.0,0,1.0,main_w2_handler1,2244245,9001400,False,,5072675,vcf,5809956,vcf,3265935.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939932,32.0,,21829278,1426915158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:19:25.340605,60854.0,5.0
,,2015-03-21 05:22:15.021728,rodeo_normal,1426915365.0,0,1.0,main_w2_handler1,2244245,9001439,False,,5840109,vcf,5072675,vcf,3266023.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939928,18939915,32.0,,21829278,1426915360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:22:47.917047,60854.0,5.0
,,2015-03-21 05:22:18.136071,rodeo_normal,1426915396.0,0,1.0,main_w2_handler0,2244245,9001444,False,,5143651,vcf,5072675,vcf,3266049.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939933,18939915,32.0,,21829278,1426915391.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:23:19.468823,60854.0,5.0
,,2015-03-21 05:22:10.507162,rodeo_normal,1426915360.0,0,1.0,main_w2_handler0,2244245,9001433,False,,5972754,vcf,5072675,vcf,3266017.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939922,18939915,32.0,,21829278,1426915354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:22:42.764254,60854.0,6.0
