create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,input3,input3_filetype,input4,input4_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.double_encode,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.is_run.__current_case__,parameters.is_run.input3,parameters.is_run.input3.values,parameters.is_run.input4,parameters.is_run.input4.values,parameters.is_run.paired,parameters.qual,parameters.trim_first_base,parameters.trim_name,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-25 14:24:04.555933,rodeo_normal,1427295679.0,0.0,,1.0,main_w1_handler1,1715640,9033550,False,,1468830824,csfasta,3272035046,qualsolid,,,,,3318902.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",18991228,,18991226,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427293458.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-25 15:01:21.800934,40240.0,2221.0
2015-03-25 14:23:42.009643,rodeo_normal,1427294731.0,0.0,,1.0,main_w1_handler0,1715640,9033545,False,,881817661,csfasta,1964591695,qualsolid,,,,,3318899.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",18991224,,18991223,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427293435.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-25 14:45:58.321500,40240.0,1296.0
2015-03-25 20:27:26.887549,rodeo_normal,1427317176.0,0.0,,1.0,main_w1_handler1,1715640,9038824,False,,1308300882,csfasta,2906654350,qualsolid,,,,,3324183.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",18998483,,18998484,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427315258.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-25 20:59:40.344062,40240.0,1918.0
2015-03-25 20:27:55.774156,rodeo_normal,1427317698.0,0.0,,1.0,main_w1_handler1,1715640,9038828,False,,1596248535,csfasta,3573394749,qualsolid,,,,,3324189.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",18998481,,18998482,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427315288.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-25 21:08:24.242869,40240.0,2410.0
2015-03-25 20:28:27.108624,rodeo_normal,1427316817.0,0.0,,1.0,main_w1_handler1,1715640,9038833,False,,971999260,csfasta,2154104798,qualsolid,,,,,3324197.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",18998479,,18998480,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427315321.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-25 20:53:42.903352,40240.0,1496.0
2015-03-26 21:52:19.091251,rodeo_normal,1427409337.0,0.0,,1.0,main_w1_handler1,1715640,9053396,False,,1642052727,csfasta,3682071925,qualsolid,,,,,3338819.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19009457,,19009458,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427406753.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-26 22:35:39.459003,40240.0,2584.0
2015-03-26 21:52:45.565621,rodeo_normal,1427410923.0,0.0,,1.0,main_w2_handler0,1715640,9053397,False,,1655239679,csfasta,3740252790,qualsolid,,,,,3338945.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19017231,,19017232,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427408129.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-26 23:02:06.478550,40240.0,2794.0
2015-03-26 21:50:54.654516,rodeo_normal,1427409418.0,0.0,,1.0,main_w2_handler1,1715640,9053388,False,,1767944437,csfasta,3964907656,qualsolid,,,,,3338805.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19001221,,19001220,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427406669.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-26 22:37:01.096618,40240.0,2749.0
2015-03-26 21:51:49.071347,rodeo_normal,1427408114.0,0.0,,1.0,main_w2_handler0,1715640,9053395,False,,892651819,csfasta,1971361238,qualsolid,,,,,3338818.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19009455,,19009456,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427406721.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-26 22:15:17.476515,40240.0,1393.0
2015-03-26 21:51:27.762378,rodeo_normal,1427409244.0,0.0,,1.0,main_w2_handler1,1715640,9053394,False,,1547759612,csfasta,3477462254,qualsolid,,,,,3338815.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19001222,,19001223,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427406706.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-26 22:34:08.439166,40240.0,2538.0
2015-03-26 21:53:08.812556,rodeo_normal,1427411143.0,0.0,,1.0,main_w2_handler0,1715640,9053407,False,,1214162610,csfasta,2714333759,qualsolid,,,,,3339040.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19017234,,19017235,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427409260.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-26 23:05:46.081893,40240.0,1883.0
2015-03-26 21:53:39.314984,rodeo_normal,1427412046.0,0.0,,1.0,main_w2_handler0,1715640,9053410,False,,1800891871,csfasta,4052437933,qualsolid,,,,,3339058.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19017236,,19017237,,1,,,,,no,"""3""","""-f""","""-t""",32.0,,21761647.0,1427409353.0,ok,1023996.0,solid2fastq,1.0.0,,2015-03-26 23:20:50.254562,40240.0,2693.0
