create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,kraken_output,kraken_output_filetype,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.kraken_database,parameters.kraken_output.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-11-21 14:59:13.485138,slurm_normal,1479740390.0,0,1.0,main_w4_handler1,2903231,14399380,False,,8604328.roundup,slurm,1552,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a556c9887c502b26'}]",32.0,,34374400,1479740361.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-21 14:59:54.017564,91698,29.0
2016-11-23 08:36:00.167209,slurm_normal,1479890268.0,0,1.0,main_w4_handler0,2905064,14412121,False,,8617026.roundup,slurm,9117979,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 27379823}]",32.0,,34415854,1479890163.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-23 08:37:52.405072,91698,105.0
2016-11-23 08:41:19.969895,slurm_normal,1479890518.0,0,1.0,main_w4_handler0,2905064,14412135,False,,8617045.roundup,slurm,12440187,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 27378316}]",32.0,,34415854,1479890483.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-23 08:42:01.005199,91698,35.0
2016-11-23 18:22:06.510044,slurm_normal,1479925427.0,0,1.0,main_w4_handler1,2906100,14418282,False,,8622537.roundup,slurm,1719,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 27388622}]",32.0,,34425950,1479925334.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-23 18:24:11.783568,91698,93.0
2016-11-23 18:24:25.975113,slurm_normal,1479925513.0,0,1.0,main_w3_handler1,2905754,14418306,False,,8622562.roundup,slurm,22334,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 27388557}]",32.0,,34425950,1479925481.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-23 18:25:15.439562,91698,32.0
2016-11-23 23:37:03.439173,slurm_normal,1479944273.0,0,1.0,main_w4_handler0,2905754,14420466,False,,8624408.roundup,slurm,42135,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 27392750}]",32.0,,34425950,1479944226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-23 23:37:54.953366,91698,47.0
2016-11-24 00:01:18.866636,slurm_normal,1479945703.0,0,1.0,main_w3_handler1,2905064,14420575,False,,8624505.roundup,slurm,12438395,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 27392805}]",32.0,,34425950,1479945682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-24 00:01:44.294604,91698,21.0
2016-11-25 11:23:39.965498,slurm_normal,1480073067.0,0,1.0,main_w3_handler0,2905754,14429887,False,,8631375.roundup,slurm,29487,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 27407878}]",32.0,,34425950,1480073025.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-25 11:24:29.405504,91698,42.0
2016-11-25 11:26:25.221120,slurm_normal,1480073213.0,0,1.0,main_w3_handler0,2905754,14429899,False,,8631388.roundup,slurm,29487,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 27407876}]",32.0,,34425950,1480073190.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-25 11:26:54.998352,91698,23.0
2016-11-25 11:24:36.521687,slurm_normal,1480073148.0,0,1.0,main_w3_handler1,2905754,14429889,False,,8631381.roundup,slurm,8717,tabular,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 27407956}]",32.0,,34425950,1480073080.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.1.0,1.1.0,,2016-11-25 11:25:50.897202,91698,68.0
