chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-31 08:22:06.909409,slurm_normal,1454228561.0,0,1.0,main_w2_handler0,2534299,11643139,False,,5906654.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,27803712.0,1454228536.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-01-31 08:22:44.537704,75281.0,25.0
,,2016-09-07 21:24:38.418634,slurm_normal,1473283515.0,0,1.0,main_w4_handler0,2781723,13801613,False,,8022038.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,31887488.0,1473283489.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-09-07 21:25:19.582210,87683.0,26.0
,,2016-03-10 20:11:29.526509,slurm_normal,1457641497.0,0,1.0,main_w1_handler1,1547107,12099145,False,,6323136.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,28925165.0,1457640979.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-03-10 20:25:00.561064,36513.0,518.0
,,2016-10-12 13:08:13.725306,slurm_normal,1476277710.0,0,1.0,main_w4_handler0,2796947,14063541,False,,8280005.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,33626961.0,1476277695.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-10-12 13:08:33.594547,28930.0,15.0
,,2016-10-12 11:17:33.037465,slurm_normal,1476271073.0,0,1.0,main_w3_handler1,2849577,14063107,False,,8279689.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,33578016.0,1476271055.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-10-12 11:17:55.181689,91933.0,18.0
,,2015-12-25 04:58:26.291619,slurm_normal,1451019562.0,0,1.0,main_w1_handler1,2547476,11324557,False,,5602055.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,26981272.0,1451019536.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2015-12-25 04:59:25.399130,,26.0
,,2015-12-23 13:58:54.157730,slurm_normal,1450879182.0,0,1.0,main_w2_handler0,2547040,11317935,False,,5594459.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,26969667.0,1450879169.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2015-12-23 13:59:43.876522,,13.0
,,2015-12-24 04:18:55.392983,slurm_normal,1450930790.0,0,1.0,main_w1_handler0,2547476,11320883,False,,5598596.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,26981272.0,1450930779.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2015-12-24 04:19:52.567028,,11.0
,,2015-12-24 03:51:34.532060,slurm_normal,1450929143.0,0,1.0,main_w2_handler1,1848122,11320818,False,,5598521.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,26981000.0,1450929129.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2015-12-24 03:52:26.517124,42631.0,14.0
,,2016-02-03 07:12:37.145482,slurm_normal,1454483689.0,0,1.0,main_w2_handler1,2587142,11690883,False,,5948359.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,27767433.0,1454483583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-02-03 07:14:51.973117,,106.0
